dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	AdvertisingEnemy_2810501_Desc	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			深空联合为实时监测并维持炉芯的能量状态，于坠剑湖地表修建了首座探测阵列——海维夏。\n为提升监测精度，研究院在海维夏的核心中植入了隧者空间校算模块的副本。该模块原用于修正隧者在宇宙航行中的轨迹，并预测深空中的潜在灾害。得益于此，海维夏具备了预判炉芯运转状态的算力。\n其主要职能，是在炉芯能流出现异常或临界波动时，执行紧急校准，并向炉芯反向传输数据，以维持系统的稳定运行。	Hyvatia is Spacetrek Collective's first detection array built at Sundermere to monitor and stabilize the Reactor Drive's energy state in real time.\n\nThe Research Institute implanted the Exostrider's space-time error correction module runtime into Hyvatia's core, allowing Hyvatia to adjust the Exostrider's orbit and detect hidden spaceborne threats with high precision. Therefore, Hyvatia possesses sufficient computational power to predict the Reactor Drive's rotation.\n\nHyvatia's core function is to detect abnormal or dangerous energy fluctuations, perform immediate emergency calibrations, and feed this data back to the Drive to ensure stable operation.	スペーストレック・コレクティブが、リアルタイムでドライブのエナジー状態を観測・維持するために、サンダーミールの地表に建造した初の探査アレイ——ハイヴェイシャ。\n観測精度を向上させるため、研究院はハイヴェイシャのコアにエクソストライダー空間の計算モジュールをコピーして植え込んだ。このモジュールはもともと、エクソストライダーが宇宙での航行軌跡修正や、深宇宙に潜む潜在的脅威の予測などに使用していたものである。そのため、ハイヴェイシャもドライブの稼働状態を予測する演算能力を得た。\nハイヴェイシャの主な責務は、ドライブのエネルギーの流れに異常または限界波動が発生した際に緊急校正を行い、データを逆入力するなどしてシステムの安定稼働を保障することである。	Spacetrek để theo dõi và duy trì trạng thái năng lượng của lõi lò theo thời gian thực, đã xây dựng mạng lưới thăm dò đầu tiên trên bề mặt Hồ Rơi Kiếm - Hyvatia.\nĐể nâng cao độ chính xác theo dõi, viện nghiên cứu đã cấy bản sao mô-đun hiệu chuẩn không gian của Exostrider vào lõi của Hyvatia. Mô-đun này ban đầu được dùng để sửa quỹ đạo của Exostrider trong hành trình vũ trụ và dự đoán những thảm họa tiềm ẩn trong không gian sâu. Nhờ vậy, Hyvatia có khả năng tính toán để dự đoán trạng thái hoạt động của lõi lò.\nChức năng chính của nó là khi dòng năng lượng của lõi lò xuất hiện bất thường hoặc dao động tới hạn, thực hiện hiệu chuẩn khẩn cấp và truyền ngược dữ liệu cho lõi lò để duy trì hoạt động ổn định của hệ thống.
lang_multi_text.db	AdvertisingEnemy_2810501_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			海维夏	Hyvatia	ハイヴェイシャ	Nhận từ thử thách Hyvatia
lang_multi_text.db	AdvertisingEnemy_2810501_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			敌人·海维夏	Enemy: Hyvatia	敵・ハイヴェイシャ	Kẻ Địch - Hyvatia
lang_multi_text.db	AdvertisingEnemy_2810501_Title	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			新敌人	New Enemies	新しい敵	Kẻ Địch Mới
lang_multi_text.db	AdvertisingEnemy_2810502_Desc	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			炉芯被隧者安置在拉海洛上空，该系统除维持环境能量平衡外，也在持续监视着阿列夫一的动向。\n当炉芯激活免疫反应，被称为「炉芯机骸」的作战单位将从能源井深处启动，并执行其核心指令：不惜一切代价，排除入侵目标。\n深空联合的调查研究结果表明，「炉芯机骸」身为隧者分化出的一部分，其最终行动目的与主体一致，即对抗鸣式威胁，确保文明存续。	After the Reactor Drive was set above Lahai-Roi by the Exostrider, it remained on high alert to the activities of Aleph-1. \n\nWhen the Drive's immune response is triggered, a mechanized "Reactor Husk" will arise from the depths of the energy well, with the sole purpose of eliminating intruders at all costs.\n\nResearch by Spacetrek Collective shows that Reactor Husk was once part of the Exostrider. Both share a mission to resist the Threnodian threat and safeguard civilization.	ドライブはエクソストライダーによってラハイロイ上空に設置されている。このシステムは環境エネルギーのバランスを維持するだけでなく、アレフ1の動向も常時監視している。\nドライブが免疫反応を活性化させると、エネルギーウェルの深部にある「ドライブの機骸」と呼ばれる戦闘ユニットが起動し、「あらゆる代価を払ってでも侵入者を排除せよ」という核心指令のもと行動する。\nスペーストレック・コレクティブの調査研究によれば、「ドライブの機骸」はエクソストライダーの分化体の一部であり、その最終目的は主体と一致している。すなわち、鳴式の脅威に対抗し、文明の存続を守ることである。	Lõi lò được Exostrider đặt trên không trung của Lahai-Roi, hệ thống này ngoài việc duy trì sự cân bằng năng lượng môi trường, còn liên tục giám sát động thái của Aleph-1.\nKhi lõi lò kích hoạt phản ứng miễn dịch, đơn vị tác chiến được gọi là "Hài Cốt Lõi Lò" sẽ khởi động từ sâu trong giếng năng lượng, và thực hiện chỉ lệnh cốt lõi của nó: Không tiếc mọi giá, loại bỏ mục tiêu xâm nhập.\nKết quả điều tra nghiên cứu của Spacetrek cho thấy, "Hài Cốt Lõi Lò" với tư cách là một phần được phân hóa từ Exostrider, mục đích hành động cuối cùng của nó thống nhất với chủ thể, tức là chống lại mối đe dọa của Minh Thức, đảm bảo nền văn minh tồn tại.
lang_multi_text.db	AdvertisingEnemy_2810502_SkillText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			敬请期待	Stay tuned	乞うご期待	Hãy cùng mong đợi
lang_multi_text.db	AdvertisingEnemy_2810502_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			炉芯机骸	Reactor Husk	ドライブの機骸	Hài Cốt Lõi Lò
lang_multi_text.db	AdvertisingEnemy_2810502_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			敌人·炉芯机骸	Enemy: Reactor Husk	敵・ドライブの機骸	Kẻ Địch - Hài Cốt Lõi Lò
lang_multi_text.db	AdvertisingEnemy_2810502_Title	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			新声骸	New Echoes	新音骸	Echo Mới
lang_multi_text.db	AdvertisingEnemy_2810503_ContentText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			COST 4	COST 4	COST 4	COST 4
lang_multi_text.db	AdvertisingEnemy_2810503_FetterDesc_2	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			敬请期待	Stay tuned	乞うご期待	Hãy cùng mong đợi
lang_multi_text.db	AdvertisingEnemy_2810503_FetterDesc_5	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			敬请期待	Stay tuned	乞うご期待	Hãy cùng mong đợi
lang_multi_text.db	AdvertisingEnemy_2810503_SkillText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			召唤海维夏，对敌人造成衍射伤害，并使下一个变奏技能登场的角色全属性伤害提升。	Summon Hyvatia to attack enemies, dealing Spectro DMG and granting All-Attribute DMG Bonus to the Intro Skill of the incoming Resonator.	ハイヴェイシャを召喚し、敵に回折ダメージを与える。さらに、次に変奏スキルで登場するキャラの全属性ダメージがアップ。	Triệu hồi Hyvatia, gây sát thương Quang Phổ cho kẻ địch, và làm cho sát thương toàn thuộc tính của nhân vật ra sân bằng Kỹ Năng Biến Tấu tiếp theo tăng lên.
lang_multi_text.db	AdvertisingEnemy_2810503_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			海维夏	Hyvatia	ハイヴェイシャ	Nhận từ thử thách Hyvatia
lang_multi_text.db	AdvertisingEnemy_2810503_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			声骸·海维夏	Echo: Hyvatia	音骸・ハイヴェイシャ	Echo - Hyvatia
lang_multi_text.db	AdvertisingEnemy_2810503_Title	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			新合鸣套装	New Sonata Effects	新ハーモニー効果	Bộ Hợp Minh Mới
lang_multi_text.db	AdvertisingEnemy_2810504_ContentText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			COST 4	COST 4	COST 4	COST 4
lang_multi_text.db	AdvertisingEnemy_2810504_SkillText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			幻形为炉芯机骸，对敌人造成热熔伤害。\n在首位装配时，提高自身共鸣效率。	Transform into Reactor Husk to attack enemies, dealing Fusion DMG.\n\nThe Resonator with this Echo equipped in their main slot gains Energy Regen.	ドライブの機骸に変身し、敵に焦熱ダメージを与える。\nメイン音骸スロットに装備時、自身の共鳴効率がアップ。	Hóa hình thành Hài Cốt Lõi Lò, gây sát thương Hỏa Liệt cho kẻ địch.\nKhi trang bị ở vị trí đầu tiên, nâng cao hiệu suất cộng hưởng của bản thân.
lang_multi_text.db	AdvertisingEnemy_2810504_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			炉芯机骸	Reactor Husk	ドライブの機骸	Hài Cốt Lõi Lò
lang_multi_text.db	AdvertisingEnemy_2810504_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			声骸·炉芯机骸	Echo: Reactor Husk	音骸・ドライブの機骸	Echo - Hài Cốt Lõi Lò
lang_multi_text.db	AdvertisingEnemy_2810505_FetterDesc_2	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			衍射伤害提升	Spectro DMG+	回折ダメージアップ	Sát thương Quang Phổ tăng
lang_multi_text.db	AdvertisingEnemy_2810505_FetterDesc_5	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			施放延奏技能后，使下一个登场的角色攻击提升，并基于其谐度破坏增幅获得额外的攻击提升。	Casting Outro Skill increases the incoming Resonator's ATK and grants additional ATK increase based on their Tune Break Boost.	終奏スキルを発動後、次の登場キャラの攻撃力がアップ、協和破壊増強に基づき攻撃力が追加でアップ。	Sau khi thi triển Kỹ Năng Diên Tấu, tấn công của nhân vật ra sân tiếp theo sẽ tăng lên, và nhận được thêm mức tăng tấn công dựa trên mức tăng cường phá hủy hòa âm của nhân vật đó.
lang_multi_text.db	AdvertisingEnemy_2810505_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			逆光跃彩之约	Pact of Neonlight Leap	リフレクト・ブレイズ	Giao Ước Ngược Sáng Chuyển Màu
lang_multi_text.db	AdvertisingEnemy_2810505_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			合鸣·逆光跃彩之约	Sonata: Pact of Neonlight Leap	ハーモニー・リフレクト・ブレイズ	Hợp Minh - Giao Ước Ngược Sáng Chuyển Màu
lang_multi_text.db	AdvertisingEnemy_2810506_FetterDesc_2	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			治疗效果提升	Healing+	HP回復効果アップ	Hiệu quả trị liệu tăng
lang_multi_text.db	AdvertisingEnemy_2810506_FetterDesc_5	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			角色提供治疗时，基于当前角色的偏谐值累积效率，使队伍中角色攻击提升。	Healing an ally increases ATK for Resonators in the team based on the current Off-Tune Buildup Rate.	味方のHPを回復時、現在キャラの不協和値蓄積効率に基づきチーム内キャラの攻撃力がアップ。	Khi nhân vật cung cấp trị liệu, dựa vào hiệu suất tích lũy giá trị Lệch Nhịp của nhân vật hiện tại, khiến cho tấn công của nhân vật trong đội tăng lên.
lang_multi_text.db	AdvertisingEnemy_2810506_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			星构寻辉之环	Halo of Starry Radiance	スターブライト・リング	Vòng Sáng Tìm Sao
lang_multi_text.db	AdvertisingEnemy_2810506_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			合鸣·星构寻辉之环	Sonata: Halo of Starry Radiance	ハーモニー・スターブライト・リング	Hợp Minh - Vòng Sáng Tìm Sao
lang_multi_text.db	AdvertisingEnemy_2810507_FetterDesc_2	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			衍射伤害提升	Spectro DMG+	回折ダメージアップ	Sát thương Quang Phổ tăng
lang_multi_text.db	AdvertisingEnemy_2810507_FetterDesc_5	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			角色造成普攻伤害时，衍射伤害提升，可叠加。叠至满层时，施放共鸣解放时普攻伤害提升。	Dealing Basic Attack DMG increases Spectro DMG, stackable. With max stacks, casting Resonance Liberation increases Basic Attack DMG.	通常攻撃ダメージを与えると、回折ダメージがアップ、この効果はスタック可能。最大スタックに到達時、共鳴解放を発動すると通常攻撃ダメージがアップ。	Khi nhân vật gây sát thương Đánh Thường, sát thương Quang Phổ tăng, có thể cộng dồn. Khi cộng dồn đến tối đa, khi thi triển Giải Phóng Cộng Hưởng sát thương Đánh Thường tăng lên.
lang_multi_text.db	AdvertisingEnemy_2810507_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			流金溯真之式	Rite of Gilded Revelation	ゴールデン・ヴァリアント	Hình Thức Lưu Kim Tố Chân
lang_multi_text.db	AdvertisingEnemy_2810507_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			合鸣·流金溯真之式	Sonata: Rite of Gilded Revelation	ハーモニー・ゴールデン・ヴァリアント	Hợp Minh - Hình Thức Lưu Kim Tố Chân
