dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	GNNPCXJXY_10_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #750088		（晚点再来吧。）	(Guess I should come back later.)	（また後で訪れよう）	(Quay lại sau vậy.)
lang_multi_text.db	GNNPCXJXY_11_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		——啊，{PlayerName}同学。请坐下，是否最近的睡眠时长稍有不足？	Oh, {PlayerName}. Take a seat. Are you experiencing sleep deprivation?	おはようございます、{PlayerName}{Male=君;Female=さん}。お座りください。最近、やや睡眠不足ではないですか？	...A, bạn {PlayerName}. Xin mời ngồi, dạo này giấc ngủ của cậu có hơi thiếu đúng không?
lang_multi_text.db	GNNPCXJXY_11_10	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		不用担心照顾不好自己，我会和你一起。	Don't worry about taking care of yourself. I'll be right there beside you.	不必要に思い悩むことはありません。私が付いていますからね。	Đừng lo không chăm sóc tốt bản thân, mình sẽ ở bên cậu mà.
lang_multi_text.db	GNNPCXJXY_11_2	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		我可以为你演示一下健康睡眠的重要性。请看，这里是我的头颅内仿生脑区的休眠模块——	Allow me to demonstrate the importance of rest. Look here. This is the rest module within my bionic brain region—	健康的な睡眠の重要性について、このデモをご覧ください、こちらが私の脳の一部である、バイオミメティクス技術を用いた休眠モジュールです――	Mình có thể trình bày cho cậu xem tầm quan trọng của việc ngủ đủ giấc. Hãy xem này, đây là mô-đun chức năng nghỉ ngơi trong vùng não mô phỏng ở trong đầu mình...
lang_multi_text.db	GNNPCXJXY_11_3	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		人类的大脑在熬夜时，会像这样亮起不该亮起的信号区，导致疲劳积累与免疫力下降。	When humans stay up too late, places that should remain inactive light up like this, resulting in accumulated fatigue and a weakened immune system.	夜更しした人間の脳は、このように、本来点灯すべきでない領域が反応し、疲労蓄積と免疫力低下を招きます。	Khi con người thức khuya, não sẽ sáng lên ở những vùng không nên sáng giống như thế này, dẫn đến tích tụ mệt mỏi và giảm miễn dịch.
lang_multi_text.db	GNNPCXJXY_11_4	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		我为你开好了健康假的假条，并抄送至全院。休息优先，课业可以延后。	I've already issued you a medical leave slip and cc'ed the entire Academy faculty. Rest takes priority. Your coursework can wait.	欠席届を既に全学園宛てにCCで送信しておきました。健康のために休息優先です。学業の後回しは可能です。	Mình đã làm xong đơn xin nghỉ phép vì sức khỏe cho cậu rồi, và cũng đã chuyển đến toàn trường. Việc nghỉ ngơi là ưu tiên hàng đầu, bài tập có thể hoãn lại.
lang_multi_text.db	GNNPCXJXY_11_5	3.4	Hội thoại/Cốt truyện	NPC			会不会太夸张了？	Isn't that a bit too much?	{Male=少し、大げさじゃないか？;Female=少し、大げさじゃない？}	Liệu có khoa trương quá không?
lang_multi_text.db	GNNPCXJXY_11_6	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		夸张？保障学生的健康是「南丁格尔自主医护助手」的第一优先级，这是我的职责所在。	Too much? A student's health is the highest priority of the Nightingale Autonomous Nursing Assistant, and that is the very core of my duty.	大げさ？学生の健康は、「<ano=Nightingale Autonomous Nursing Assistant>ナイチンゲール式自律医療アシスタント</ano>」の最優先事項です。それが私の役目ですから。	Khoa trương ư? Đảm bảo sức khỏe cho sinh viên là ưu tiên hàng đầu của "Trợ Lý Y Tế Tự Động Nightingale", đây là trách nhiệm của mình.
lang_multi_text.db	GNNPCXJXY_11_7	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		一旦检测到目标的心率异常、步态出现疲惫、注意力涣散超过阈值，我就拥有了干预的权限。	When I detect abnormal heart rate, fatigued gait, or attention lapses beyond threshold, I am authorized to intervene.	異常な心拍数、歩行時の疲労現象、注意力の散漫状態が、閾値を超えて検出されたら、私は介入権限を与えられています。	Một khi phát hiện nhịp tim của đối tượng bất thường, dáng đi mệt mỏi, hay sự phân tán sự chú ý vượt quá ngưỡng giới hạn, mình sẽ được cấp quyền can thiệp.
lang_multi_text.db	GNNPCXJXY_11_8	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		如果你继续无视健康信号，下次我会直接开具「强制休假单」。	If you continue ignoring these signals, I will have no choice but to issue a mandatory rest order next time.	もし、あなたが自身の健康状態を無視し続けるなら、次回、「強制休暇届」を直接発行します。	Nếu cậu tiếp tục phớt lờ tín hiệu sức khỏe, lần sau mình sẽ trực tiếp xuất trình "Đơn xin nghỉ phép bắt buộc" đấy.
