dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	EVENT_KXFY_1_1	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		You're back, Passenger.
lang_multi_text.db	EVENT_KXFY_1_10	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		This is something I've never seen before... The anomalies we've had so far mostly occurred in the outer layers, and the Dream Abode has always been very stable.
lang_multi_text.db	EVENT_KXFY_1_11	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		Hmm... Looks like we have an investigation in our hands.
lang_multi_text.db	EVENT_KXFY_1_12	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		The Ebony Gatekeeper and I will go along with you for a closer look. Let's start with the problems at hand.
lang_multi_text.db	EVENT_KXFY_1_2	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		I have some good news for you. We have some leads about the Somnoire.
lang_multi_text.db	EVENT_KXFY_1_3	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		Based on a theory the Ebony Gatekeeper and I have been working on, this anomaly may be related to the Dream Abode.
lang_multi_text.db	EVENT_KXFY_1_4	3.4	Hội thoại/Cốt truyện	Sự kiện			Dream Abode?
lang_multi_text.db	EVENT_KXFY_1_5	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		The Somnoire is a realm made up of dreams, and one that also has its own inhabitants.
lang_multi_text.db	EVENT_KXFY_1_6	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		Such as the Illusias you encountered, and other, older beings that existed long before... They are all inhabitants of the Somnoire.
lang_multi_text.db	EVENT_KXFY_1_7	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		And the Dream Abode is where everyone lives.
lang_multi_text.db	EVENT_KXFY_1_8	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		The Somnoire accepts these inhabitants... Their thoughts and feelings are part of the dreamland, alternating with the Somnoire as we speak.
lang_multi_text.db	EVENT_KXFY_1_9	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		If my theory is correct, something grungy may have gotten mixed in among the inhabitants and caused an anomaly throughout the Somnoire.
lang_multi_text.db	EVENT_KXFY_2_1	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		How time flies, Passenger.
lang_multi_text.db	EVENT_KXFY_2_10	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		Such as the Illusias you encountered, and other, older beings that existed long before... They are all inhabitants of the Somnoire.
lang_multi_text.db	EVENT_KXFY_2_11	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		And the Dream Abode is where everyone lives.
lang_multi_text.db	EVENT_KXFY_2_12	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		The Somnoire accepts these inhabitants... Their thoughts and feelings are part of the dreamland, alternating with the Somnoire as we speak.
lang_multi_text.db	EVENT_KXFY_2_13	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		If my theory is correct, something grungy may have gotten mixed in among the inhabitants and caused an anomaly throughout the Somnoire.
lang_multi_text.db	EVENT_KXFY_2_14	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		This is something I've never seen before... The anomalies we've had so far mostly occurred in the outer layers, and the Dream Abode has always been very stable.
lang_multi_text.db	EVENT_KXFY_2_15	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		Hmm... Looks like we have an investigation in our hands.
lang_multi_text.db	EVENT_KXFY_2_16	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		From here on out, Passenger, we'll be delving deeper into the Somnoire.
lang_multi_text.db	EVENT_KXFY_2_17	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		The Ebony Gatekeeper and I will go along with you for a closer look. Let's start with the problems at hand.
lang_multi_text.db	EVENT_KXFY_2_2	3.4	Hội thoại/Cốt truyện	Sự kiện			It's been a while...
lang_multi_text.db	EVENT_KXFY_2_3	3.4	Hội thoại/Cốt truyện	Sự kiện			Let me guess. The Somnoire again?
lang_multi_text.db	EVENT_KXFY_2_4	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		That look on your face tells me you probably already figured it out... We have a new anomaly inside the Somnoire.
lang_multi_text.db	EVENT_KXFY_2_5	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		Sharp as always, Passenger... Yes, we have a new anomaly inside the Somnoire.
lang_multi_text.db	EVENT_KXFY_2_6	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		But I have some good news for you. We have some leads.
lang_multi_text.db	EVENT_KXFY_2_7	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		Based on a theory the Ebony Gatekeeper and I have been working on, this anomaly may be related to the Dream Abode.
lang_multi_text.db	EVENT_KXFY_2_8	3.4	Hội thoại/Cốt truyện	Sự kiện			Dream Abode?
lang_multi_text.db	EVENT_KXFY_2_9	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		The Somnoire is a realm made up of dreams, and one that also has its own inhabitants.
lang_multi_text.db	EVENT_KXFY_3_1	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		Is everything taken care of? Or did you find the cause of the anomaly?
lang_multi_text.db	EVENT_KXFY_3_10	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		You could think of it as the person who created me... Well, I'm sure you'll get to meet each other someday.
lang_multi_text.db	EVENT_KXFY_3_11	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		The gateway to the Dream Abode, called the "Gate Fissure," is a defense measure that only allows verified inhabitants to pass through.
lang_multi_text.db	EVENT_KXFY_3_12	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		That's all I know. As for the rest, you'll just have to go see for yourself.
lang_multi_text.db	EVENT_KXFY_3_13	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		I'm counting on you to solve this case, Great Detective.
lang_multi_text.db	EVENT_KXFY_3_2	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750088		Namipon and the Ebony Gatekeeper theorized that all of this should be related to the Dream Abode...
lang_multi_text.db	EVENT_KXFY_3_3	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		Oooh, they got it right this time!
lang_multi_text.db	EVENT_KXFY_3_4	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		The gateway to the Dream Abode ran into some problems a while back, so a few troublemakers made their way into the dreamland.
lang_multi_text.db	EVENT_KXFY_3_5	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		Anyway, even though the Gatekeepers were on it as fast as they could, it looks like they still haven't managed to get the gateway fully fixed yet.
lang_multi_text.db	EVENT_KXFY_3_6	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		And so, the invading frequencies caused the dreams to layer on top of each other, and Honami and Lahai-Roi got mixed in with one another "by accident."
lang_multi_text.db	EVENT_KXFY_3_7	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #750090		I wonder if Mother knows about this...
lang_multi_text.db	EVENT_KXFY_3_8	3.4	Hội thoại/Cốt truyện	Sự kiện			Mother?
lang_multi_text.db	EVENT_KXFY_3_9	3.4	Hội thoại/Cốt truyện	Sự kiện			The gateway to the Dream Abode?
lang_multi_text.db	EVENT_KXFY_4_1	3.4	Hội thoại/Cốt truyện	Sự kiện	NPC #50180		Oh, thank you, Passenger! You've resolved all the anomalies!
