dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	PropertyIndex_10001_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			等级	Level	レベル	Cấp
lang_multi_text.db	PropertyIndex_10002_AnotherName	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			生命百分比	HP%	HP%	Phần trăm HP
lang_multi_text.db	PropertyIndex_10002_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			生命	HP	HP	Sinh Lực
lang_multi_text.db	PropertyIndex_10003_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			生命	HP	HP	Sinh Lực
lang_multi_text.db	PropertyIndex_10004_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			护盾值	Shield	シールド値	Giá Trị Khiên
lang_multi_text.db	PropertyIndex_10005_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			dnt/破盾倍率	Shield Break Multiplier	シールド破壊倍率	Tỷ lệ phá khiên
lang_multi_text.db	PropertyIndex_10006_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			dnt/被破盾倍率	Shield Break Multiplier Received	シールド被破壊倍率	Tỷ lệ phá khiên
lang_multi_text.db	PropertyIndex_10007_AnotherName	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			攻击百分比	ATK%	攻撃力%	Phần Trăm Tấn Công
lang_multi_text.db	PropertyIndex_10007_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			攻击	ATK	攻撃力	Tấn Công
lang_multi_text.db	PropertyIndex_10008_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			暴击	Crit. Rate	クリティカル	Tỷ Lệ Bạo Kích
lang_multi_text.db	PropertyIndex_10009_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			暴击伤害	Crit. DMG	クリティカルダメージ	Sát Thương Bạo Kích
lang_multi_text.db	PropertyIndex_10010_AnotherName	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			防御百分比	DEF%	防御力%	Phần Trăm Phòng Ngự
lang_multi_text.db	PropertyIndex_10010_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			防御	DEF	防御力	Phòng Ngự
lang_multi_text.db	PropertyIndex_10011_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			共鸣效率	Energy Regen	共鳴効率	Hiệu Suất Cộng Hưởng
