dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	WeaponConf_20000110_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			dnt/测试1-短剑	Test1-Short Sword	テスト1-迅刀	Kiếm Thử Nghiệm 1
lang_multi_text.db	WeaponConf_21010011_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			用于训练与教学的长刃，只具备基础的功能。	This broadblade is designed specifically for training and teaching, offering only the basic features.	訓練と学習のために使う長刃。最低限の機能しか備わってない。	Đại Kiếm dùng cho luyện tập và giảng dạy, chỉ có các tính năng cơ bản.
lang_multi_text.db	WeaponConf_21010011_BgDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			用于训练与教学的长刃，只具备基础的功能。	This broadblade is designed specifically for training and teaching, offering only the basic features.	訓練と学習のために使う長刃。最低限の機能しか備わってない。	Đại Kiếm dùng cho luyện tập và giảng dạy, chỉ có các tính năng cơ bản.
lang_multi_text.db	WeaponConf_21010011_Desc	3.4	Hội thoại/Cốt truyện	Vũ khí			攻击提升{0}。	Increases ATK by {0}.	攻撃力{0}アップ。	Tấn công tăng {0}.
lang_multi_text.db	WeaponConf_21010011_ObtainedShowDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			用于训练与教学的长刃，只具备基础的功能。	This broadblade is designed specifically for training and teaching, offering only the basic features.	訓練と学習のために使う長刃。最低限の機能しか備わってない。	Đại Kiếm dùng cho luyện tập và giảng dạy, chỉ có các tính năng cơ bản.
lang_multi_text.db	WeaponConf_21010011_TypeDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			武器	Weapon	武器	Vũ Khí
lang_multi_text.db	WeaponConf_21010011_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			教学长刃	Training Broadblade	稽古用長刃	Đại Kiếm Huấn Luyện
lang_multi_text.db	WeaponConf_21010012_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			专为新手共鸣者特制的长刃，低调朴实的外表下，蕴含着不容小觑的战斗力。	The onset of pinnacle pursuit. A broadblade designed for novice Resonators. Contains a power not to be underestimated under its simple outlook.	未熟な共鳴者のために作られた長刃、地味な見た目のわりに侮れない戦闘力を秘めている。	Đại Kiếm chế tạo đặc biệt dành cho Cộng Hưởng Giả mới vào nghề, ẩn dưới vẻ ngoài khiêm tốn, giản dị là sức mạnh chiến đấu không thể xem thường.
lang_multi_text.db	WeaponConf_21010012_BgDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			专为新手共鸣者特制的长刃，低调朴实的外表下，蕴含着不容小觑的战斗力。	The onset of pinnacle pursuit. A broadblade designed for novice Resonators. Contains a power not to be underestimated under its simple outlook.	未熟な共鳴者のために作られた長刃、地味な見た目のわりに侮れない戦闘力を秘めている。	Đại Kiếm chế tạo đặc biệt dành cho Cộng Hưởng Giả mới vào nghề, ẩn dưới vẻ ngoài khiêm tốn, giản dị là sức mạnh chiến đấu không thể xem thường.
lang_multi_text.db	WeaponConf_21010012_Desc	3.4	Hội thoại/Cốt truyện	Vũ khí			攻击提升{0}。	Increases ATK by {0}.	攻撃力{0}アップ。	Tấn công tăng {0}.
lang_multi_text.db	WeaponConf_21010012_ObtainedShowDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			专为新手共鸣者特制的长刃，低调朴实的外表下，蕴含着不容小觑的战斗力。	The onset of pinnacle pursuit. A broadblade designed for novice Resonators. Contains a power not to be underestimated under its simple outlook.	未熟な共鳴者のために作られた長刃、地味な見た目のわりに侮れない戦闘力を秘めている。	Đại Kiếm chế tạo đặc biệt dành cho Cộng Hưởng Giả mới vào nghề, ẩn dưới vẻ ngoài khiêm tốn, giản dị là sức mạnh chiến đấu không thể xem thường.
lang_multi_text.db	WeaponConf_21010012_TypeDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			武器	Weapon	武器	Vũ Khí
lang_multi_text.db	WeaponConf_21010012_WeaponName	3.4	Hội thoại/Cốt truyện	Vũ khí			原初长刃·朴石	Tyro Broadblade	原初の長刃・岩塊	Đại Kiếm Khởi Nguyên-Phác Thạch
lang_multi_text.db	WeaponConf_21010013_AttributesDescription	3.4	Hội thoại/Cốt truyện	Vũ khí			夜归常用长刃，经过历代军士改进，如今是战场上最常见的武器。“穿越长夜，胜利归来”不仅是必胜的决心，更是守护的誓言。	May victory prevail the lasting night. In addition to the sworn oath of protection, this broadblade also carries the resolution of those fighting souls.	夜帰の制式長刃。長い間改良を重ねられ、今では主力武器となった。「夜を抜け、帰還する」という守りの誓いは、戦士の決心でもあった。	Đại Kiếm thường dùng của Dạ Quy, trải qua sự cải tiến của nhiều thế hệ quân sĩ, ngày nay là vũ khí phổ biến nhất trên chiến trường. "Vượt qua đêm dài, khải hoàn trở về" không chỉ là quyết tâm tất thắng, mà còn là lời thề bảo vệ.
