dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_subtitle_text.db	1	3.4	Phụ đề	Phụ đề			凌阳	San'hua	散華	Lingyang
lang_subtitle_text.db	10	3.4	Phụ đề	Phụ đề			门开了，我走前面，你们快跟上。			Cửa mở rồi, tôi đi trước, mọi người mau theo sau.
lang_subtitle_text.db	100	3.4	Phụ đề	Phụ đề			……		……	......
lang_subtitle_text.db	1000	3.4	Phụ đề	Phụ đề			秧秧	Yangyang	秧秧	Yangyang
lang_subtitle_text.db	1001	3.4	Phụ đề	Phụ đề			不行，我现在就带你去研究院！只要把鸣式力量导出来，你的频率就会恢复稳定，整个人……也会立刻好起来！			Không được, tớ phải đưa cậu đến Viện Nghiên Cứu ngay bây giờ! Chỉ cần dẫn sức mạnh Minh Thức ra ngoài, tần số của cậu sẽ ổn định trở lại, cả người... cũng sẽ lập tức khỏe lại!
lang_subtitle_text.db	1002	3.4	Phụ đề	Phụ đề			又要麻烦你了。			Lại phải làm phiền cậu rồi.
lang_subtitle_text.db	1003	3.4	Phụ đề	Phụ đề			冷静点，没那么糟。			Bình tĩnh đi, không tệ đến vậy đâu.
lang_subtitle_text.db	1004	3.4	Phụ đề	Phụ đề			秧秧	Yangyang	秧秧	Yangyang
lang_subtitle_text.db	1005	3.4	Phụ đề	Phụ đề			你，你在说什么傻话……怎么会是麻烦呢。			Cậu, cậu nói gì ngốc nghếch vậy... sao có thể gọi là phiền được.
lang_subtitle_text.db	1006	3.4	Phụ đề	Phụ đề			不行不行，你们每个人都喜欢这么说。			Không được không được, mỗi người các cậu đều thích nói như vậy.
lang_subtitle_text.db	1007	3.4	Phụ đề	Phụ đề			秧秧	Yangyang	秧秧	Yangyang
lang_subtitle_text.db	1008	3.4	Phụ đề	Phụ đề			我不知道你有着怎样的过去，也许……你早就习惯了独来独往，不依靠任何人。但从现在开始，你不会再孤身作战了。			Tớ không biết cậu đã có một quá khứ như thế nào, có lẽ... cậu đã sớm quen với việc đi một mình, không dựa dẫm vào bất cứ ai. Nhưng từ bây giờ trở đi, cậu sẽ không còn chiến đấu một mình nữa.
lang_subtitle_text.db	1009	3.4	Phụ đề	Phụ đề			忌炎团长刚刚说过超频有多可怕了，你必须尽早把鸣式力量导出。			Đoàn Trưởng Jiyan vừa nói Vượt Tần đáng sợ đến mức nào rồi, cậu phải dẫn sức mạnh Minh Thức ra ngoài càng sớm càng tốt.
lang_subtitle_text.db	101	3.4	Phụ đề	Phụ đề			神秘人乙			Người Bí Ẩn Ất
lang_subtitle_text.db	1010	3.4	Phụ đề	Phụ đề			秧秧	Yangyang	秧秧	Yangyang
lang_subtitle_text.db	1011	3.4	Phụ đề	Phụ đề			别忘了，这次的行动我也有份，我是你的搭档！有问题一起解决也是理所当然的吧？			Đừng quên, hành động lần này cũng có phần của tớ, tớ là cộng sự của cậu mà! Có vấn đề thì cùng nhau giải quyết là chuyện đương nhiên rồi, đúng không?
lang_subtitle_text.db	1012	3.4	Phụ đề	Phụ đề			秧秧	Yangyang	秧秧	Yangyang
lang_subtitle_text.db	1013	3.4	Phụ đề	Phụ đề			而且，我们要去见的……可是那个首席啊……			Hơn nữa, người mà chúng ta sắp đi gặp... lại chính là vị Thủ Tịch đó...
lang_subtitle_text.db	1014	3.4	Phụ đề	Phụ đề			秧秧	Yangyang	秧秧	Yangyang
lang_subtitle_text.db	1015	3.4	Phụ đề	Phụ đề			别担心，我陪你去，有我在就没事。			Đừng lo, tớ đi cùng cậu, có tớ ở đây thì sẽ không sao đâu.
lang_subtitle_text.db	1016	3.4	Phụ đề	Phụ đề			炽霞	Gleamtender	輝光の螢軍	Chixia
lang_subtitle_text.db	1017	3.4	Phụ đề	Phụ đề			这，这是……不，才不会！	Wait, what's... No! It can't be!	こ、これは……いや、ありえない！	Đ-đây là... Không, không thể nào!
lang_subtitle_text.db	1018	3.4	Phụ đề	Phụ đề			漂泊者	Rover	漂泊者	<ano=Rover>Rover</ano>
lang_subtitle_text.db	1019	3.4	Phụ đề	Phụ đề			你要去哪里？	Stop following me already! Can't you hear the bells?	ついてくんな！鐘が聞こえねぇのか！	Cậu định đi đâu?
lang_subtitle_text.db	102	3.4	Phụ đề	Phụ đề			来吧，力量都拿回去。			Lại đây, mang hết sức mạnh đi đi.
lang_subtitle_text.db	1020	3.4	Phụ đề	Phụ đề			炽霞	Gleamtender	輝光の螢軍	Chixia
lang_subtitle_text.db	1021	3.4	Phụ đề	Phụ đề			没听见钟声吗？我得马上过去！	Ugh, why am I getting mad at a dummy with no memories... You, you don't understand a thing!	記憶喪失の奴に何怒ったんだあたし……あ、あんたは何もわかってない！	Không nghe thấy <ano=Knell>Tiếng chuông</ano> à? Em phải mau qua đó ngay!
lang_subtitle_text.db	1022	3.4	Phụ đề	Phụ đề			炽霞	Gleamtender	輝光の螢軍	Chixia
lang_subtitle_text.db	1023	3.4	Phụ đề	Phụ đề			我，我干嘛和你个失忆的笨蛋生气……你根本不明白……	Listen up, I'm only gonna say this once...	いいか、一度だけ言う……	E-em việc gì phải tức <ano=Chi>khí</ano> với cái tên mất trí nhớ như anh chứ... Anh chẳng hiểu gì cả...
lang_subtitle_text.db	1024	3.4	Phụ đề	Phụ đề			炽霞	Gleamtender	輝光の螢軍	Chixia
lang_subtitle_text.db	1025	3.4	Phụ đề	Phụ đề			这钟，是敲给牺牲的战友的。	That knell, is meant for fallen comrades!	この鐘は、戦友への弔いだ！	Tiếng chuông này, là gióng lên cho <ano=comrade>đồng đội</ano> đã hy sinh.
lang_subtitle_text.db	1026	3.4	Phụ đề	Phụ đề			炽霞	Gleamtender	輝光の螢軍	Chixia
lang_subtitle_text.db	1027	3.4	Phụ đề	Phụ đề			所以我必须过去看看，万一……	Yangyang... What if she...	秧秧が……もしも……	Vậy nên em phải đến đó xem, lỡ như...
lang_subtitle_text.db	1028	3.4	Phụ đề	Phụ đề			炽霞	Gleamtender	輝光の螢軍	Chixia
lang_subtitle_text.db	1029	3.4	Phụ đề	Phụ đề			秧秧一直联系不上……要是她……	No, she's gonna be alright!	いいや！絶対ありえない！	Yangyang cứ liên lạc không được... lỡ như cô ấy...
lang_subtitle_text.db	103	3.4	Phụ đề	Phụ đề			神秘人乙			Người Bí Ẩn Ất
lang_subtitle_text.db	1030	3.4	Phụ đề	Phụ đề			炽霞	Gleamtender	輝光の螢軍	Chixia
lang_subtitle_text.db	1031	3.4	Phụ đề	Phụ đề			不，一定不会有事的！	Rover, you're here.	漂泊者、あなたも来たのですか。	Không, chắc chắn sẽ không có chuyện gì đâu!
lang_subtitle_text.db	1032	3.4	Phụ đề	Phụ đề			秧秧	Yangyang	秧秧	Yangyang
lang_subtitle_text.db	1033	3.4	Phụ đề	Phụ đề			漂泊者，你也来了？	It's great to see you're recovered. I thought you were...	無事でよかった。てっきり君は……	<ano=Rover>Rover</ano>, cậu cũng đến rồi sao?
lang_subtitle_text.db	1034	3.4	Phụ đề	Phụ đề			漂泊者	Rover	漂泊者	<ano=Rover>Rover</ano>
lang_subtitle_text.db	1035	3.4	Phụ đề	Phụ đề			你没事就好，我还以为……	Uh-uh, don't you jinx her. Good thing she received treatment in time, Yangyang's in one piece.	バカ抜かせ。治療が間に合ったから、秧秧が無事なんだ。	Cậu không sao là tốt rồi, tớ còn tưởng...
lang_subtitle_text.db	1036	3.4	Phụ đề	Phụ đề			炽霞	Gleamtender	輝光の螢軍	Chixia
lang_subtitle_text.db	1037	3.4	Phụ đề	Phụ đề			咳咳，虚惊一场……好在治疗及时，秧秧才……	Shh.	し……	Khụ khụ, hú vía một phen... May mà được <ano=treatment>điều trị</ano> kịp thời, Yangyang mới...
lang_subtitle_text.db	1038	3.4	Phụ đề	Phụ đề			秧秧	Yangyang	秧秧	Yangyang
lang_subtitle_text.db	1039	3.4	Phụ đề	Phụ đề			嘘。	Hello there, looking for something?	お二人さん……探し物か？	Suỵt.
