dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	AdvertisingEnemy_2810501_Desc	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Hyvatia is Spacetrek Collective's first detection array built at Sundermere to monitor and stabilize the Reactor Drive's energy state in real time.\n\nThe Research Institute implanted the Exostrider's space-time error correction module runtime into Hyvatia's core, allowing Hyvatia to adjust the Exostrider's orbit and detect hidden spaceborne threats with high precision. Therefore, Hyvatia possesses sufficient computational power to predict the Reactor Drive's rotation.\n\nHyvatia's core function is to detect abnormal or dangerous energy fluctuations, perform immediate emergency calibrations, and feed this data back to the Drive to ensure stable operation.
lang_multi_text.db	AdvertisingEnemy_2810501_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Hyvatia
lang_multi_text.db	AdvertisingEnemy_2810501_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Enemy: Hyvatia
lang_multi_text.db	AdvertisingEnemy_2810501_Title	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			New Enemies
lang_multi_text.db	AdvertisingEnemy_2810502_Desc	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			After the Reactor Drive was set above Lahai-Roi by the Exostrider, it remained on high alert to the activities of Aleph-1. \n\nWhen the Drive's immune response is triggered, a mechanized "Reactor Husk" will arise from the depths of the energy well, with the sole purpose of eliminating intruders at all costs.\n\nResearch by Spacetrek Collective shows that Reactor Husk was once part of the Exostrider. Both share a mission to resist the Threnodian threat and safeguard civilization.
lang_multi_text.db	AdvertisingEnemy_2810502_SkillText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Stay tuned
lang_multi_text.db	AdvertisingEnemy_2810502_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Reactor Husk
lang_multi_text.db	AdvertisingEnemy_2810502_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Enemy: Reactor Husk
lang_multi_text.db	AdvertisingEnemy_2810502_Title	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			New Echoes
lang_multi_text.db	AdvertisingEnemy_2810503_ContentText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			COST 4
lang_multi_text.db	AdvertisingEnemy_2810503_FetterDesc_2	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Stay tuned
lang_multi_text.db	AdvertisingEnemy_2810503_FetterDesc_5	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Stay tuned
lang_multi_text.db	AdvertisingEnemy_2810503_SkillText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Summon Hyvatia to attack enemies, dealing Spectro DMG and granting All-Attribute DMG Bonus to the Intro Skill of the incoming Resonator.
lang_multi_text.db	AdvertisingEnemy_2810503_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Hyvatia
lang_multi_text.db	AdvertisingEnemy_2810503_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Echo: Hyvatia
lang_multi_text.db	AdvertisingEnemy_2810503_Title	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			New Sonata Effects
lang_multi_text.db	AdvertisingEnemy_2810504_ContentText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			COST 4
lang_multi_text.db	AdvertisingEnemy_2810504_SkillText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Transform into Reactor Husk to attack enemies, dealing Fusion DMG.\n\nThe Resonator with this Echo equipped in their main slot gains Energy Regen.
lang_multi_text.db	AdvertisingEnemy_2810504_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Reactor Husk
lang_multi_text.db	AdvertisingEnemy_2810504_ThumbnailText	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Echo: Reactor Husk
lang_multi_text.db	AdvertisingEnemy_2810505_FetterDesc_2	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Spectro DMG+
lang_multi_text.db	AdvertisingEnemy_2810505_FetterDesc_5	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Casting Outro Skill increases the incoming Resonator's ATK and grants additional ATK increase based on their Tune Break Boost.
lang_multi_text.db	AdvertisingEnemy_2810505_SubTitle	3.4	Hội thoại/Cốt truyện	Quái/Sổ tay			Pact of Neonlight Leap
