=== BÁO CÁO CÁC LỖI FORMAT/BIẾN THẬT SỰ CẦN FIX (285 LỖI) ===

@@ lang_confirmbox.db||ConfirmBox||165
# Lỗi: Thiếu/thừa biến: Gốc có ['{0}'] nhưng Dịch có []
# Gốc Trung: 客户端损坏，修复需要下载{0}资源包，请确认是否使用移动网络下载？
# Hiện tại : Đồng Ý

@@ lang_generic_tips.db||GenericPrompt||11
# Lỗi: Thiếu/thừa biến: Gốc có ['{0}', '{1}', '{2}'] nhưng Dịch có []
# Gốc Trung: {0}:{1}:{2}
# Hiện tại : 

@@ lang_generic_tips.db||GenericPrompt||142
# Lỗi: Thiếu/thừa biến: Gốc có ['{0}'] nhưng Dịch có []
# Gốc Trung: {0}
# Hiện tại : 

@@ lang_generic_tips.db||GenericPromptTypes||11
# Lỗi: Thiếu/thừa biến: Gốc có ['{0}', '{1}', '{2}'] nhưng Dịch có []
# Gốc Trung: {0}:{1}:{2}
# Hiện tại : 

@@ lang_multi_text.db||MultiText||LyricsText_750127_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Huyền Linh bay qua sông</i>

@@ lang_multi_text.db||MultiText||LyricsText_750128_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Nước mênh mông núi mịt mờ</i>

@@ lang_multi_text.db||MultiText||LyricsText_750129_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Ánh trăng sáng, trăng soi bóng dài</i>

@@ lang_multi_text.db||MultiText||LyricsText_750130_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trong bốn bể truyền khắp muôn phương</i>

@@ lang_multi_text.db||MultiText||LyricsText_750131_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Gọi người chớ lãng quên</i>

@@ lang_multi_text.db||MultiText||LyricsText_750132_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Huyền Linh bay qua sông</i>

@@ lang_multi_text.db||MultiText||LyricsText_750133_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Nước mênh mông núi mịt mờ</i>

@@ lang_multi_text.db||MultiText||LyricsText_750134_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Ánh trăng sáng, trăng soi bóng dài</i>

@@ lang_multi_text.db||MultiText||LyricsText_750135_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trong bốn bể truyền khắp muôn phương, gọi người chớ lãng quên</i>

@@ lang_multi_text.db||MultiText||LyricsText_750136_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Huyền Linh bay, bay đứt ruột</i>

@@ lang_multi_text.db||MultiText||LyricsText_750137_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trời xanh thẳm đất bao la</i>

@@ lang_multi_text.db||MultiText||LyricsText_750138_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Ánh trăng sáng</i>

@@ lang_multi_text.db||MultiText||LyricsText_750139_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Đêm lạnh dằng dặc</i>

@@ lang_multi_text.db||MultiText||LyricsText_750140_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trong bốn bể truyền khắp muôn phương</i>

@@ lang_multi_text.db||MultiText||LyricsText_750141_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Gọi cha gọi mẹ, ngàn vạn lần chớ ngóng trông</i>

@@ lang_multi_text.db||MultiText||LyricsText_750142_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Ta biết bao mong cùng người đến phương xa</i>

@@ lang_multi_text.db||MultiText||LyricsText_750143_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Đi ngắm vùng đất bao la vô tận nhất</i>

@@ lang_multi_text.db||MultiText||LyricsText_750144_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Băng qua những vết thương chằng chịt  những con sóng lên xuống</i>

@@ lang_multi_text.db||MultiText||LyricsText_750145_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Nếu muốn có chỉ dẫn  gió luôn ở đó</i>

@@ lang_multi_text.db||MultiText||LyricsText_750146_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Vấn vương  sao lại chẳng nói lời</i>

@@ lang_multi_text.db||MultiText||LyricsText_750147_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Âm luật  sao lại không hồi đáp</i>

@@ lang_multi_text.db||MultiText||LyricsText_750148_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Chỉ là câu trả lời ấy  ẩn giấu trong gió</i>

@@ lang_multi_text.db||MultiText||LyricsText_750149_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Một trái tim  tìm trong hoang vu  cuồng chạy không ngừng</i>

@@ lang_multi_text.db||MultiText||LyricsText_750150_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Hãy nghe gió ngâm, gió đến mở đường cho ta  chỉ lối</i>

@@ lang_multi_text.db||MultiText||LyricsText_750151_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Ta biết bao mong cùng người đến phương xa</i>

@@ lang_multi_text.db||MultiText||LyricsText_750152_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Đi ngắm vùng đất bao la vô tận nhất</i>

@@ lang_multi_text.db||MultiText||LyricsText_750153_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Băng qua những vết thương chằng chịt  những con sóng lên xuống</i>

@@ lang_multi_text.db||MultiText||LyricsText_750154_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Nếu muốn có chỉ dẫn  gió luôn ở đó</i>

@@ lang_multi_text.db||MultiText||LyricsText_750155_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Sương sớm ban mai sẽ mang đến tin tức phương xa</i>

@@ lang_multi_text.db||MultiText||LyricsText_750156_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trong tĩnh lặng ta cùng  tiếng gió thì thầm</i>

@@ lang_multi_text.db||MultiText||LyricsText_750157_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trong bốn bể truyền khắp muôn phương</i>

@@ lang_multi_text.db||MultiText||LyricsText_750158_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Gọi người chớ lãng quên</i>

@@ lang_multi_text.db||MultiText||LyricsText_750159_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Sóng nước cuồn cuộn</i>

@@ lang_multi_text.db||MultiText||LyricsText_750160_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Sương mù che đường</i>

