dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	CharacAlbum_GuideDesc_Cantarella	3.4	Hội thoại/Cốt truyện	Chức năng khác			<color=Highlight>Cantarella</color> is reviewing the dishes. Has her sense of taste finally returned? Go chat with her at the <color=Highlight>Bar</color>.
lang_multi_text.db	CharacAlbum_GuideDesc_Firework	3.4	Hội thoại/Cốt truyện	Chức năng khác			Bring the party to its climax and witness the most breathtaking fireworks that exist only for this very moment.\n(Unlocks after completing the Quest "The Answer Is Where a River of Stars Falls")
lang_multi_text.db	CharacAlbum_GuideDesc_Jiyan	3.4	Hội thoại/Cốt truyện	Chức năng khác			Rarely one for festivities, <color=Highlight>Jiyan</color> now stands before a displayed Echo, quietly gazing at it. Go find him in the <color=Highlight>Lobby</color> and say hello.
lang_multi_text.db	CharacAlbum_GuideDesc_Lynae	3.4	Hội thoại/Cốt truyện	Chức năng khác			You run into <color=Highlight>Lynae</color> in the <color=Highlight>Screening Room</color>. Did she… skip classes again? Maybe you should ask her yourself. (Unlocks after talking to Lumi in the Quest "The Answer Is Where a River of Stars Falls")
lang_multi_text.db	CharacAlbum_GuideDesc_Yinlin	3.4	Hội thoại/Cốt truyện	Chức năng khác			<color=Highlight>Yinlin</color> is spotted on the <color=Highlight>second-floor balcony</color>. What identity is she wearing this time? Go find out for yourself.
lang_multi_text.db	CharacAlbum_GuideDesc_Zani	3.4	Hội thoại/Cốt truyện	Chức năng khác			<color=Highlight>Zani</color> is enjoying a rare vacation, but she doesn't quite seem used to it. Go talk to her in the <color=Highlight>Outdoor Lounge</color>.
lang_multi_text.db	CharacAlbum_TaskName_Cantarella	3.4	Hội thoại/Cốt truyện	Chức năng khác			Fest Guest: Cantarella
lang_multi_text.db	CharacAlbum_TaskName_Firework	3.4	Hội thoại/Cốt truyện	Chức năng khác			Launch fireworks
lang_multi_text.db	CharacAlbum_TaskName_Jiyan	3.4	Hội thoại/Cốt truyện	Chức năng khác			Fest Guest: Jiyan
lang_multi_text.db	CharacAlbum_TaskName_Lynae	3.4	Hội thoại/Cốt truyện	Chức năng khác			Fest Guest: Lynae
lang_multi_text.db	CharacAlbum_TaskName_Yinlin	3.4	Hội thoại/Cốt truyện	Chức năng khác			Fest Guest: Yinlin
lang_multi_text.db	CharacAlbum_TaskName_Zani	3.4	Hội thoại/Cốt truyện	Chức năng khác			Fest Guest: Zani
lang_multi_text.db	CharacAlbum_UnlockDesc_Cantarella	3.4	Hội thoại/Cốt truyện	Chức năng khác			Good food and travel always go hand in hand. May she set off on a journey filled with joy.
lang_multi_text.db	CharacAlbum_UnlockDesc_Firework	3.4	Hội thoại/Cốt truyện	Chức năng khác			When the stars come cascading down, they will light the radiant path ahead of you.
lang_multi_text.db	CharacAlbum_UnlockDesc_Jiyan	3.4	Hội thoại/Cốt truyện	Chức năng khác			Even when duty weighs heavy, who could turn down a grand festivity?
lang_multi_text.db	CharacAlbum_UnlockDesc_Lynae	3.4	Hội thoại/Cốt truyện	Chức năng khác			A life sparked by impulse may yet lead to the brightest future.
lang_multi_text.db	CharacAlbum_UnlockDesc_Yinlin	3.4	Hội thoại/Cốt truyện	Chức năng khác			There are moments when you can cast aside every disguise. After all, we're here for a great time.
lang_multi_text.db	CharacAlbum_UnlockDesc_Zani	3.4	Hội thoại/Cốt truyện	Chức năng khác			Even doing nothing at all can be meaningful. That, too, is what a vacation is for.
lang_multi_text.db	ChatBubble_Content_Attachment	3.4	Hội thoại/Cốt truyện	Chức năng khác			[Image]
lang_multi_text.db	ChatBubble_Content_Expression	3.4	Hội thoại/Cốt truyện	Chức năng khác			[Emoji] {0}
lang_multi_text.db	ChatBubble_Content_Input	3.4	Hội thoại/Cốt truyện	Chức năng khác			Typing
lang_multi_text.db	ChatBubble_Desc_80810001	3.4	Hội thoại/Cốt truyện	Chức năng khác			WavesLine's default Bubble.
lang_multi_text.db	ChatBubble_Desc_80810002	3.4	Hội thoại/Cốt truyện	Chức năng khác			A welcome gift for new WavesLine users. A chat bubble inspired by the Pangu Terminal.
lang_multi_text.db	ChatBubble_Desc_80810003	3.4	Hội thoại/Cốt truyện	Chức năng khác			Back again, dear Passenger. Care to try our newest coffee this time?
lang_multi_text.db	ChatBubble_Desc_80810004	3.4	Hội thoại/Cốt truyện	Chức năng khác			The thing about legends—everyone remembers them in their own way
lang_multi_text.db	ChatBubble_Desc_80820001	3.4	Hội thoại/Cốt truyện	Chức năng khác			WavesLine's default Background.
lang_multi_text.db	ChatBubble_Desc_80820002	3.4	Hội thoại/Cốt truyện	Chức năng khác			In this quiet moment, only the laughter of friends and the aroma of freshly ground coffee keep you company.
lang_multi_text.db	ChatBubble_Desc_80820004	3.4	Hội thoại/Cốt truyện	Chức năng khác			I Really Want to Stay At Your House
lang_multi_text.db	ChatBubble_Func_80810003	3.4	Hội thoại/Cốt truyện	Chức năng khác			Obtain to unlock WavesLine chat bubble
lang_multi_text.db	ChatBubble_Func_80810004	3.4	Hội thoại/Cốt truyện	Chức năng khác			Obtain to unlock WavesLine chat bubble
lang_multi_text.db	ChatBubble_Func_80820002	3.4	Hội thoại/Cốt truyện	Chức năng khác			Obtain to unlock WavesLine chat background
lang_multi_text.db	ChatBubble_Func_80820004	3.4	Hội thoại/Cốt truyện	Chức năng khác			Obtain to unlock WavesLine chat background
lang_multi_text.db	ChatBubble_GetWay_80810001	3.4	Hội thoại/Cốt truyện	Chức năng khác			Default
lang_multi_text.db	ChatBubble_GetWay_80810002	3.4	Hội thoại/Cốt truyện	Chức năng khác			Default
lang_multi_text.db	ChatBubble_GetWay_80810003	3.4	Hội thoại/Cốt truyện	Chức năng khác			Purchase WavesLine Special Pack: Golden Coffee Ring to unlock
lang_multi_text.db	ChatBubble_GetWay_80810004	3.4	Hội thoại/Cốt truyện	Chức năng khác			Purchase at Illusive Coral Shop
lang_multi_text.db	ChatBubble_GetWay_80820001	3.4	Hội thoại/Cốt truyện	Chức năng khác			Default
lang_multi_text.db	ChatBubble_GetWay_80820002	3.4	Hội thoại/Cốt truyện	Chức năng khác			Purchase WavesLine Special Pack: Golden Coffee Ring to unlock
lang_multi_text.db	ChatBubble_GetWay_80820004	3.4	Hội thoại/Cốt truyện	Chức năng khác			Purchase at Illusive Coral Shop
lang_multi_text.db	ChatBubble_Name_80810001	3.4	Hội thoại/Cốt truyện	Chức năng khác			Default Bubble
lang_multi_text.db	ChatBubble_Name_80810002	3.4	Hội thoại/Cốt truyện	Chức năng khác			Pangu Terminal
lang_multi_text.db	ChatBubble_Name_80810003	3.4	Hội thoại/Cốt truyện	Chức năng khác			Namipon Kisses
lang_multi_text.db	ChatBubble_Name_80810004	3.4	Hội thoại/Cốt truyện	Chức năng khác			The David Martinez
lang_multi_text.db	ChatBubble_Name_80820001	3.4	Hội thoại/Cốt truyện	Chức năng khác			Default Background
lang_multi_text.db	ChatBubble_Name_80820002	3.4	Hội thoại/Cốt truyện	Chức năng khác			Sweet Coffee Time
lang_multi_text.db	ChatBubble_Name_80820004	3.4	Hội thoại/Cốt truyện	Chức năng khác			"I miss you all the time"
lang_multi_text.db	ChatBubble_SettingUse	3.4	Hội thoại/Cốt truyện	Chức năng khác			Apply
lang_multi_text.db	ChatExpression_100_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Food Please
lang_multi_text.db	ChatExpression_101_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Cold Sweat
lang_multi_text.db	ChatExpression_102_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Chill
lang_multi_text.db	ChatExpression_103_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Pixelpuff
lang_multi_text.db	ChatExpression_104_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Hooray
lang_multi_text.db	ChatExpression_105_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Curious
lang_multi_text.db	ChatExpression_106_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Splat
lang_multi_text.db	ChatExpression_107_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Heart
lang_multi_text.db	ChatExpression_108_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Polish Shoes
lang_multi_text.db	ChatExpression_109_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Show Time
lang_multi_text.db	ChatExpression_10_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Indifferent
lang_multi_text.db	ChatExpression_110_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Anyone Here
lang_multi_text.db	ChatExpression_111_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Smile
lang_multi_text.db	ChatExpression_112_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Nope
lang_multi_text.db	ChatExpression_113_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Annoyed
lang_multi_text.db	ChatExpression_114_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Let's Go
lang_multi_text.db	ChatExpression_115_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Oh Well...
lang_multi_text.db	ChatExpression_116_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Tired
lang_multi_text.db	ChatExpression_117_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Chilling
lang_multi_text.db	ChatExpression_118_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Smile
lang_multi_text.db	ChatExpression_119_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Gotcha
lang_multi_text.db	ChatExpression_11_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Pat pat
lang_multi_text.db	ChatExpression_120_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Surprise
lang_multi_text.db	ChatExpression_121_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Wishing
lang_multi_text.db	ChatExpression_122_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Working
lang_multi_text.db	ChatExpression_123_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Salute
lang_multi_text.db	ChatExpression_124_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Oh?
lang_multi_text.db	ChatExpression_125_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Lecture
lang_multi_text.db	ChatExpression_126_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Crestfallen
lang_multi_text.db	ChatExpression_127_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Write a Letter
lang_multi_text.db	ChatExpression_128_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Ready? Go!
lang_multi_text.db	ChatExpression_129_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Clang Bang Hi
lang_multi_text.db	ChatExpression_12_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Alert
lang_multi_text.db	ChatExpression_130_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Fired Up
lang_multi_text.db	ChatExpression_131_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Hug
lang_multi_text.db	ChatExpression_132_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			What?
lang_multi_text.db	ChatExpression_133_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Defeated
lang_multi_text.db	ChatExpression_134_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Run!
lang_multi_text.db	ChatExpression_135_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Bouncy
lang_multi_text.db	ChatExpression_136_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Curled Up
lang_multi_text.db	ChatExpression_137_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Shocked
lang_multi_text.db	ChatExpression_138_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Take My Leave
lang_multi_text.db	ChatExpression_139_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Whiff Whaff Hi
lang_multi_text.db	ChatExpression_13_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Hmm?
lang_multi_text.db	ChatExpression_140_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Snip Snap Hi
lang_multi_text.db	ChatExpression_141_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Zig Zag Hi
lang_multi_text.db	ChatExpression_142_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Tick Tack Hi
lang_multi_text.db	ChatExpression_143_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Shocked
lang_multi_text.db	ChatExpression_144_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Hungry
lang_multi_text.db	ChatExpression_145_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Delicious
lang_multi_text.db	ChatExpression_146_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Tummy Full
lang_multi_text.db	ChatExpression_147_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Hello!
lang_multi_text.db	ChatExpression_148_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Hear No Evil
lang_multi_text.db	ChatExpression_149_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Eavesdropping
lang_multi_text.db	ChatExpression_14_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Unhappy
lang_multi_text.db	ChatExpression_150_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Awkward
lang_multi_text.db	ChatExpression_151_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Ehehe!
lang_multi_text.db	ChatExpression_152_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Pass Out
lang_multi_text.db	ChatExpression_153_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Sleepy
lang_multi_text.db	ChatExpression_154_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Awake
lang_multi_text.db	ChatExpression_155_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Kudos
lang_multi_text.db	ChatExpression_156_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Boo-hoo
lang_multi_text.db	ChatExpression_157_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Hmph!
lang_multi_text.db	ChatExpression_158_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Cheers
lang_multi_text.db	ChatExpression_159_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Like
lang_multi_text.db	ChatExpression_15_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Leaving
lang_multi_text.db	ChatExpression_160_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Send Flowers
lang_multi_text.db	ChatExpression_161_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Wish
lang_multi_text.db	ChatExpression_162_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Cheer
lang_multi_text.db	ChatExpression_163_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Headpat
lang_multi_text.db	ChatExpression_164_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Stretch
lang_multi_text.db	ChatExpression_165_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Thinking
lang_multi_text.db	ChatExpression_166_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Angry
lang_multi_text.db	ChatExpression_167_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Bow
lang_multi_text.db	ChatExpression_168_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Sob
lang_multi_text.db	ChatExpression_169_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Cuddle
lang_multi_text.db	ChatExpression_16_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Take note
lang_multi_text.db	ChatExpression_170_Name	3.4	Hội thoại/Cốt truyện	Chức năng khác			Pat
