dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	16:08	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Cannot exceed {0} characters
lang_multi_text.db	AMS31_1_1	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			(Look at her.)
lang_multi_text.db	AMS31_1_2	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	NPC #150086		...
lang_multi_text.db	AMS31_1_3	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		You look toward "Aemeath." She is quietly resting on the sofa, eyes closed.
lang_multi_text.db	AMS31_1_4	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		A console and two controllers rest before the sofa, with a game loaded. It looks like a perfect nook for two to play shoulder-to-shoulder or snuggle through a mellow winter afternoon.
lang_multi_text.db	AMS31_1_5	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		Is "she" asleep? Does "she" dream as well?
lang_multi_text.db	AMS31_1_6	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		You have no way of knowing.
lang_multi_text.db	AMS31_2_1	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			(Look at her.)
lang_multi_text.db	AMS31_2_2	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	NPC #150086		...
lang_multi_text.db	AMS31_2_3	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		You look toward "Aemeath." She hunches over the workbench, head tilted as she pores over the display.
lang_multi_text.db	AMS31_2_4	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		This was where you used to work and the usual haunt for young Aemeath. When you were busy, she would sit beside you and draw in silence, like a small, loyal guardian keeping watch.
lang_multi_text.db	AMS31_2_5	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		Now, the tabletop is covered by a thin layer of dust.
lang_multi_text.db	AMS31_3_1	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			(Look at her.)
lang_multi_text.db	AMS31_3_2	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	NPC #150086		...
lang_multi_text.db	AMS31_3_3	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		You look toward "Aemeath." She sits motionless by the shore of the Ginnungamere, her gaze fixed on the water, where glistening lights dance on the ripples
lang_multi_text.db	AMS31_3_4	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		This lake is where everything began, and where everything comes to an end. It is here that your paths first crossed, and here that they finally diverged.
lang_multi_text.db	AMS31_3_5	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		Like a pebble into the lake, these memories make only a small splash in the waters of fate. The ripples soon fade.
lang_multi_text.db	AbandonProjectName01	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Non 5-Star
lang_multi_text.db	AbandonProjectName02	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			COST 3 (Glacio)
lang_multi_text.db	AbandonProjectName03	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			COST 3 (Fusion)
lang_multi_text.db	AbandonProjectName04	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			COST 3 (Electro)
lang_multi_text.db	AbandonProjectName05	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			COST 3 (Aero)
lang_multi_text.db	AbandonProjectName06	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			COST 3 (Spectro)
lang_multi_text.db	AbandonProjectName07	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			COST 3 (Havoc)
lang_multi_text.db	AbyssAbtSort	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Stat Bonus
lang_multi_text.db	AbyssDangoLV	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Lv. {0}
lang_multi_text.db	AbyssDangoReviveWait	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			End after the current Resonator is downed
lang_multi_text.db	AbyssDango_LV	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			+{0}
lang_multi_text.db	AbyssEquipSort	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Equipped
lang_multi_text.db	AbyssItem_Lock1	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Locked
lang_multi_text.db	AbyssItem_UnLock1	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Not Locked
lang_multi_text.db	AbyssLevelProgress	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Progress {0}%
lang_multi_text.db	AbyssLockSort	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Locked
lang_multi_text.db	AbyssMPChallenge	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Co-op Challenge
lang_multi_text.db	AbyssNeedPreChallengeFinish	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Please clear the prerequisite level
lang_multi_text.db	AbyssQualitySort	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Module Rarity
lang_multi_text.db	AbyssQuality_Lv1	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Lv. 1
lang_multi_text.db	AbyssQuality_Lv2	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Lv. 2
lang_multi_text.db	AbyssQuality_Lv3	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			Lv. 3
