dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	RoleProject_Access_01	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			可通过唤取获得	Convene	集音で獲得	Có thể nhận qua việc triệu hồi
lang_multi_text.db	RoleProject_Access_02	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			印造获得	Crafting	製造で獲得	Nhận qua chế tạo
lang_multi_text.db	RoleProject_Access_03	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			先约电台获取	Pioneer Podcast	先駆ラジオで獲得	Nhận qua Đài Phát Thanh Tiên Phong
lang_multi_text.db	RoleProject_Access_04	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			可通过任务获得	Quests	任務で獲得	Có thể nhận qua nhiệm vụ
lang_multi_text.db	RoleProject_Access_None	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			暂无获取途径	Currently unobtainable	獲得不可	Tạm thời không có cách nhận
lang_multi_text.db	RoleProject_Button01	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			前往培养	Upgrade	育成	Đến bồi dưỡng
lang_multi_text.db	RoleProject_Button02	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			前往查看	View	詳細	Đến xem
lang_multi_text.db	RoleProject_Button03	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			前往	Go	移動	Đến
lang_multi_text.db	RoleProject_Button04	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			前往替换	Switch	変更	Đến thay đổi
lang_multi_text.db	RoleProject_Button05	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			前往装备	Equip	装備	Đến trang bị
lang_multi_text.db	RoleProject_Button06	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			前往查看	View	詳細	Đến xem
lang_multi_text.db	RoleProject_Button_SkillUpgradeBasic	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			切换为基础方案	Show Basic Plan	基礎プランに切り替え	Chuyển sang phương án cơ bản
lang_multi_text.db	RoleProject_Button_SkillUpgradePrefect	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			切换为完美方案	Show Complete Plan	完全プランに切り替え	Chuyển sang phương án hoàn hảo
lang_multi_text.db	RoleProject_Button_WeaponRecommend	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			查看推荐武器	View Weapon Recommendations	オススメ武器を表示	Xem vũ khí đề xuất
lang_multi_text.db	RoleProject_Button_WeaponUpgrade	3.4	Hội thoại/Cốt truyện	Bồi dưỡng nhân vật			查看武器培养	View Weapon Upgrade	武器育成を表示	Xem bồi dưỡng vũ khí
