dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	ElementalReaction_11_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			When the Concerto Effect is triggered, if the attribute types of the two Characters are both <color=#1891e7>Glacio</color>, the <color=#8c7e51>Glacio Concerto</color> is triggered, causing <color=#1891e7>Glacio</color> DMG to the target.
lang_multi_text.db	ElementalReaction_11_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			Glacio Harmony
lang_multi_text.db	ElementalReaction_21_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			Triggers <color=#8c7e51>Hot and Cold Ensemble</color> when Concerto Effect is triggered if both Character's Attribute Types are <color=#1891e7>Glacio</color> and <color=#e15226>Fusion</color>, respectively.\nDamage dealt by the debuting CharacterResonance Liberation is increased by <color=#8c7e51>40%</color> for <color=#8c7e51>12</color> seconds. does not take effect when the Character is not debuting.
lang_multi_text.db	ElementalReaction_21_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			Cold and Hot Ensemble
lang_multi_text.db	ElementalReaction_22_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			When the Concerto Effect is triggered, if both Characters have the same attribute type of <color=#e15226>Fusion</color>, it triggers the <color=#8c7e51>Fusion flurry</color>, which inflicts <color=#e15226>Fusion</color> DMG.
lang_multi_text.db	ElementalReaction_22_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			Fusion Ensemble
lang_multi_text.db	ElementalReaction_31_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			When the Concerto Effect is triggered, if both Character's attribute types are <color=#1891e7>Glacio</color> and <color=#9656d8>Electro</color>, it triggers the <color=#8c7e51>Cold and Electric Ensemble</color>.\nDebuting CharacterBasic Attack and Heavy Attack deal <color=#8c7e51>40% more damage</color> for <color=#8c7e51>12</color> seconds. does not take effect when the Character is not debuting.
lang_multi_text.db	ElementalReaction_31_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			combined heat and power (physics)
lang_multi_text.db	ElementalReaction_32_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			Triggers <color=#8c7e51>Thermoelectric Ensemble</color> when Concerto Effect is triggered if both Character's Attribute Types are <color=#e15226>Fusion</color> and <color=#9656d8>Electro</color>, respectively.\nDamage dealt by the debuting CharacterResonance Skill is increased by <color=#8c7e51>40%</color> for <color=#8c7e51>12</color> seconds.The effect does not take effect when the Character is not debuting.
lang_multi_text.db	ElementalReaction_32_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			thermoelectric ensemble
lang_multi_text.db	ElementalReaction_33_ReactionDescription	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			When the Concerto Effect is triggered, if both Characters have the same attribute type of <color=#9656d8>Electro</color>, it triggers the <color=#8c7e51>Electro flurry</color>, which deals <color=#9656d8> Electro</color> damage.
lang_multi_text.db	ElementalReaction_33_ReactionName	3.4	Hội thoại/Cốt truyện	Hệ thống/Thuật ngữ			Electro
