dbfile	key	version	category	folder	speaker	mission	anh_en
lang_instance_dungeon.db	148	3.4	Phụ bản	Phụ bản			Hazy Depths
lang_instance_dungeon.db	202	3.4	Phụ bản	Phụ bản			Center Comand Hall
lang_instance_dungeon.db	208	3.4	Phụ bản	Phụ bản			Hazy Depths
lang_instance_dungeon.db	293	3.4	Phụ bản	Phụ bản			Center Comand Hall
lang_instance_dungeon.db	85	3.4	Phụ bản	Phụ bản			Center Comand Hall
lang_instance_dungeon_entrance.db	29	3.4	Phụ bản	Phụ bản			Center Comand Hall
lang_instance_dungeon_entrance.db	33	3.4	Phụ bản	Phụ bản			Hazy Depths
lang_instance_dungeon_entrance.db	5	3.4	Phụ bản	Phụ bản			Center Comand Hall
lang_instance_dungeon_entrance.db	51	3.4	Phụ bản	Phụ bản			Progressing Base
lang_instance_dungeon_entrance.db	53	3.4	Phụ bản	Phụ bản			Zero Point Research Station
lang_instance_dungeon_entrance.db	54	3.4	Phụ bản	Phụ bản			Large-scale underground experiment center built before the Lament. The well below it attain the depth reaching the mohoroviic discontinuity. Secrets and unknown knowledge await you there.
lang_multi_text.db	InstanceDungeonEntrance_1001_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			A desolate land where time flows chaotically. Guided by the Blazing Feather, with the universe as the chessboard and stars as the pieces, the chosen one reaches out to touch the distant past beneath the Eternal Blaze.
lang_multi_text.db	InstanceDungeonEntrance_1001_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Constellation in Temporal Aperture
lang_multi_text.db	InstanceDungeonEntrance_1002_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			The distorted copy of the painting has created a realm of illusion through the artist's Forte. Her deeply rooted negative emotions have corroded its colors and brought powerful Tacet Discords to life.
lang_multi_text.db	InstanceDungeonEntrance_1002_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Ashened Gallery
lang_multi_text.db	InstanceDungeonEntrance_1003_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			A mysterious stained-glass mirror made of energy crystals.\nCome closer. Gaze into me, fix your eyes upon me, until your soul is laid bare—not to the "mirror," but to me.
lang_multi_text.db	InstanceDungeonEntrance_1003_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Realm of Ego
lang_multi_text.db	InstanceDungeonEntrance_1004_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			At the end of the labyrinth lies a bizarre cave, seemingly the source of the mist. In the pitch darkness, twisted shadows flicker, accompanied by low, unsettling growls...
lang_multi_text.db	InstanceDungeonEntrance_1004_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Dark Cave
lang_multi_text.db	InstanceDungeonEntrance_1005_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			A Stargate located in the Modulation Hall, providing access to the depths of the stars.
lang_multi_text.db	InstanceDungeonEntrance_1005_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Deepsky Stargate
lang_multi_text.db	InstanceDungeonEntrance_1006_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			A Stargate located in the Modulation Hall, providing access to the depths of the stars.
lang_multi_text.db	InstanceDungeonEntrance_1006_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Deepsky Stargate
lang_multi_text.db	InstanceDungeonEntrance_1007_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			In Encore's stories, the Wooly Kingdom is a place where wishes come true and stories come alive. If the Gateway of Wishes feels elusive in the real world, perhaps it lies hidden within a story.
lang_multi_text.db	InstanceDungeonEntrance_1007_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Wooly Kingdom
lang_multi_text.db	InstanceDungeonEntrance_1008_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			In Encore's stories, the Wooly Kingdom is a place where wishes come true and stories come alive. If the Gateway of Wishes feels elusive in the real world, perhaps it lies hidden within a story.
lang_multi_text.db	InstanceDungeonEntrance_1008_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Wooly Kingdom
lang_multi_text.db	InstanceDungeonEntrance_1009_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			A Stargate located in the Modulation Hall, providing access to the depths of the stars.
lang_multi_text.db	InstanceDungeonEntrance_1009_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Deepsky Stargate
lang_multi_text.db	InstanceDungeonEntrance_1010_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			The past stagnates, fermenting over time into abnormal frequencies that now drown the castle.\nWill anyone answer the call of the ghosts? Even if their voices are as faint as the pop of a bubble?
lang_multi_text.db	InstanceDungeonEntrance_1010_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Resurfaced Past
lang_multi_text.db	InstanceDungeonEntrance_1013_Description	3.4	Hội thoại/Cốt truyện	Phụ bản			These ancient underground waterways have become gang hideouts. Join Zani in venturing inside to uproot the crime that's spread here.
lang_multi_text.db	InstanceDungeonEntrance_1013_Name	3.4	Hội thoại/Cốt truyện	Phụ bản			Black Alley
