dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	BuildRoadFile_GetItem	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Claim
lang_multi_text.db	BuildRoadFile_MessagePage	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Messages of Appreciation
lang_multi_text.db	BuildRoadFile_RecordsPage	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Spacetrek Observatory Files
lang_multi_text.db	BuildRoadNet_CoreTask	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Operation: Frontier Renewal
lang_multi_text.db	BuildRoadNet_RoadButton_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Mark
lang_multi_text.db	BuildRoadNet_RoadButton_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Unmark
lang_multi_text.db	BuildRoadNet_RoadTag	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Mark as Target
lang_multi_text.db	BuildRoadNet_RoadTagCancel	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Unmark
lang_multi_text.db	BuildRoadNet_RoadTask	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Renewal Objective {0}/{1}
lang_multi_text.db	BuildRoadNet_SmsNotReceived	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Network in Operation
lang_multi_text.db	BuildRoadNet_SmsReceived	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Message of Appreciation
lang_multi_text.db	BuildRoad_10_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			An underwater tunnel connecting Bjartr Woods to Sundermere. Rebuilt with a new blueprint, the tunnel now withstands the tectonic shifts caused by the Exostrider's greatsword. Beyond improved durability, its transparent structure offers travelers a stunning panoramic experience.
lang_multi_text.db	BuildRoad_10_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_10_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_10_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			An underwater tunnel connecting Bjartr Woods to Sundermere. Deep under the seabed, the Exostrider's greatsword causes unusual tectonic shifts, frequently compromising the integrity of the tunnel's rushed and flawed design.
lang_multi_text.db	BuildRoad_10_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Submerged Tunnel
lang_multi_text.db	BuildRoad_1_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			The main road linking Startorch Academy and the Spacetrek Observatory. Students often pull over here to capture the colossal silhouette of the Observatory against the distant sky.
lang_multi_text.db	BuildRoad_1_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_1_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_1_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			<color=#ddc992>This old-model Route Constructor can only be activated using the special materials obtained from "Fire It Up! Route Constructor!".</color>\nThe main road linking Startorch Academy and the Spacetrek Observatory. The now desolate, muddy path still bears the marks of the convoys that once struggled through here.
lang_multi_text.db	BuildRoad_1_InfrPasserName	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Student of the Department of Light Energy Sciences
lang_multi_text.db	BuildRoad_1_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Observatory-Academy Highway
lang_multi_text.db	BuildRoad_2_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A cliffside road carved into the mountain. Researchers studying Lahai-Roi's terrain often marvel at the vast, arcing walls. When convoys pass through, echoes rise from the valley's depths as if answering their awe.
lang_multi_text.db	BuildRoad_2_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_2_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_2_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A cliffside road carved into the mountain. The Void Storm that ravaged the Observatory erased this route as well, leaving only the wind's scream where traffic once passed.
lang_multi_text.db	BuildRoad_2_InfrPasserName	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Student of the Department of Exostrider Engineering
lang_multi_text.db	BuildRoad_2_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Orbit Valley Pass - North
lang_multi_text.db	BuildRoad_3_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A cliffside road carved into the mountain, linking the Spacetrek Observatory with the broader southern Lahai-Roi. A waterfall shrouded in mist marks the road's end.
lang_multi_text.db	BuildRoad_3_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_3_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_3_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A cliffside road carved into the mountain. After the Void Storm destroyed the northern section, this stretch too fell into decay, its cracked surface now buried beneath sand and dirt.
lang_multi_text.db	BuildRoad_3_InfrPasserName	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Student of the Department of Voidmatters Science
lang_multi_text.db	BuildRoad_3_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Orbit Valley Pass - South
lang_multi_text.db	BuildRoad_4_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A key link between the primary network and the cliffside roads. When headlights cut through the sandy wind, travelers can't help but glance toward the distant sandstorm, catching glimpses of a giant shadow moving within.
lang_multi_text.db	BuildRoad_4_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_4_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_4_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Loose soil covers this broken roadway. Once a key link between the primary network and the cliffside roads, it is now all but impassable.
lang_multi_text.db	BuildRoad_4_InfrPasserName	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Student of Rabelle College
lang_multi_text.db	BuildRoad_4_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Sandreach Passage
lang_multi_text.db	BuildRoad_5_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A level waterside road offering a sweeping view. Under the Reactor's glow, the lake shimmers with flecks of light. As you pass, the reflected shoreline shifts and dances across the ripples.
lang_multi_text.db	BuildRoad_5_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_5_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_5_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A level road tracing the lakeshore. Even its sweeping views cannot restore the vitality the pavement itself has lost.
lang_multi_text.db	BuildRoad_5_InfrPasserName	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Teacher of the Startorch Academy
lang_multi_text.db	BuildRoad_5_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Farer's Road
lang_multi_text.db	BuildRoad_6_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A long highway stretching across southern Lahai-Roi. With the Solisylum's approval, the Spacetrek Collective expanded Godhfavn, turning it into a fully developed highway. Out of respect to the Roya, the original name was preserved and translated as Sol's Embrace.
lang_multi_text.db	BuildRoad_6_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_6_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_6_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A long highway stretching across southern Lahai-Roi, initially a natural path leading to Bjartr Woods. The Roya refer to it as Godhfavn, meaning "embrace of the divine."
lang_multi_text.db	BuildRoad_6_InfrPasserName	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Researcher of the Spacetrek Collective
lang_multi_text.db	BuildRoad_6_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Sol's Embrace
lang_multi_text.db	BuildRoad_7_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A road connecting the Howling Tunnel to Startorch Academy. Compared to other roads near the Academy, the Starleap Ascent is of moderate length and has varying road conditions, making it one of the main sites for students' expedition motorbike tests.
lang_multi_text.db	BuildRoad_7_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_7_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_7_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A road connecting the Howling Tunnel to Startorch Academy. Damage has rendered its steep incline nearly impossible to traverse.
lang_multi_text.db	BuildRoad_7_InfrPasserName	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Roya from Solisylum
lang_multi_text.db	BuildRoad_7_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Starleap Ascent
lang_multi_text.db	BuildRoad_8_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			After reinforcing the rock walls and paving the highway, the tunnel can now accommodate heavy transport, shortening the journey from Startorch Academy to southern Lahai-Roi. The winds that once echoed here are now said to carry a different meaning: they are the Exostrider's blessing for Roya students heading to the Academy.
lang_multi_text.db	BuildRoad_8_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_8_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_8_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			The winds roar through this massive natural tunnel, like the rumbling of the Exostrider's throat. The Roya call it Jotunhals, meaning "throat of the Exostrider."
lang_multi_text.db	BuildRoad_8_InfrPasserName	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Lynae
lang_multi_text.db	BuildRoad_8_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Howling Tunnel
lang_multi_text.db	BuildRoad_9_CompleteDes	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A grand bay bridge linking Bjartr Woods to the Etching Plains and Startorch Academy. For Roya students bound for the Academy, the bridge is a gateway to a new life. With anticipation, anxiety, and excitement, they step onto it and begin their academic journey.
lang_multi_text.db	BuildRoad_9_CompleteEffectDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Gain Network Activity <texture=/Game/Aki/UI/UIResources/UiActivity/Image/Activity30/ActivityInfrastructure/Main/T_IconActivityInfrastructure6Small.T_IconActivityInfrastructure6Small/> x{0}
lang_multi_text.db	BuildRoad_9_CompleteEffectDes_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Whenever this road is used, gain Service Credit <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_9_Des	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			A grand bay bridge linking Bjartr Woods and the Etching Plains. Several years ago, a tremor from Sundermere fractured its structure, and it eventually collapsed after seasons of erosion.
lang_multi_text.db	BuildRoad_9_InfrPasserName	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Rakosan
lang_multi_text.db	BuildRoad_9_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Spacetrek–Bjartr Bridge
lang_multi_text.db	BuildRoad_AccRoadPoints	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Total Service Credit Gained <texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> x{0}
lang_multi_text.db	BuildRoad_CompleteDes_1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			You have rebuilt {0}
lang_multi_text.db	BuildRoad_InfrPasser	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			{0} used {1} as an expression of gratitude. The Spacetrek Collective will grant you <color=ffd12f>{2}</color><texture=/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_Act_01_UI.T_IconA80_Act_01_UI,0.48> Service Credit(s).
lang_multi_text.db	BuildRoad_MaterialShortageTips	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Insufficient materials. Building unavailable.
lang_multi_text.db	BuildRoad_MessageName1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Spacetrek Collective
lang_multi_text.db	BuildRoad_ObserMaterialShortageTips	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Insufficient Network Activity
lang_multi_text.db	BuildRoad_ObserTaskShortageTips	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Please proceed with Exploration Quest "Operation: Frontier Renewal"
lang_multi_text.db	BuildRoad_SpecialMaterialTips	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Please proceed with Exploration Quest Operation: Frontier Renewal
lang_multi_text.db	CarnivalTaskTitle1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Complete Main Quest "Utterance of Marvels."
lang_multi_text.db	CarnivalTaskTitle10	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Unlock 20 Rsonance Beacons in total.
lang_multi_text.db	CarnivalTaskTitle11	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Complete any 3 Exploration Quests.
lang_multi_text.db	CarnivalTaskTitle12	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Open 10 Supply Chests of any rank in total.
lang_multi_text.db	CarnivalTaskTitle13	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Open 20 Supply Chests of any rank in total.
lang_multi_text.db	CarnivalTaskTitle14	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Reach Exploration Progress 25% in any 3 areas.
lang_multi_text.db	CarnivalTaskTitle15	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Reach Exploration Progress 50% in any 3 areas.
lang_multi_text.db	CarnivalTaskTitle16	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Upgrade any 3 Resonators to Level 30.
lang_multi_text.db	CarnivalTaskTitle17	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Upgrade 1 Weapon to Level 30.
lang_multi_text.db	CarnivalTaskTitle18	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Upgrade 1 skill of any 1 Resonator to Level 3.
lang_multi_text.db	CarnivalTaskTitle19	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Upgrade 1 Resonator to Level 60.
lang_multi_text.db	CarnivalTaskTitle2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Complete any 3 Acts of the Main Quest
lang_multi_text.db	CarnivalTaskTitle20	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Upgrade 1 Weapon to Level 60.
lang_multi_text.db	CarnivalTaskTitle21	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Absorb 10 Echoes of 3-star rarity or above.
lang_multi_text.db	CarnivalTaskTitle22	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Perform Echo Tuning 10 times in total.
lang_multi_text.db	CarnivalTaskTitle23	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Upgrade any 5 Echoes of 5-star rarity to Level 25.
lang_multi_text.db	CarnivalTaskTitle24	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Consume 240 Waveplates in total.
lang_multi_text.db	CarnivalTaskTitle25	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Complete Dodge or Outro Skill tutorial.
lang_multi_text.db	CarnivalTaskTitle26	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Complete 3 Tactical Hologram: Calamity/Phantom Pain/Synchronization challenges.
lang_multi_text.db	CarnivalTaskTitle27	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Obtain 3 Crests in the Resonant Tower in Tower of Adversity: Stable Zone.
lang_multi_text.db	CarnivalTaskTitle28	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Obtain 6 Crests in the Echoing Tower in Tower of Adversity: Experimental Zone
lang_multi_text.db	CarnivalTaskTitle29	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Clear second floor in the Forbidden Waters in Whimpering Wastes.
lang_multi_text.db	CarnivalTaskTitle3	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Complete any 4 Acts of the Main Quest
lang_multi_text.db	CarnivalTaskTitle30	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Obtain 2,000 Weekly Activity Points in total this week
lang_multi_text.db	CarnivalTaskTitle31	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Obtain 2 Festivity Points.
lang_multi_text.db	CarnivalTaskTitle32	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Obtain 6 Festivity Points.
lang_multi_text.db	CarnivalTaskTitle33	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Obtain 12 Festivity Points.
lang_multi_text.db	CarnivalTaskTitle34	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Obtain 18 Festivity Points.
lang_multi_text.db	CarnivalTaskTitle35	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Obtain 24 Festivity Points.
lang_multi_text.db	CarnivalTaskTitle4	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Complete any 5 Acts of the Main Quest
lang_multi_text.db	CarnivalTaskTitle5	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Reach Union Level 30.
lang_multi_text.db	CarnivalTaskTitle6	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Complete any 1 Companion Story
lang_multi_text.db	CarnivalTaskTitle7	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Reach Data Bank Level 15.
lang_multi_text.db	CarnivalTaskTitle8	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Consume 1600 Astrites in total.
lang_multi_text.db	CarnivalTaskTitle9	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Unlock 5 Resonance Nexus in total.
lang_multi_text.db	ConsumptiveTaskTabTitle1	3.4	Hội thoại/Cốt truyện	Nhiệm vụ			Activity Tasks
