dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	Entity_078584dd258f60753c3ccef73989b3ca06a38072849254da9f35e7e99e31ea0a		Cốt truyện/Nhiệm vụ	Hội thoại tương tác			对话	Talk		Nói chuyện
lang_flow.db	1	3.4	Hội thoại tương tác	Hội thoại tương tác			{\n  "VersionNum": 8,\n  "TextGenId": 18,\n  "FlowGenId": 4,\n  "Flows": [\n    {\n      "Id": 1,\n      "StateGenId": 4,\n      "Name": "剧情1",\n      "States": [\n        {\n          "Name": "初始",\n          "Actions": [\n            {\n              "Name": "ShowTalk",\n              "Params": {\n                "TalkItems": [\n                  {\n                    "Id": 1,\n                    "Name": "对话1",\n                    "WhoId": 6,\n                    "TextId": 1\n                  },\n                  {\n                    "Id": 0,\n                    "Name": "对话2",\n                    "WhoId": 6,\n                    "TextId": 2,\n                    "Options": [\n                      {\n                        "TextId": 3,\n                        "Actions": [\n                          {\n                            "Name": "JumpTalk",\n                            "Params": {\n                              "TalkId": 3\n                            }\n                          }\n                        ]\n                      },\n                      {\n                        "TextId": 4,\n                        "Actions": [\n                          {\n                            "Name": "JumpTalk",\n                            "Params": {\n                              "TalkId": 2\n                            }\n                          }\n                        ]\n                      }\n                    ]\n                  },\n                  {\n                    "Id": 2,\n                    "Name": "对话3",\n                    "WhoId": 6,\n                    "TextId": 5,\n                    "Actions": [\n                      {\n                        "Name": "FinishState",\n                        "Params": {\n                          "Result": "没兴趣"\n                        }\n                      }\n                    ]\n                  },\n                  {\n                    "Id": 3,\n                    "Name": "对话4",\n                    "WhoId": 6,\n                    "TextId": 6,\n                    "Options": [\n                      {\n                        "TextId": 7,\n                        "Actions": [\n                          {\n                            "Name": "ChangeState",\n                            "Params": {\n                              "StateId": 2\n                            }\n                          }\n                        ]\n                      },\n                      {\n                        "TextId": 8,\n                        "Actions": [\n                          {\n                            "Name": "ChangeState",\n                            "Params": {\n                              "StateId": 3\n                            }\n                          }\n                        ]\n                      }\n                    ]\n                  }\n                ]\n              }\n            }\n          ],\n          "Id": 1\n        },\n        {\n          "Name": "坐飞机",\n          "Actions": [\n            {\n              "Name": "ShowTalk",\n              "Params": {\n                "TalkItems": [\n                  {\n                    "Id": 1,\n                    "Name": "对话1",\n                    "WhoId": 6,\n                    "TextId": 9,\n                    "Options": [\n                      {\n                        "TextId": 10,\n                        "Actions": [\n                          {\n                            "Name": "FinishState",\n                            "Params": {\n                              "Result": "坐飞机"\n                            }\n                          }\n                        ]\n                      },\n                      {\n                        "TextId": 11,\n                        "Actions": [\n                          {\n                            "Name": "FinishState",\n                            "Params": {\n                              "Result": "寄存宠物"\n                            }\n                          }\n                        ]\n                      }\n                    ]\n                  }\n                ]\n              }\n            }\n          ],\n          "Id": 2\n        },\n        {\n          "Name": "坐火箭",\n          "Actions": [\n            {\n              "Name": "ShowTalk",\n              "Params": {\n                "TalkItems": [\n                  {\n                    "Id": 1,\n                    "Name": "对话1",\n                    "WhoId": 6,\n                    "TextId": 12\n                  },\n                  {\n                    "Id": 0,\n                    "Name": "对话2",\n                    "WhoId": 6,\n                    "TextId": 13\n                  },\n                  {\n                    "Id": 2,\n                    "Name": "对话3",\n                    "WhoId": 6,\n                    "TextId": 14\n                  },\n                  {\n                    "Id": 3,\n                    "Name": "对话4",\n                    "WhoId": 6,\n                    "TextId": 15,\n                    "Options": [\n                      {\n                        "TextId": 16,\n                        "Actions": [\n                          {\n                            "Name": "FinishState",\n                            "Params": {\n                              "Result": "坐火箭"\n                            }\n                          }\n                        ]\n                      }\n                    ]\n                  }\n                ]\n              }\n            }\n          ],\n          "Id": 3\n        }\n      ]\n    },\n    {\n      "Id": 3,\n      "StateGenId": 2,\n      "Name": "剧情3",\n      "States": [\n        {\n          "Name": "状态1",\n          "Actions": [\n            {\n              "Name": "FinishState",\n              "Params": {\n                "Result": "结果"\n              }\n            }\n          ],\n          "Id": 1\n        }\n      ]\n    }\n  ]\n}			
lang_flow_text.db	1	3.4	Hội thoại tương tác	Hội thoại tương tác			1111111111111			
lang_flow_text.db	10	3.4	Hội thoại tương tác	Hội thoại tương tác			4444444444444444444			
lang_flow_text.db	11	3.4	Hội thoại tương tác	Hội thoại tương tác			4444444444444444444			
lang_flow_text.db	12	3.4	Hội thoại tương tác	Hội thoại tương tác			4444444444444444444			
lang_flow_text.db	13	3.4	Hội thoại tương tác	Hội thoại tương tác			DefaultState			
lang_flow_text.db	14	3.4	Hội thoại tương tác	Hội thoại tương tác			DefaultState			
lang_flow_text.db	15	3.4	Hội thoại tương tác	Hội thoại tương tác			DefaultState			
lang_flow_text.db	2	3.4	Hội thoại tương tác	Hội thoại tương tác			1111111111111			
