dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_activity.db	1	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			飞檐同好会			Hội Yêu Thích Phi Diêm
lang_activity.db	2	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			test/这是一段描述文本			test/Đây là một đoạn văn bản mô tả
lang_activity.db	3	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			test/活动标题			test/Tiêu Đề Hoạt Động
lang_activity.db	4	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			test/这是一段描述文本			test/Đây là một đoạn văn bản mô tả
lang_battlepass.db	1	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			登录游戏			Đăng nhập trò chơi
lang_battlepass.db	10	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			吸收10个声骸			Hấp thụ 10 <ano=Echo>Echo</ano>
lang_battlepass.db	11	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			击败5次领主级敌人			Đánh bại 5 lần kẻ địch cấp Lãnh Chủ
lang_battlepass.db	12	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			击败2次天灾级敌人			Đánh bại 2 lần kẻ địch cấp Thiên Tai
lang_battlepass.db	13	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			完成前进基地			Hoàn thành Căn Cứ Tiền Phương
lang_battlepass.db	14	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			交付30个声匣			Giao nộp 30 Hộp Âm Thanh
lang_battlepass.db	15	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			完成5次人间逸事			Hoàn thành 5 lần Giai Thoại Nhân Gian
lang_battlepass.db	16	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			完成鸣迹历程第一章			Hoàn thành Hành Trình Minh Tích Chương 1
lang_battlepass.db	17	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			完成鸣迹历程第二章			Hoàn thành Hành Trình Minh Tích Chương 2
lang_battlepass.db	18	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			完成鸣迹历程第三章			Hoàn thành Hành Trình Minh Tích Chương 3
lang_battlepass.db	19	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			完成鸣迹历程第四章			Hoàn thành Hành Trình Minh Tích Chương 4
lang_battlepass.db	2	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			消耗200个结晶波片			Tiêu hao 200 Sóng Âm Kết Tinh
lang_battlepass.db	20	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			完成鸣迹历程第五章			Hoàn thành Hành Trình Minh Tích Chương 5
lang_battlepass.db	3	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			完成4次常规委托			Hoàn thành 4 lần Ủy Thác Thông Thường
lang_battlepass.db	4	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			消耗50000黑石币			Tiêu hao 50000 Tiền Hắc Thạch
lang_battlepass.db	5	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			采集任意10个采集物			Thu thập 10 vật phẩm thu thập bất kỳ
lang_battlepass.db	6	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			消耗1600个结晶波片			Tiêu hao 1600 Sóng Âm Kết Tinh
lang_battlepass.db	7	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			消耗800000黑石币			Tiêu hao 800000 Tiền Hắc Thạch
lang_battlepass.db	8	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			通关一次声之领域·武器或声之领域·技能			Vượt qua một lần Lĩnh Vực Âm Thanh·Vũ Khí hoặc Lĩnh Vực Âm Thanh·Kỹ Năng
lang_battlepass.db	9	3.4	Sự kiện/Cửa hàng	Sự kiện/Cửa hàng			烹饪1道菜肴			Nấu 1 món ăn
lang_multi_text.db	Activity 107500001_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			拉海洛的路网系统与用于观测和记录拉海洛的地形、生态、气候的深空测界台曾被虚质磁暴摧毁亟待重建。	Lahai-Roi's route network, along with the Spacetrek Observatory that used to monitor and record its terrain, ecosystem, and climate, has been devastated by a Void Storm. It's time to rebuild them all!	ラハイロイの道路網と、ラハイロイの地形、生態、気候を観測・記録するためのスペーストレック観測台は、かつてヴォイドストームによって破壊され、早急な再建が待たれている。	Hệ thống mạng lưới đường bộ của Lahai-Roi và Đài Đo Lường Không Gian Sâu dùng để quan sát và ghi chép lại địa hình, sinh thái, khí hậu của Lahai-Roi đã từng bị Bão Từ Trường Hư Chất phá hủy và đang cần được xây dựng lại khẩn cấp.
lang_multi_text.db	Activity 107500001_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			开辟测界之路	Operation: Frontier Renewal	観測への道の開拓	Mở Đường Đo Lường
lang_multi_text.db	ActivityAdventureTask_1001_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			调查复苏的无音区	Investigate the re-emerged Tacet Field	無音区を調査する	Điều tra Vùng Vô Thanh thức tỉnh
lang_multi_text.db	ActivityAdventureTask_1001_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			完成1次无音区挑战	Clear any Tacet Field 	無音区を1回クリア	Hoàn thành 1 lần thử thách Vùng Vô Thanh
lang_multi_text.db	ActivityAdventureTask_1002_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			观察徘徊的残象	Observe the lingering TDs	彷徨う残像を観察する	Quan sát Tàn Tượng lảng vảng
lang_multi_text.db	ActivityAdventureTask_1002_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			击败5个敌人	Defeat 5 Enemies 	敵を5体倒す	Đánh Bại 5 kẻ địch
lang_multi_text.db	ActivityAdventureTask_1003_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			记录残象的频率	Record the TD's frequency	残像の周波数を記録する	Ghi lại tần số của Tàn Tượng
lang_multi_text.db	ActivityAdventureTask_1003_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			吸收1个声骸	Absorb 1 Echo 	音骸を1体吸収	Hấp thụ 1 Echo
lang_multi_text.db	ActivityAdventureTask_1004_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			获取强大残象的情报	Learn more about the powerful TD	強大な残像の情報を取得する	Thu thập thông tin của Tàn Tượng mạnh
lang_multi_text.db	ActivityAdventureTask_1004_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			击败1次怒涛级敌人	Defeat 1 Overlord Class 	怒涛級の敵を1回倒す	Đánh Bại 1 lần kẻ địch cấp Nộ Đào
lang_multi_text.db	ActivityAdventureTask_1005_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			提升实力，准备好应对危险	Strengthen yourself for battles	力を上げて、危険に対処できるようにする	Nâng cao thực lực, chuẩn bị ứng phó với nguy hiểm
lang_multi_text.db	ActivityAdventureTask_1005_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			完成1次「模拟领域」挑战	Complete Simulated Challenge 1 time 	「仮想訓練」を1回クリア	Hoàn thành 1 lần thử thách "Lĩnh Vực Mô Phỏng"
lang_multi_text.db	ActivityAdventureTask_1006_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			带回足够的素材样本以供分析	Collect samples for analysis	分析のために十分な素材のサンプルを持ち帰る	Mang về đủ mẫu nguyên liệu để phân tích
lang_multi_text.db	ActivityAdventureTask_1006_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			采集3个采集物	Collect 3 Collectibles 	採取物を3つ採取	Thu thập 3 vật thu thập
lang_multi_text.db	ActivityAdventureTask_1007_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			准备好勘察需要的物资	Get prepared for adventures	調査に必要な物資を準備する	Chuẩn bị sẵn vật tư cần thiết cho việc khảo sát
lang_multi_text.db	ActivityAdventureTask_1007_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			使用合成台合成1次道具	Use the Synthesizer 1 time 	合成マシンを使ってアイテムを1回合成	Dùng Đài Tổng Hợp ghép đạo cụ 1 lần
lang_multi_text.db	ActivityAdventureTask_1008_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			任务途中及时处理好伤口	Take care of your wounds in time	任務途中で傷口を適切に処理する	Kịp thời xử lý vết thương trong lúc làm nhiệm vụ
