dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	LyricsText_750001_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Trading wept of yesterday			
lang_multi_text.db	LyricsText_750001_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Trading wept of yesterday			
lang_multi_text.db	LyricsText_750002_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/For what we sing today			
lang_multi_text.db	LyricsText_750002_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/For what we sing today			
lang_multi_text.db	LyricsText_750003_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Silent martyrs' flames			
lang_multi_text.db	LyricsText_750003_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Silent martyrs' flames			
lang_multi_text.db	LyricsText_750004_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Burning phonies' grin			
lang_multi_text.db	LyricsText_750004_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Burning phonies' grin			
lang_multi_text.db	LyricsText_750005_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Sacred breezes			
lang_multi_text.db	LyricsText_750005_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Sacred breezes			
lang_multi_text.db	LyricsText_750006_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Let the bygone return			
lang_multi_text.db	LyricsText_750006_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Let the bygone return			
lang_multi_text.db	LyricsText_750007_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/All defiers'			
lang_multi_text.db	LyricsText_750007_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/All defiers'			
lang_multi_text.db	LyricsText_750008_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Slashing disbelief			
lang_multi_text.db	LyricsText_750008_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Slashing disbelief			
lang_multi_text.db	LyricsText_750009_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave the dark apart			
lang_multi_text.db	LyricsText_750009_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave the dark apart			
lang_multi_text.db	LyricsText_750010_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Through the blood			
lang_multi_text.db	LyricsText_750010_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Through the blood			
lang_multi_text.db	LyricsText_750011_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Through the sinners' smiles			
lang_multi_text.db	LyricsText_750011_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Through the sinners' smiles			
lang_multi_text.db	LyricsText_750012_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave, to the hope			
lang_multi_text.db	LyricsText_750012_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave, to the hope			
lang_multi_text.db	LyricsText_750013_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To the faith			
lang_multi_text.db	LyricsText_750013_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To the faith			
lang_multi_text.db	LyricsText_750014_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To the heart			
lang_multi_text.db	LyricsText_750014_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To the heart			
lang_multi_text.db	LyricsText_750015_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To the glory of all			
lang_multi_text.db	LyricsText_750015_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To the glory of all			
lang_multi_text.db	LyricsText_750016_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Dawn is breaking in now			
lang_multi_text.db	LyricsText_750016_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Dawn is breaking in now			
lang_multi_text.db	LyricsText_750017_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Flame of sun			
lang_multi_text.db	LyricsText_750017_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Flame of sun			
lang_multi_text.db	LyricsText_750018_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Songs of moon keep on playing with			
lang_multi_text.db	LyricsText_750018_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Songs of moon keep on playing with			
lang_multi_text.db	LyricsText_750019_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Roaring tides			
lang_multi_text.db	LyricsText_750019_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Roaring tides			
lang_multi_text.db	LyricsText_750020_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Rising from our despair			
lang_multi_text.db	LyricsText_750020_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Rising from our despair			
lang_multi_text.db	LyricsText_750021_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Take the veils off			
lang_multi_text.db	LyricsText_750021_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Take the veils off			
lang_multi_text.db	LyricsText_750022_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Show the truth underneath			
lang_multi_text.db	LyricsText_750022_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Show the truth underneath			
lang_multi_text.db	LyricsText_750023_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Succumb to none			
lang_multi_text.db	LyricsText_750023_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Succumb to none			
lang_multi_text.db	LyricsText_750024_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Shatter the shackles			
lang_multi_text.db	LyricsText_750024_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Shatter the shackles			
lang_multi_text.db	LyricsText_750025_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/break them free			
lang_multi_text.db	LyricsText_750025_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/break them free			
lang_multi_text.db	LyricsText_750026_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Set them free			
lang_multi_text.db	LyricsText_750026_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Set them free			
lang_multi_text.db	LyricsText_750027_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Swallow pieces of sorrow			
lang_multi_text.db	LyricsText_750027_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Swallow pieces of sorrow			
lang_multi_text.db	LyricsText_750028_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Absorb all the pain			
lang_multi_text.db	LyricsText_750028_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Absorb all the pain			
lang_multi_text.db	LyricsText_750029_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Breathing in, Breathing out			
lang_multi_text.db	LyricsText_750029_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Breathing in, Breathing out			
lang_multi_text.db	LyricsText_750030_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Hold on tight			
lang_multi_text.db	LyricsText_750030_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Hold on tight			
lang_multi_text.db	LyricsText_750031_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Sliver lining of all			
lang_multi_text.db	LyricsText_750031_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Sliver lining of all			
lang_multi_text.db	LyricsText_750032_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/(Our one last chance)			
lang_multi_text.db	LyricsText_750032_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/(Our one last chance)			
lang_multi_text.db	LyricsText_750033_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Despite blurry clouds			
lang_multi_text.db	LyricsText_750033_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Despite blurry clouds			
lang_multi_text.db	LyricsText_750034_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Blind my eyes			
lang_multi_text.db	LyricsText_750034_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Blind my eyes			
lang_multi_text.db	LyricsText_750035_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Can't rewrite			
lang_multi_text.db	LyricsText_750035_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Can't rewrite			
lang_multi_text.db	LyricsText_750036_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Our triumph's on my mind			
lang_multi_text.db	LyricsText_750036_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Our triumph's on my mind			
lang_multi_text.db	LyricsText_750037_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Victory is shining bright			
lang_multi_text.db	LyricsText_750037_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Victory is shining bright			
lang_multi_text.db	LyricsText_750038_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave the dark apart			
lang_multi_text.db	LyricsText_750038_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave the dark apart			
lang_multi_text.db	LyricsText_750039_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Through the blood			
lang_multi_text.db	LyricsText_750039_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Through the blood			
lang_multi_text.db	LyricsText_750040_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Hear the sinners' cries			
lang_multi_text.db	LyricsText_750040_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Hear the sinners' cries			
lang_multi_text.db	LyricsText_750041_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave, to“all will survive”			
lang_multi_text.db	LyricsText_750041_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave, to“all will survive”			
lang_multi_text.db	LyricsText_750042_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To leap of faith			
lang_multi_text.db	LyricsText_750042_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To leap of faith			
lang_multi_text.db	LyricsText_750043_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave, to“don't look behind”			
lang_multi_text.db	LyricsText_750043_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/Cleave, to“don't look behind”			
lang_multi_text.db	LyricsText_750044_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To dawn's here to stay			
lang_multi_text.db	LyricsText_750044_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			dnt/To dawn's here to stay			
lang_multi_text.db	LyricsText_750045_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Flaking snow</i>	{KeepOrigin}	<i>Flaking snow</i>	<i>Flaking snow</i>
lang_multi_text.db	LyricsText_750045_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>雪花剥落</i>	<i>Flaking snow</i>	<i>雪が舞い落ちて</i>	<i>Hoa tuyết bong tróc</i>
lang_multi_text.db	LyricsText_750046_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Silence grows</i>	{KeepOrigin}	<i>Silence grows</i>	<i>Silence grows</i>
lang_multi_text.db	LyricsText_750046_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>寂静扩散</i>	<i>Silence grows</i>	<i>静けさが 満ちていく</i>	<i>Sự tĩnh lặng lan tỏa</i>
lang_multi_text.db	LyricsText_750047_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Giant steps paving the way</i>	{KeepOrigin}	<i>Giant steps paving the way</i>	<i>Giant steps paving the way</i>
lang_multi_text.db	LyricsText_750047_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>沿着巨人的踪迹前行</i>	<i>Giant steps paving the way</i>	<i>巨人の歩みが 道を拓き</i>	<i>Tiến lên theo dấu vết của người khổng lồ</i>
lang_multi_text.db	LyricsText_750048_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Ancient footprints sleep in longest night</i>	{KeepOrigin}	<i>Ancient footprints sleep in longest night</i>	<i>Ancient footprints sleep in longest night</i>
lang_multi_text.db	LyricsText_750048_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>古老的脚印沉睡在长夜之中</i>	<i>Ancient footprints sleep in longest night</i>	<i>古の足跡は 長い夜に眠り</i>	<i>Những dấu chân cổ xưa chìm vào giấc ngủ trong đêm dài</i>
lang_multi_text.db	LyricsText_750049_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Expecting discovery</i>	{KeepOrigin}	<i>Expecting discovery</i>	<i>Expecting discovery</i>
lang_multi_text.db	LyricsText_750049_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>等待被发现</i>	<i>Expecting discovery</i>	<i>見つけられるのを 待っている</i>	<i>Chờ đợi được khám phá</i>
lang_multi_text.db	LyricsText_750050_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Breathing cold</i>	{KeepOrigin}	<i>Breathing cold</i>	<i>Breathing cold</i>
lang_multi_text.db	LyricsText_750050_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>呼吸着寒冷</i>	<i>Breathing cold</i>	<i>冷たい空気を 深く吸い込み</i>	<i>Hít thở cái lạnh giá</i>
lang_multi_text.db	LyricsText_750051_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Pulsing close</i>	{KeepOrigin}	<i>Pulsing close</i>	<i>Pulsing close</i>
lang_multi_text.db	LyricsText_750051_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>脉动在不远处</i>	<i>Pulsing close</i>	<i>その鼓動を すぐそばに感じて</i>	<i>Sự dao động ở không xa</i>
lang_multi_text.db	LyricsText_750052_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Storms are pushing us to go</i>	{KeepOrigin}	<i>Storms are pushing us to go</i>	<i>Storms are pushing us to go</i>
lang_multi_text.db	LyricsText_750052_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>风暴推着我们向前走</i>	<i>Storms are pushing us to go</i>	<i>嵐が私たちを 突き動かす</i>	<i>Cơn bão đẩy chúng ta tiến bước</i>
lang_multi_text.db	LyricsText_750053_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Reaching down below</i>	{KeepOrigin}	<i>Reaching down below</i>	<i>Reaching down below</i>
lang_multi_text.db	LyricsText_750053_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>往深处前进</i>	<i>Reaching down below</i>	<i>遥かなる 深みを目指して</i>	<i>Tiến về phía sâu thẳm</i>
lang_multi_text.db	LyricsText_750054_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Dive deep into the space</i>	{KeepOrigin}	<i>Dive deep into the space</i>	<i>Dive deep into the space</i>
lang_multi_text.db	LyricsText_750054_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>潜入宇宙的深处</i>	<i>Dive deep into the space</i>	<i>宇宙の淵へ 飛び込んで</i>	<i>Lặn vào nơi sâu thẳm của vũ trụ</i>
lang_multi_text.db	LyricsText_750055_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Across the stars riding away</i>	{KeepOrigin}	<i>Across the stars riding away</i>	<i>Across the stars riding away</i>
lang_multi_text.db	LyricsText_750055_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>越过繁星开往尽头</i>	<i>Across the stars riding away</i>	<i>星々を越え 彼方へ</i>	<i>Vượt qua những vì sao đi đến tận cùng</i>
lang_multi_text.db	LyricsText_750056_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>To all the places where we’ve never been</i>	{KeepOrigin}	<i>To all the places where we've never been</i>	<i>To all the places where we’ve never been</i>
lang_multi_text.db	LyricsText_750056_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>找寻未曾踏足过的地方</i>	<i>To all the places where we’ve never been</i>	<i>まだ誰も 知らない場所へ</i>	<i>Tìm kiếm những nơi chưa từng đặt chân tới</i>
lang_multi_text.db	LyricsText_750057_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>That’s our curiosity</i>	{KeepOrigin}	<i>That's our curiosity</i>	<i>That’s our curiosity</i>
lang_multi_text.db	LyricsText_750057_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>那是我们的好奇心</i>	<i>That’s our curiosity</i>	<i>この好奇心は</i>	<i>Đó là sự tò mò của chúng ta</i>
lang_multi_text.db	LyricsText_750058_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Linger on</i>	{KeepOrigin}	<i>Linger on</i>	<i>Linger on</i>
lang_multi_text.db	LyricsText_750058_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>不曾消散</i>	<i>Linger on</i>	<i>決して消えないから</i>	<i>Chưa từng tan biến</i>
lang_multi_text.db	LyricsText_750059_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Wishing for the better days</i>	{KeepOrigin}	<i>Wishing for the better days</i>	<i>Wishing for the better days</i>
lang_multi_text.db	LyricsText_750059_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>祈祷着有那么一天</i>	<i>Wishing for the better days</i>	<i>輝く明日を 願って</i>	<i>Cầu nguyện một ngày nào đó</i>
