dbfile	key	version	category	folder	speaker	mission	anh_en
lang_subtitle_text.db	1	3.4	Phụ đề	Phụ đề			San'hua
lang_subtitle_text.db	1000	3.4	Phụ đề	Phụ đề			Yangyang
lang_subtitle_text.db	1004	3.4	Phụ đề	Phụ đề			Yangyang
lang_subtitle_text.db	1007	3.4	Phụ đề	Phụ đề			Yangyang
lang_subtitle_text.db	1010	3.4	Phụ đề	Phụ đề			Yangyang
lang_subtitle_text.db	1012	3.4	Phụ đề	Phụ đề			Yangyang
lang_subtitle_text.db	1014	3.4	Phụ đề	Phụ đề			Yangyang
lang_subtitle_text.db	1016	3.4	Phụ đề	Phụ đề			Gleamtender
lang_subtitle_text.db	1017	3.4	Phụ đề	Phụ đề			Wait, what's... No! It can't be!
lang_subtitle_text.db	1018	3.4	Phụ đề	Phụ đề			Rover
lang_subtitle_text.db	1019	3.4	Phụ đề	Phụ đề			Stop following me already! Can't you hear the bells?
lang_subtitle_text.db	1020	3.4	Phụ đề	Phụ đề			Gleamtender
lang_subtitle_text.db	1021	3.4	Phụ đề	Phụ đề			Ugh, why am I getting mad at a dummy with no memories... You, you don't understand a thing!
lang_subtitle_text.db	1022	3.4	Phụ đề	Phụ đề			Gleamtender
lang_subtitle_text.db	1023	3.4	Phụ đề	Phụ đề			Listen up, I'm only gonna say this once...
lang_subtitle_text.db	1024	3.4	Phụ đề	Phụ đề			Gleamtender
lang_subtitle_text.db	1025	3.4	Phụ đề	Phụ đề			That knell, is meant for fallen comrades!
lang_subtitle_text.db	1026	3.4	Phụ đề	Phụ đề			Gleamtender
lang_subtitle_text.db	1027	3.4	Phụ đề	Phụ đề			Yangyang... What if she...
lang_subtitle_text.db	1028	3.4	Phụ đề	Phụ đề			Gleamtender
lang_subtitle_text.db	1029	3.4	Phụ đề	Phụ đề			No, she's gonna be alright!
lang_subtitle_text.db	1030	3.4	Phụ đề	Phụ đề			Gleamtender
lang_subtitle_text.db	1031	3.4	Phụ đề	Phụ đề			Rover, you're here.
lang_subtitle_text.db	1032	3.4	Phụ đề	Phụ đề			Yangyang
lang_subtitle_text.db	1033	3.4	Phụ đề	Phụ đề			It's great to see you're recovered. I thought you were...
