dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	2412	3.4	Hội thoại/Cốt truyện	Tên người nói						Thạch Thải Đình
lang_multi_text.db	2414	3.4	Hội thoại/Cốt truyện	Tên người nói						Chi Tú
lang_multi_text.db	2416	3.4	Hội thoại/Cốt truyện	Tên người nói						Hành Phong
lang_multi_text.db	2418	3.4	Hội thoại/Cốt truyện	Tên người nói						Thiên Linh
lang_multi_text.db	2420	3.4	Hội thoại/Cốt truyện	Tên người nói						Thượng Văn
lang_multi_text.db	2422	3.4	Hội thoại/Cốt truyện	Tên người nói						Ông Kim - thị dân nhiệt tình
lang_multi_text.db	2424	3.4	Hội thoại/Cốt truyện	Tên người nói						Không rõ danh tính
lang_multi_text.db	2426	3.4	Hội thoại/Cốt truyện	Tên người nói						Xuyên Sán Giáp
lang_multi_text.db	2428	3.4	Hội thoại/Cốt truyện	Tên người nói						Tiểu Tuệ
lang_multi_text.db	2430	3.4	Hội thoại/Cốt truyện	Tên người nói						Chủ quầy ẩm thực
lang_multi_text.db	2432	3.4	Hội thoại/Cốt truyện	Tên người nói						Thỉ Ngôn
lang_multi_text.db	2434	3.4	Hội thoại/Cốt truyện	Tên người nói						Đám khán giả vây xem
lang_multi_text.db	2436	3.4	Hội thoại/Cốt truyện	Tên người nói						Ly Bá
lang_multi_text.db	2438	3.4	Hội thoại/Cốt truyện	Tên người nói						Thúy Thúy
lang_multi_text.db	2440	3.4	Hội thoại/Cốt truyện	Tên người nói						Bá Nguyên
lang_multi_text.db	2442	3.4	Hội thoại/Cốt truyện	Tên người nói						Tri Thu
lang_multi_text.db	2444	3.4	Hội thoại/Cốt truyện	Tên người nói						Tĩnh Linh
lang_multi_text.db	2446	3.4	Hội thoại/Cốt truyện	Tên người nói						Thương nhân ngoại địa
lang_multi_text.db	2448	3.4	Hội thoại/Cốt truyện	Tên người nói						Momo
lang_multi_text.db	2450	3.4	Hội thoại/Cốt truyện	Tên người nói						Bà Tuyết Di
lang_multi_text.db	2452	3.4	Hội thoại/Cốt truyện	Tên người nói						Tiểu Nhiễm
lang_multi_text.db	2454	3.4	Hội thoại/Cốt truyện	Tên người nói						Wangxiu
lang_multi_text.db	2456	3.4	Hội thoại/Cốt truyện	Tên người nói						Chính Đình
lang_multi_text.db	2458	3.4	Hội thoại/Cốt truyện	Tên người nói						Thạch Thiên
lang_multi_text.db	2460	3.4	Hội thoại/Cốt truyện	Tên người nói						Ất Hướng
lang_multi_text.db	2462	3.4	Hội thoại/Cốt truyện	Tên người nói						Tân Chỉ
lang_multi_text.db	2464	3.4	Hội thoại/Cốt truyện	Tên người nói						Xiaoyu
lang_multi_text.db	2466	3.4	Hội thoại/Cốt truyện	Tên người nói						Trì Gia Văn
lang_multi_text.db	2468	3.4	Hội thoại/Cốt truyện	Tên người nói						Các binh sĩ
lang_multi_text.db	2470	3.4	Hội thoại/Cốt truyện	Tên người nói						Tuần úy khẩn thiết
lang_multi_text.db	2472	3.4	Hội thoại/Cốt truyện	Tên người nói						Thành viên Dạ Quy bị thương
lang_multi_text.db	2474	3.4	Hội thoại/Cốt truyện	Tên người nói						Thành viên Dạ Quy
lang_multi_text.db	2476	3.4	Hội thoại/Cốt truyện	Tên người nói						Tuần úy ân cần
lang_multi_text.db	2478	3.4	Hội thoại/Cốt truyện	Tên người nói						Tuần úy mệt mỏi
lang_multi_text.db	2480	3.4	Hội thoại/Cốt truyện	Tên người nói						Binh sĩ Dạ Quy lão luyện
lang_multi_text.db	2482	3.4	Hội thoại/Cốt truyện	Tên người nói						Binh sĩ Dạ Quy trẻ tuổi
lang_multi_text.db	2484	3.4	Hội thoại/Cốt truyện	Tên người nói						Đội viên Dạ Quy phiền muộn
lang_multi_text.db	2486	3.4	Hội thoại/Cốt truyện	Tên người nói						Đội viên Dạ Quy điềm tĩnh
lang_multi_text.db	2488	3.4	Hội thoại/Cốt truyện	Tên người nói						Chú hiền lành
lang_multi_text.db	2490	3.4	Hội thoại/Cốt truyện	Tên người nói						Cô gái nhiệt tình
lang_multi_text.db	2492	3.4	Hội thoại/Cốt truyện	Tên người nói						Oánh Oánh
