dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_handbook.db	1	3.4	Quái	Quái			先锋幼岩	Vanguard Junrock	先兵岩塊	<ano=Vanguard Junrock>Junrock Tiên Phong</ano>
lang_handbook.db	10	3.4	Quái	Quái			幻象-失序种	food ingredient	食材	Ảo Ảnh - Thất Tự Chủng
lang_handbook.db	100	3.4	Quái	Quái			幼年捣蛋猿跟随成体学习战斗技巧，其攻击方式和成体并无二致。	Breakthrough material for Resonator	共鳴者突破素材	Khỉ Quậy Phá ấu thể học kỹ năng chiến đấu từ con trưởng thành, cách tấn công không khác gì so với con trưởng thành.
lang_handbook.db	101	3.4	Quái	Quái			晶鳌蝎	Breakthrough material for Resonator	共鳴者突破素材	Bọ Cạp Càng Tinh
lang_handbook.db	102	3.4	Quái	Quái			异变生物	Breakthrough material for Resonator	共鳴者突破素材	Sinh Vật Dị Biến
lang_handbook.db	103	3.4	Quái	Quái			晶螯蝎是异变生物学中少有的通用名、学名统一的异变生物，据说发现它的皇龙生物学家是个性情拖沓之人，思考到去世也没确定合适的学名。而在此期间，通用名已被各大学术期刊引用，后人有想修订的，也碍于巨大的成本而作罢了。	The Cyrscorpion is one of the few Mutant Organisms that shares the same common name and scientific classification.	晶化ハサミは異変生物学上では珍しく「通用名」と「学名」が統一する異変生物。発見した皇龍生物学者は何とも性格は緩くて、亡くなるまでに学名が思いつかなかったとか。その間で通用名の方は各学術誌に引用され、修正したい後継者もあまりに膨大な費用で提案を見送った。	<ano=Cyrscorpion>Bọ Cạp Tinh Ngao</ano> là một trong số ít <ano=Mutant Organism>Sinh Vật Dị Biến</ano> có tên thông dụng và <ano=Binomial name>tên khoa học</ano> trùng khớp trong Sinh học Sinh vật Biến dị. Nghe nói nhà sinh vật học <ano=Huanglong>Hoàng Long</ano> phát hiện ra nó là người có cá tính chậm chạp lề mề, suy nghĩ đến lúc qua đời cũng chưa xác định được tên khoa học thích hợp. Trong khoảng thời gian đó, tên thông dụng đã được các <ano=academic journal>tạp chí học thuật</ano> lớn trích dẫn, người đời sau có muốn chỉnh sửa lại, cũng vì chi phí khổng lồ mà đành thôi.
lang_handbook.db	104	3.4	Quái	Quái			晶螯蝎受到正面攻击时，会使用螯进行防御，此时如果能找到机会使用手枪攻击其背部的潮石核心，可以快速将其击败。	Breakthrough material for Resonator	共鳴者突破素材	Khi Bọ Cạp Càng Tinh chịu đòn tấn công chính diện, nó sẽ dùng càng để phòng ngự. Lúc này nếu tìm được cơ hội dùng Súng Lục tấn công lõi Triều Thạch trên lưng nó, có thể nhanh chóng đánh bại nó.
lang_handbook.db	105	3.4	Quái	Quái			寒霜陆龟	Frostbite Tertoise	寒霜亀	<ano=Hoartoise>Rùa Cạn Hàn Sương</ano>
lang_handbook.db	106	3.4	Quái	Quái			异变生物	Breakthrough material for Resonator	共鳴者突破素材	Sinh Vật Dị Biến
lang_handbook.db	107	3.4	Quái	Quái			<color=#1891e7>【冷凝】</color>\n该敌人<color=#1891e7>冷凝伤害</color><color=#b49f50>抗性较高</color>。\n\n学名“寒颚龟”，陆生爬行类异变生物。性情暴躁，会主动冲撞挑衅体型大于它的生物，尚无法确定此举是否和异变有关。在皇龙，龟常被看作沉稳老练的象征，寒霜陆龟除外。	Binomial name "Chelydra frigidus ", a Mutant Organism the genus Chelydra.	学名「寒霜亀」、陸生爬虫類異変生物。性格は凶暴で、自分より体型が上の生物にも体当たりで挑発する。この行動は異変との関連性はまだ調査中。皇龍では、亀が「落ち着き」を意味する事は多いが、「寒霜亀」は例外である。	<color=#1891e7>[<ano=Glacio>Ngưng Băng</ano>]</color>\nKẻ địch này <color=#b49f50>tăng kháng</color> <color=#1891e7>sát thương <ano=Glacio>Ngưng Băng</ano></color>.\n\nTên khoa học "<ano=Chelydra frigidus>Rùa Hàm Băng</ano>", <ano=Mutant Organism of terrestrial reptiles>Sinh vật biến dị bò sát trên cạn</ano>. Tính tình hung bạo, chủ động lao vào khiêu khích các sinh vật có thể hình lớn hơn nó, hiện chưa thể xác định hành vi này có liên quan đến dị biến hay không. Ở <ano=Huanglong>Hoàng Long</ano>, rùa thường được xem là biểu tượng của <ano=Composure>Trầm Ổn</ano> dày dạn, ngoại trừ <ano=Hoartoise>Rùa Cạn Hàn Sương</ano>.
