dbfile	key	version	category	folder	speaker	mission	anh_en
lang_UiHotKot.db	11	moi	Thêm từ game	Thêm từ game			Item Handling
lang_UiHotKot.db	12	moi	Thêm từ game	Thêm từ game			Increase
lang_UiHotKot.db	13	moi	Thêm từ game	Thêm từ game			Decrease
lang_UiHotKot.db	14	moi	Thêm từ game	Thêm từ game			View Description
lang_UiHotKot.db	15	moi	Thêm từ game	Thêm từ game			Choral Rank
lang_UiHotKot.db	16	moi	Thêm từ game	Thêm từ game			Copy ID
lang_UiHotKot.db	17	moi	Thêm từ game	Thêm từ game			Inpect Item
lang_UiHotKot.db	18	moi	Thêm từ game	Thêm từ game			Max
lang_UiHotKot.db	19	moi	Thêm từ game	Thêm từ game			Complete
lang_UiHotKot.db	20	moi	Thêm từ game	Thêm từ game			Previous Character
lang_UiHotKot.db	21	moi	Thêm từ game	Thêm từ game			Next Character
lang_UiHotKot.db	22	moi	Thêm từ game	Thêm từ game			Read
lang_UiHotKot.db	23	moi	Thêm từ game	Thêm từ game			Clear All
lang_UiHotKot.db	24	moi	Thêm từ game	Thêm từ game			Check Currency
lang_UiHotKot.db	25	moi	Thêm từ game	Thêm từ game			Details
lang_UiHotKot.db	26	moi	Thêm từ game	Thêm từ game			Select Character
lang_UiHotKot.db	27	moi	Thêm từ game	Thêm từ game			Shortlist
lang_UiHotKot.db	28	moi	Thêm từ game	Thêm từ game			Purchase
lang_UiHotKot.db	4	moi	Thêm từ game	Thêm từ game			Close
lang_UiHotKot.db	5	moi	Thêm từ game	Thêm từ game			Inspect
lang_advice.db	31	moi	Thêm từ game	Thêm từ game			Exile Commoner
lang_advice.db	33	moi	Thêm từ game	Thêm từ game			Tacet Field
lang_advice.db	34	moi	Thêm từ game	Thêm từ game			Calamity Class
lang_advice.db	35	moi	Thêm từ game	Thêm từ game			Overlord Class
lang_advice.db	36	moi	Thêm từ game	Thêm từ game			Elite Class
lang_advice.db	37	moi	Thêm từ game	Thêm từ game			Standard Class
lang_advice.db	55	moi	Thêm từ game	Thêm từ game			Jump
lang_advice.db	61	moi	Thêm từ game	Thêm từ game			Hand Glider
lang_advice.db	64	moi	Thêm từ game	Thêm từ game			Cooking
lang_advice.db	66	moi	Thêm từ game	Thêm từ game			Pioneer Association
lang_advice.db	67	moi	Thêm từ game	Thêm từ game			Squeak Express
lang_bag.db	6	moi	Thêm từ game	Thêm từ game			Missions
lang_calabash.db	43	moi	Thêm từ game	Thêm từ game			Feilian Beringal
lang_calabash.db	44	moi	Thêm từ game	Thêm từ game			Gleamtender
lang_calabash.db	46	moi	Thêm từ game	Thêm từ game			Chaserazor
lang_calabash.db	47	moi	Thêm từ game	Thêm từ game			Chirpuff
lang_cook.db	1	moi	Thêm từ game	Thêm từ game			Hotpot Broth
lang_cook.db	10	moi	Thêm từ game	Thêm từ game			Shredded Crownless
lang_cook.db	11	moi	Thêm từ game	Thêm từ game			A delicious cuisine ready to be served.
lang_cook.db	13	moi	Thêm từ game	Thêm từ game			Dragon Beard Crisp
lang_cook.db	14	moi	Thêm từ game	Thêm từ game			A delicious cuisine ready to be served.
