dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	Activity 107500001_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Lahai-Roi's route network, along with the Spacetrek Observatory that used to monitor and record its terrain, ecosystem, and climate, has been devastated by a Void Storm. It's time to rebuild them all!
lang_multi_text.db	Activity 107500001_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Operation: Frontier Renewal
lang_multi_text.db	ActivityAdventureTask_1001_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Investigate the re-emerged Tacet Field
lang_multi_text.db	ActivityAdventureTask_1001_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Clear any Tacet Field 
lang_multi_text.db	ActivityAdventureTask_1002_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Observe the lingering TDs
lang_multi_text.db	ActivityAdventureTask_1002_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Defeat 5 Enemies 
lang_multi_text.db	ActivityAdventureTask_1003_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Record the TD's frequency
lang_multi_text.db	ActivityAdventureTask_1003_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Absorb 1 Echo 
lang_multi_text.db	ActivityAdventureTask_1004_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Learn more about the powerful TD
lang_multi_text.db	ActivityAdventureTask_1004_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Defeat 1 Overlord Class 
lang_multi_text.db	ActivityAdventureTask_1005_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Strengthen yourself for battles
lang_multi_text.db	ActivityAdventureTask_1005_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Complete Simulated Challenge 1 time 
lang_multi_text.db	ActivityAdventureTask_1006_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Collect samples for analysis
lang_multi_text.db	ActivityAdventureTask_1006_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Collect 3 Collectibles 
lang_multi_text.db	ActivityAdventureTask_1007_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Get prepared for adventures
lang_multi_text.db	ActivityAdventureTask_1007_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Use the Synthesizer 1 time 
lang_multi_text.db	ActivityAdventureTask_1008_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Take care of your wounds in time
lang_multi_text.db	ActivityAdventureTask_1008_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Consume any Potion 1 time.
lang_multi_text.db	ActivityAdventureTask_1009_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Treat yourself to some tasty food
lang_multi_text.db	ActivityAdventureTask_1009_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Consume any Dish 1 time 
lang_multi_text.db	ActivityAdventureTask_1010_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Get prepared for adventures
lang_multi_text.db	ActivityAdventureTask_1010_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Obtain 1 piece of Raw Meat 
lang_multi_text.db	ActivityAdventureTask_1011_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Strengthen yourself for battles
lang_multi_text.db	ActivityAdventureTask_1011_Title	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Tune any Echo 1 time 
lang_multi_text.db	ActivityAdventureTask_1012_Desc	3.4	Hội thoại/Cốt truyện	Sự kiện/Cửa hàng			Strengthen yourself for battles
