dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	Augusta_shengtai2_10_1	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		No cheers. No applause. Only the wind and the sea crashing against the cliffs...
lang_multi_text.db	Augusta_shengtai2_10_10	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		Only then could I stand in the center of the arena and drill the techniques I dared not fail in daylight.
lang_multi_text.db	Augusta_shengtai2_10_11	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		By day, this place is for glory and applause. By night… it belongs to those denied glory, but who grit their teeth and fight on.
lang_multi_text.db	Augusta_shengtai2_10_12	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		Back then, a place like this to train in felt like a luxury I had no right to.
lang_multi_text.db	Augusta_shengtai2_10_13	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật			I wish I could see that Augusta.
lang_multi_text.db	Augusta_shengtai2_10_14	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật			Luckily, those days are now behind you.
lang_multi_text.db	Augusta_shengtai2_10_15	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		Hehe, but you already have, haven't you? That foolish little girl…
lang_multi_text.db	Augusta_shengtai2_10_16	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		But truly, I'd wager no matter when and where we met, we would have become friends all the same.
lang_multi_text.db	Augusta_shengtai2_10_17	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật			I believe that too.
lang_multi_text.db	Augusta_shengtai2_10_18	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		Yes. I took the rough road but eventually came through.
lang_multi_text.db	Augusta_shengtai2_10_19	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		And I count myself lucky to have found a friend like you.
lang_multi_text.db	Augusta_shengtai2_10_2	3.4	Hội thoại/Cốt truyện	Hội thoại nhân vật	NPC #250022		Too quiet. Doesn't feel like an arena, does it?
