dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	AdventureTaskChapter_1_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			First Stage
lang_multi_text.db	AdventureTaskChapter_2_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Second Stage
lang_multi_text.db	AdventureTaskChapter_3_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Third Stage
lang_multi_text.db	AdventureTaskChapter_4_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Fourth Stage
lang_multi_text.db	AdventureTaskChapter_5_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Fifth Stage
lang_multi_text.db	AdventureTask_10020001_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Level up 1 Resonator to Lv. 20
lang_multi_text.db	AdventureTask_10020002_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Equip 1 3-Star or above Weapon
lang_multi_text.db	AdventureTask_10020003_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Upgrade 1 Weapon to Lv.20
lang_multi_text.db	AdventureTask_10020004_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Activate Resonance Nexus in the Central Plains
lang_multi_text.db	AdventureTask_10020005_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Complete Main Quest: Echoing Marche
lang_multi_text.db	AdventureTask_10020006_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Open 10 Supply Chests
lang_multi_text.db	AdventureTask_10020007_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Level up 1 Resonator to Lv. 30
lang_multi_text.db	AdventureTask_10020008_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Upgrade 1 Weapon to Lv.30
lang_multi_text.db	AdventureTask_10020009_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Activate Resonance Nexus in the Port City of Guixu
lang_multi_text.db	AdventureTask_10020010_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Complete Main Quest: Ominous Star
lang_multi_text.db	AdventureTask_10020011_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Complete Basic Training 1 time
lang_multi_text.db	AdventureTask_10020012_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Activate 6 Resonance Beacons
lang_multi_text.db	AdventureTask_10020013_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Absorb 10 Echoes of 2-Star or above rarity
lang_multi_text.db	AdventureTask_10020014_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Activate any Sonata Effect on 1 Resonator
lang_multi_text.db	AdventureTask_10020015_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Level up 3 Resonators to Lv. 30
lang_multi_text.db	AdventureTask_10020016_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Purchase 1 item from the Souvenir Store
lang_multi_text.db	AdventureTask_10020017_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Level up 1 Echo to Lv. 10
lang_multi_text.db	AdventureTask_10020018_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Activate Resonance Nexus in the Tiger's Maw
lang_multi_text.db	AdventureTask_10020019_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Complete Main Quest: Clashing Blades
lang_multi_text.db	AdventureTask_10020020_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Cook 2 Dishes
lang_multi_text.db	AdventureTask_10020021_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Complete Resonator Skill Tutorial 2 times
lang_multi_text.db	AdventureTask_10020022_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Obtain 3 Crests in Resonant Tower in Tower of Adversity: Stable Zone
lang_multi_text.db	AdventureTask_10020023_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Level up 1 Resonator to Lv. 50
lang_multi_text.db	AdventureTask_10020024_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Upgrade 1 Weapon to Lv.50
lang_multi_text.db	AdventureTask_10020025_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Level up 5 Echoes to Lv. 10
lang_multi_text.db	AdventureTask_10020026_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Activate Resonance Nexus in the Dim Forest
lang_multi_text.db	AdventureTask_10020027_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Tune 3 Echoes in total
lang_multi_text.db	AdventureTask_10020028_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Become a Lv. 2 Pioneer in Jinzhou
lang_multi_text.db	AdventureTask_10020029_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Complete Forgery Challenges 2 times
lang_multi_text.db	AdventureTask_10020030_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Craft an item at Synthesizer 1 time
lang_multi_text.db	AdventureTask_10020031_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Absorb 10 Echoes of 3-Star or above rarity
lang_multi_text.db	AdventureTask_10020032_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Level up 1 skill of 1 Resonator to Lv. 3
lang_multi_text.db	AdventureTask_10020033_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Level up 3 Resonators to Lv. 50
lang_multi_text.db	AdventureTask_10020034_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			Upgrade 3 Weapons to Lv.50
