Tiếng Trung (CN),Tiếng Việt chuẩn (VI),Tiếng Anh (EN),Bản dịch phụ (Alt),Từ cấm dùng,Ghi chú
"""MES0981""",Yangyang,,,,tên riêng (tự điền)
"""NUS8910""","""NUS8910""",,,,tên riêng (tự điền)
/test,Lingyang,,,,tên riêng (tự điền)
10号演员,Diễn Viên Số 10,,,,tên riêng (tự điền)
1789号,1924,,,,tên riêng (tự điền)
1793号,Lv.1,,,,tên riêng (tự điền)
1795号,Yangyang,,,,tên riêng (tự điền)
1号演员,{0}+{1},,,,tên riêng (tự điền)
1号演员&2号演员&3号演员,Diễn viên số 1&Diễn viên số 2&Diễn viên số 3,,,,tên riêng (tự điền)
1号演员：,Diễn viên số 1：,,,,tên riêng (tự điền)
1号演员：罗兰,Diễn Viên Số 1: Roland,,,,tên riêng (tự điền)
1号说话人,Người nói số 1,,,,tên riêng (tự điền)
1好演员,Diễn Viên Giỏi Số 1,,,,tên riêng (tự điền)
2 号演员,Diễn Viên Số 2,,,,tên riêng (tự điền)
2.7暂时空置,2.7 Tạm Để Trống,,,,tên riêng (tự điền)
2号演员,×,,,,tên riêng (tự điền)
2号说话人,Người nói số 2,,,,tên riêng (tự điền)
3号演员,6,,,,tên riêng (tự điền)
4号演员,Diễn Viên Số 4,,,,tên riêng (tự điền)
5号演员,9999,,,,tên riêng (tự điền)
6号演员,Diễn Viên Số 6,,,,tên riêng (tự điền)
7号演员,Diễn Viên Số 7,,,,tên riêng (tự điền)
89号能源,200,Energy 89,,,tên riêng (tự điền)
8号演员,Diễn Viên Số 8,,,,tên riêng (tự điền)
92号能源,-60%,Energy 92,,,tên riêng (tự điền)
95号能源,<ano=fluids>Aalto</ano>,Energy 95,,,tên riêng (tự điền)
98号能源,<ano=fluids>Aalto</ano>,Energy 98,,,tên riêng (tự điền)
9号演员,"Tồn tại Bất thường, nếu có thắc mắc vui lòng liên hệ chăm sóc khách hàng chính thức.",,,,tên riêng (tự điền)
???,???,,,,tên riêng (tự điền)
???（师父）,??? (Sư Phụ),,,,tên riêng (tự điền)
AI语音,"Sanhua vừa dứt lời, từ Khu Công Nghiệp đã vang lên tiếng nổ lớn, khói đen bốc lên, dự cảm chẳng lành bao trùm mọi người. Cùng lúc đó, Jiyan gọi liên lạc khẩn cấp đến.",,,,tên riêng (tự điền)
B.1.N.G.O,B.1.N.G.O,,,,tên riêng (tự điền)
B.1.N.G.O.,B.1.N.G.O.,,,,tên riêng (tự điền)
D12547号特别行动日记,Speaker_998_Name,,,,tên riêng (tự điền)
I.R.I.S,I.R.I.S,,,,tên riêng (tự điền)
I.R.I.S.,I.R.I.S.,,,,tên riêng (tự điền)
I.R.I.S.的投影,Hình Chiếu Của I.R.I.S.,,,,tên riêng (tự điền)
K.F.,K.F.,,,,tên riêng (tự điền)
K357,K357,,,,tên riêng (tự điền)
N.A.N.A,N.A.N.A,,,,tên riêng (tự điền)
N.A.N.A.,N.A.N.A.,,,,tên riêng (tự điền)
N.A.N.A.（投影）,N.A.N.A. (Hình Chiếu),,,,tên riêng (tự điền)
N.A.N.A.（通讯中）,N.A.N.A.,,,,tên riêng (tự điền)
Nanami,Nanami,,,,tên riêng (tự điền)
S.I.G.M.A,S.I.G.M.A,,,,tên riêng (tự điền)
S.I.G.M.A.,S.I.G.M.A.,,,,tên riêng (tự điền)
boss战说明,Hướng dẫn đánh boss,,,,tên riêng (tự điền)
os,os,,,,tên riêng (tự điền)
{PlayerName},{PlayerName},,,,tên riêng (tự điền)
{PlayerName}。,{PlayerName}.,,,,tên riêng (tự điền)
{PlayerName}思考,{PlayerName} (Suy nghĩ),,,,tên riêng (tự điền)
{PlayerName}无语,{PlayerName} (Cạn lời),,,,tên riêng (tự điền)
{PlayerName}眯眼笑,{PlayerName} (Cười tít mắt),,,,tên riêng (tự điền)
