dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	FlowEditor_145000002_5910	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			(需要美味的食物)	[Delicious dishes required]	（美味しい食べ物が必要）	(Cần thức ăn ngon)
lang_multi_text.db	FlowEditor_145000002_5911	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			需要持有「传统窑炉披萨」或「热海皇梨披萨」或「青枝月桂沙拉」	Pizza Classica, Pizza Tropicale, or Laurus Salad required	「昔ながらの窯焼きピザ」「ピザ・トロピカーレ」「ラウルスサラダ」のどれかが必要	Cần sở hữu "Pizza Lò Nướng Truyền Thống" hoặc "Pizza Hoàng Lê Biển Nhiệt Đới" hoặc "Salad Nguyệt Quế Cành Xanh"
lang_multi_text.db	FlowEditor_145000002_5912	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			(需要持有「传统窑炉披萨」)	[Pizza Classica required]	（「昔ながらの窯焼きピザ」が必要）	(Cần sở hữu "Pizza Lò Nướng Truyền Thống")
lang_multi_text.db	FlowEditor_145000002_5913	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			需要持有「传统窑炉披萨」	Pizza Classica required	「昔ながらの窯焼きピザ」が必要	Cần sở hữu "Pizza Lò Nướng Truyền Thống"
lang_multi_text.db	FlowEditor_145000002_5914	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			(需要持有「热海皇梨披萨」)	[Pizza Tropicale required]	（「ピザ・トロピカーレ」が必要）	(Cần sở hữu "Pizza Hoàng Lê Biển Nhiệt Đới")
lang_multi_text.db	FlowEditor_145000002_5915	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			需要持有「热海皇梨披萨」	Pizza Tropicale required	「ピザ・トロピカーレ」が必要	Cần sở hữu "Pizza Hoàng Lê Biển Nhiệt Đới"
lang_multi_text.db	FlowEditor_145000002_5916	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			(需要持有「青枝月桂沙拉」)	[Laurus Salad required]	（「ラウルスサラダ」が必要）	(Cần sở hữu "Salad Nguyệt Quế Cành Xanh")
lang_multi_text.db	FlowEditor_145000002_5917	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			需要持有「青枝月桂沙拉」	Laurus Salad required	「ラウルスサラダ」が必要	Cần sở hữu "Salad Nguyệt Quế Cành Xanh"
lang_multi_text.db	Flow_102000000_12	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		柳暗花明处，天地展新颜。	In the midst of darkness, a new world is revealed.	苦労の末、差し込む光。	Qua cơn bĩ cực, đến hồi thái lai.
lang_multi_text.db	Flow_102000000_14	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		继续前行。	Keep moving forward.	目の前にいる敵を倒し、前に進め。	Tiếp tục tiến lên.
lang_multi_text.db	Flow_102000000_26	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		研究突破地面图案，寻找开门方法。	Study the patterns on the ground and find a way to open the gate.	地面の図形を解明せよ。さすれば門は開く。	Nghiên cứu đột phá hình vẽ trên mặt đất, tìm cách mở cửa.
lang_multi_text.db	Flow_102000000_27	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		通过机关操控房间旋转，找到通路。	Rotate the room through the mechanism and find the passage.	正面のカラクリを操作し、部屋を回転させ、進むべき道を見つけるのだ。	Thông qua cơ quan điều khiển căn phòng xoay, tìm lối đi.
lang_multi_text.db	Flow_102000000_28	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		前方似乎已经没有通路了，是向后退，还是探索其他可能？	There seems to be no way forward. Shall we retreat or explore other possibilities?	前方にはもう道がない。引き返す？他の可能性を探す？	Phía trước dường như không còn lối đi nữa, nên lùi lại, hay khám phá những khả năng khác?
lang_multi_text.db	Flow_102000000_30	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		有新房间被开启了。	A new room has been unlocked.	新しい部屋が開かれた。	Có phòng mới được mở rồi.
lang_multi_text.db	Flow_102000000_32	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		前方似乎没有路了，不如回头看看？	There seems to be no way forward. Let's turn back and explore.	前方にはもう道がない。ここは振り返ってみたらどうだ？	Phía trước có vẻ hết đường rồi, hay là quay lại xem sao?
lang_multi_text.db	Flow_102000000_33	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		这里竟然还藏着这么大的空间……	There is such a large space hidden here...	ここにまだ、これほどの空間が隠されている……	Ở đây vậy mà vẫn còn giấu một không gian lớn thế này...
