dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_UiHotKot.db	1	3.4	UI	UI			角色列表	Confirm	決定	Danh sách nhân vật
lang_UiHotKot.db	2	3.4	UI	UI			角色列表	Back	戻る	Danh sách nhân vật
lang_UiHotKot.db	3	3.4	UI	UI			角色列表	Close	オフ	Danh sách nhân vật
lang_confirmbox.db	1	3.4	UI	UI			提示			Gợi Ý
lang_confirmbox.db	10	3.4	UI	UI			武器升级材料中包含<color=#8c7e51>{0}</color>的武器，请确认是否继续升级？			Nguyên liệu nâng cấp Vũ Khí có chứa Vũ Khí <color=#8c7e51>{0}</color>, vui lòng xác nhận có tiếp tục nâng cấp không?
lang_confirmbox.db	100	3.4	UI	UI			谐振			Hòa Âm Vũ Khí
lang_confirmbox.db	101	3.4	UI	UI			所选材料已经过强化，请确认是否消耗材料<color=#8c7e51>{0}</color>将武器<color=#8c7e51>{1}</color>的谐振等阶提升至<color=#8c7e51>{2}</color>阶？			Nguyên liệu đã chọn đã qua tăng cường, vui lòng xác nhận có tiêu hao Nguyên liệu <color=#8c7e51>{0}</color> để nâng bậc Cộng Hưởng Điều Hòa của Vũ Khí <color=#8c7e51>{1}</color> lên bậc <color=#8c7e51>{2}</color> không?
lang_confirmbox.db	102	3.4	UI	UI			取消			Hủy
lang_confirmbox.db	103	3.4	UI	UI			确认			Xác Nhận
lang_confirmbox.db	104	3.4	UI	UI			谐振			Hòa Âm Vũ Khí
lang_confirmbox.db	105	3.4	UI	UI			所选材料已经过强化和谐振，请确认是否消耗材料<color=#8c7e51>{0}</color>将武器<color=#8c7e51>{1}</color>的谐振等阶提升至<color=#8c7e51>{2}</color>阶？			Nguyên liệu đã chọn đã qua tăng cường và Cộng Hưởng Điều Hòa, vui lòng xác nhận có tiêu hao Nguyên liệu <color=#8c7e51>{0}</color> để nâng bậc Cộng Hưởng Điều Hòa của Vũ Khí <color=#8c7e51>{1}</color> lên bậc <color=#8c7e51>{2}</color> không?
lang_confirmbox.db	106	3.4	UI	UI			取消			Xác Nhận
lang_confirmbox.db	107	3.4	UI	UI			确认			Xác Nhận
lang_confirmbox.db	108	3.4	UI	UI			注入确认			Xác Nhận Truyền Nạp
lang_confirmbox.db	109	3.4	UI	UI			存在异常，如有疑问请联系官方客服。			Tồn tại Bất thường, nếu có thắc mắc vui lòng liên hệ chăm sóc khách hàng chính thức.
lang_confirmbox.db	11	3.4	UI	UI			取消			Hủy
lang_confirmbox.db	110	3.4	UI	UI			取消			Hủy
lang_confirmbox.db	111	3.4	UI	UI			确认			Xác Nhận
lang_confirmbox.db	112	3.4	UI	UI			确认替换			Xác Nhận Thay Thế
lang_confirmbox.db	113	3.4	UI	UI			存在异常，如有疑问请联系官方客服。			Tồn tại Bất thường, nếu có thắc mắc vui lòng liên hệ chăm sóc khách hàng chính thức.
lang_confirmbox.db	114	3.4	UI	UI			取消			Hủy
lang_confirmbox.db	115	3.4	UI	UI			确认			Xác Nhận
lang_confirmbox.db	116	3.4	UI	UI			提示			Gợi Ý
lang_confirmbox.db	117	3.4	UI	UI			服务器异常，点击确认将继续尝试连接，您也可以选择返回登录界面。			Máy chủ bất thường, nhấn xác nhận sẽ tiếp tục thử kết nối, bạn cũng có thể chọn quay về giao diện đăng nhập.
lang_confirmbox.db	118	3.4	UI	UI			返回登录界面			Về Màn Hình Đăng Nhập
lang_confirmbox.db	119	3.4	UI	UI			确认{0}			Xác Nhận {0}
lang_confirmbox.db	12	3.4	UI	UI			确认			Xác Nhận
lang_confirmbox.db	120	3.4	UI	UI			确认替换			Xác Nhận Thay Thế
lang_confirmbox.db	121	3.4	UI	UI			该声骸已被<color=#8c7e51>{0}</color>装备，请确认是否更换？			Echo này đã được <color=#8c7e51>{0}</color> trang bị, vui lòng xác nhận có thay thế không?
lang_confirmbox.db	122	3.4	UI	UI			取消			Hủy
lang_confirmbox.db	123	3.4	UI	UI			确认			Xác Nhận
lang_confirmbox.db	124	3.4	UI	UI			确认替换			Xác Nhận Thay Thế
lang_confirmbox.db	125	3.4	UI	UI			该角色已装备声骸<color=#8c7e51>{0}</color>，请确认是否更换？			Cộng Hưởng Giả (Jué) này đã trang bị Echo <color=#8c7e51>{0}</color>, vui lòng xác nhận có thay thế không?
lang_confirmbox.db	126	3.4	UI	UI			取消			Hủy
lang_confirmbox.db	127	3.4	UI	UI			确认			Xác Nhận
lang_confirmbox.db	128	3.4	UI	UI			错误码			Mã lỗi
lang_confirmbox.db	129	3.4	UI	UI			{0}			{0}
lang_confirmbox.db	13	3.4	UI	UI			提示			Gợi Ý
lang_confirmbox.db	130	3.4	UI	UI			确认			Xác Nhận
lang_confirmbox.db	131	3.4	UI	UI			确认替换			Xác Nhận Thay Thế
lang_confirmbox.db	132	3.4	UI	UI			本次替换中 <color=#8c7e51>{0}</color>无法装备 <color=#8c7e51>{1}</color>，请确认是否继续？			Trong lần thay thế này <color=#8c7e51>{0}</color> không thể trang bị <color=#8c7e51>{1}</color>, vui lòng xác nhận có tiếp tục không?
lang_confirmbox.db	133	3.4	UI	UI			取消			Hủy
lang_confirmbox.db	134	3.4	UI	UI			确认			Xác Nhận
lang_confirmbox.db	135	3.4	UI	UI			提示			Gợi Ý
lang_confirmbox.db	136	3.4	UI	UI			结晶波片不足，无法获取奖励，请确认是否继续进入？			Tinh Thể Sóng không đủ, không thể nhận thưởng, vui lòng xác nhận có tiếp tục vào không?
lang_confirmbox.db	137	3.4	UI	UI			取消			Hủy
