dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	CommonVoice_Bulante_10_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		搞定！	All done!	これで終わりさ！	Xong việc!
lang_multi_text.db	CommonVoice_Bulante_11_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		收工！	Finished!	よし、終了だ！	Xong rồi!
lang_multi_text.db	CommonVoice_Bulante_12_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		准备谢幕了！	Time to wrap it up!	終幕だ！	Chuẩn bị hạ màn thôi!
lang_multi_text.db	CommonVoice_Bulante_13_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		不是那边。	Not that way.	そっちじゃない。	Không phải bên đó.
lang_multi_text.db	CommonVoice_Bulante_14_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		快回来。	Come back.	早く戻ろう。	Về nhanh đi.
lang_multi_text.db	CommonVoice_Bulante_15_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		嘿，你去哪儿？	Hey, where are you going?	おっと、どこへ行くんだ？	Này, cậu đi đâu đấy?
lang_multi_text.db	CommonVoice_Bulante_16_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		要歇会儿吗？	Shall we take a break?	少し休憩しようか？	Có muốn nghỉ chút không?
lang_multi_text.db	CommonVoice_Bulante_17_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		中场休息一下？	Time for an intermission?	休んで体力を回復しよう。	Giải lao giữa giờ tí nhé?
lang_multi_text.db	CommonVoice_Bulante_18_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		嗯，冒险需要适当的歇息。	Sure, take your time. We do need to recharge during adventures.	冒険にも休息は必要だな。	Ừm, thám hiểm cũng cần phải nghỉ ngơi hợp lý.
lang_multi_text.db	CommonVoice_Bulante_19_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		小心咯。	Uh-oh.	用心するんだ。	Cẩn thận đấy.
lang_multi_text.db	CommonVoice_Bulante_1_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		跟我来吧。	Follow me!	付いてきてくれ。	Đi theo mình.
