dbfile	key	version	category	folder	speaker	mission	anh_en
lang_condition.db	656	3.4	Hệ thống	Hệ thống			Crownless
lang_condition.db	657	3.4	Hệ thống	Hệ thống			Bell-Borne Geochelone
lang_condition.db	658	3.4	Hệ thống	Hệ thống			Seatrail Narwhal
lang_condition.db	659	3.4	Hệ thống	Hệ thống			Thunder Squama
lang_condition.db	660	3.4	Hệ thống	Hệ thống			Inferno Rider
lang_condition.db	661	3.4	Hệ thống	Hệ thống			Gleamtender
lang_condition.db	662	3.4	Hệ thống	Hệ thống			Feilian Beringal
lang_condition.db	663	3.4	Hệ thống	Hệ thống			Impermanence Heron
lang_condition.db	664	3.4	Hệ thống	Hệ thống			Fusion Prism
lang_condition.db	665	3.4	Hệ thống	Hệ thống			Glacio Prism
lang_condition.db	666	3.4	Hệ thống	Hệ thống			Spectra Prism
lang_condition.db	667	3.4	Hệ thống	Hệ thống			Rupture Prism
lang_condition.db	668	3.4	Hệ thống	Hệ thống			Flute Instrumentalist
lang_condition.db	669	3.4	Hệ thống	Hệ thống			Tambourine Instrumentalist
lang_condition.db	670	3.4	Hệ thống	Hệ thống			Rocksteady Guardian
lang_condition.db	671	3.4	Hệ thống	Hệ thống			Chasm Guardian
lang_condition.db	672	3.4	Hệ thống	Hệ thống			Stonewall Bracer
lang_condition.db	677	3.4	Hệ thống	Hệ thống			Fusion Warrior
lang_condition.db	678	3.4	Hệ thống	Hệ thống			Rupture Warrior
lang_condition.db	679	3.4	Hệ thống	Hệ thống			Glacio Predator
lang_condition.db	680	3.4	Hệ thống	Hệ thống			Pneuma Predator
lang_condition.db	681	3.4	Hệ thống	Hệ thống			Impulse Predator
lang_condition.db	683	3.4	Hệ thống	Hệ thống			Excarat
lang_condition.db	684	3.4	Hệ thống	Hệ thống			Gulpuff
lang_condition.db	685	3.4	Hệ thống	Hệ thống			Chirpuff
lang_condition.db	686	3.4	Hệ thống	Hệ thống			Cyan-Feathered Heron
lang_condition.db	687	3.4	Hệ thống	Hệ thống			Violet-Feathered Heron
lang_condition.db	688	3.4	Hệ thống	Hệ thống			Lil Geohide Saurian
lang_condition.db	689	3.4	Hệ thống	Hệ thống			Sabyr Boar
lang_condition.db	690	3.4	Hệ thống	Hệ thống			Cruisewing
lang_condition.db	691	3.4	Hệ thống	Hệ thống			Hoochief
lang_condition.db	692	3.4	Hệ thống	Hệ thống			Spearback Ursa
lang_condition.db	693	3.4	Hệ thống	Hệ thống			Frostbite Tertoise
lang_condition.db	694	3.4	Hệ thống	Hệ thống			Cyrscorpion
lang_condition.db	695	3.4	Hệ thống	Hệ thống			Shadow Dreadmane
lang_condition.db	696	3.4	Hệ thống	Hệ thống			Exile Leader
lang_condition.db	697	3.4	Hệ thống	Hệ thống			Resonator Exile
lang_condition.db	698	3.4	Hệ thống	Hệ thống			Fractsidus Executioner
lang_condition.db	699	3.4	Hệ thống	Hệ thống			Thermo Dreadmane
lang_condition.db	710	3.4	Hệ thống	Hệ thống			Zig Zag
lang_condition.db	711	3.4	Hệ thống	Hệ thống			Whiff Whoosh
lang_condition.db	712	3.4	Hệ thống	Hệ thống			Tic Tac
lang_condition.db	713	3.4	Hệ thống	Hệ thống			Fission Junrock
lang_condition.db	714	3.4	Hệ thống	Hệ thống			Chaserazor
lang_condition.db	715	3.4	Hệ thống	Hệ thống			Mourning Aix
lang_condition.db	716	3.4	Hệ thống	Hệ thống			Cruisewing
lang_condition.db	793	3.4	Hệ thống	Hệ thống			Exploration Tools
lang_condition.db	795	3.4	Hệ thống	Hệ thống			Field Sampling
lang_condition.db	798	3.4	Hệ thống	Hệ thống			Prestige
lang_condition.db	799	3.4	Hệ thống	Hệ thống			Cooking
lang_error_code.db	1025	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	1026	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	1027	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	1028	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	1029	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	1030	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	128	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	129	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	131	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	133	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	135	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	416	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	420	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	421	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	422	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	423	3.4	Hệ thống	Hệ thống			Rage on and on……
lang_error_code.db	428	3.4	Hệ thống	Hệ thống			This Rover is in your Blocklist
lang_error_code.db	430	3.4	Hệ thống	Hệ thống			Blocklist is full
lang_error_code.db	435	3.4	Hệ thống	Hệ thống			Application record unfound.
lang_error_code.db	436	3.4	Hệ thống	Hệ thống			Friend list is full
lang_error_code.db	437	3.4	Hệ thống	Hệ thống			Your friend list is full
