dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
Sneak.db	1	3.4	Khác	Khác			引起了流放者的注意！			Đã thu hút sự chú ý của Kẻ Lưu Đày!
Sneak.db	2	3.4	Khác	Khác			警戒值达到上限后，将会受到流放者的围攻。			Khi giá trị cảnh giới đạt đến giới hạn, bạn sẽ bị Kẻ Lưu Đày bao vây tấn công.
lang_UiHotKot.db	1	3.4	Khác	Khác			角色列表	Confirm	決定	Danh sách nhân vật
lang_UiHotKot.db	2	3.4	Khác	Khác			角色列表	Back	戻る	Danh sách nhân vật
lang_UiHotKot.db	3	3.4	Khác	Khác			角色列表	Close	オフ	Danh sách nhân vật
lang_accesspath.db	1	3.4	Khác	Khác			任务获得	Obtained via tasks	任務で入手	Nhận được qua nhiệm vụ
lang_accesspath.db	10	3.4	Khác	Khác			辉萤军势挑战获得	Obtained via Gleamtender challenge	チャレンジ：輝光の螢軍で入手	Nhận được qua thử thách Huy Huỳnh Quân Thế
lang_accesspath.db	11	3.4	Khác	Khác			群孽·沃艾珥挑战获得	Obtained via Thousand Sins - The Obscured challenge	群孽·沃艾珥挑战获得	Nhận được qua thử thách Quần Nghiệt·Ốc Ai Nhĩ
lang_accesspath.db	12	3.4	Khác	Khác			鸣钟之龟挑战获得	Obtained via Bell-Borne Geochelone challenge	チャレンジ：鳴鐘の亀で入手	Nhận được qua thử thách Minh Chung Chi Quy
lang_accesspath.db	13	3.4	Khác	Khác			溯海之鲸挑战获得	Obtained via Seatrail Narwhal challenge	チャレンジ：回遊の鯨で入手	Nhận được qua thử thách Tố Hải Chi Kình
lang_accesspath.db	14	3.4	Khác	Khác			伤痕挑战获得	Obtained via Scar challenge	チャレンジ：スカーで入手	Nhận được qua thử thách Vết Thương
lang_accesspath.db	15	3.4	Khác	Khác			无冠者真身挑战获得	Obtained via Crownless - Prime challenge	チャレンジ：無冠者本体で入手	Nhận được qua thử thách Bản Thể Vô Quan Giả
lang_accesspath.db	16	3.4	Khác	Khác			皇龙探索获得	Obtained via Huanglong exploration	皇龍で探索して入手	Nhận được qua khám phá Hoàng Long
lang_accesspath.db	17	3.4	Khác	Khác			野外采集获得	Found in the wild	野外で採取して入手	Nhận được qua thu thập ngoài hoang dã
