dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	LyricsText_750045_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750045_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Flaking snow</i>
lang_multi_text.db	LyricsText_750046_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750046_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Silence grows</i>
lang_multi_text.db	LyricsText_750047_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750047_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Giant steps paving the way</i>
lang_multi_text.db	LyricsText_750048_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750048_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Ancient footprints sleep in longest night</i>
lang_multi_text.db	LyricsText_750049_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750049_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Expecting discovery</i>
lang_multi_text.db	LyricsText_750050_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750050_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Breathing cold</i>
lang_multi_text.db	LyricsText_750051_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750051_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Pulsing close</i>
lang_multi_text.db	LyricsText_750052_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750052_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Storms are pushing us to go</i>
lang_multi_text.db	LyricsText_750053_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750053_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Reaching down below</i>
lang_multi_text.db	LyricsText_750054_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750054_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Dive deep into the space</i>
lang_multi_text.db	LyricsText_750055_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750055_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>Across the stars riding away</i>
lang_multi_text.db	LyricsText_750056_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750056_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>To all the places where we’ve never been</i>
lang_multi_text.db	LyricsText_750057_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
lang_multi_text.db	LyricsText_750057_Translation	3.4	Hội thoại/Cốt truyện	Lời hát/CG			<i>That’s our curiosity</i>
lang_multi_text.db	LyricsText_750058_Original	3.4	Hội thoại/Cốt truyện	Lời hát/CG			{KeepOrigin}
