dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	PropertyIndex_10001_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Level
lang_multi_text.db	PropertyIndex_10002_AnotherName	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			HP%
lang_multi_text.db	PropertyIndex_10002_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			HP
lang_multi_text.db	PropertyIndex_10003_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			HP
lang_multi_text.db	PropertyIndex_10004_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Shield
lang_multi_text.db	PropertyIndex_10005_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Shield Break Multiplier
lang_multi_text.db	PropertyIndex_10006_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Shield Break Multiplier Received
lang_multi_text.db	PropertyIndex_10007_AnotherName	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			ATK%
lang_multi_text.db	PropertyIndex_10007_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			ATK
lang_multi_text.db	PropertyIndex_10008_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Crit. Rate
lang_multi_text.db	PropertyIndex_10009_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Crit. DMG
lang_multi_text.db	PropertyIndex_10010_AnotherName	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			DEF%
lang_multi_text.db	PropertyIndex_10010_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			DEF
lang_multi_text.db	PropertyIndex_10011_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Energy Regen
lang_multi_text.db	PropertyIndex_10012_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Cooldown Reduction
lang_multi_text.db	PropertyIndex_10013_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Concert Sublimation
lang_multi_text.db	PropertyIndex_10014_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Resonance Skill DMG Bonus
lang_multi_text.db	PropertyIndex_10015_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			General DMG Bonus
lang_multi_text.db	PropertyIndex_10016_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			General DMG Reduction
lang_multi_text.db	PropertyIndex_10017_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Basic Attack DMG Bonus
lang_multi_text.db	PropertyIndex_10018_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Heavy Attack DMG Bonus
lang_multi_text.db	PropertyIndex_10019_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Resonance Liberation DMG Bonus
lang_multi_text.db	PropertyIndex_10020_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Intro Skill DMG Bonus
lang_multi_text.db	PropertyIndex_10021_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Physical DMG Bonus
lang_multi_text.db	PropertyIndex_10022_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Glacio DMG Bonus
lang_multi_text.db	PropertyIndex_10023_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Fusion DMG Bonus
lang_multi_text.db	PropertyIndex_10024_Name	3.4	Hội thoại/Cốt truyện	Nhân vật/Thuộc tính			Electro DMG Bonus
