tier	nguoi_noi	nguoi_nghe	loai	dung	nen	dbfile	key	vi
đa số	Yangyang	NPC #350101	tự xưng	chị	tôi	lang_multi_text.db	Main_HuangLong_XLZHDLY_121_46	Chị...
đa số	NPC #350298	NPC #350297	gọi đối phương	anh	cậu	lang_multi_text.db	Side_XJBGZMTX_25_9	Nhưng mà... anh đúng là cũng không giỏi chiến đấu lắm, không thì đã chẳng... Haizz, thôi anh cứ đi làm việc mình giỏi vậ
đa số	NPC #750654	NPC #750655	tự xưng	anh	tôi	lang_multi_text.db	XFCSYJST_21_2	Anh xem, cái thìa này không được. Phải là sứ trắng thượng hạng, trước tiên khẽ chạm thế này…
đa số	NPC #400059	NPC #750088	tự xưng	ta	tôi	lang_multi_text.db	35SLDWD_34_14	Quả bóng đá...? Hiếm thấy thật đấy, nhưng hoa văn này chỉnh tề trật tự, mang một vẻ đẹp riêng, ta nghĩ đám rái cá Xao Lã
đa số	Yangyang	NPC #350131	gọi đối phương	ngài	ngươi	lang_multi_text.db	Main_HuangLong_SYYLFML_540_2	...Vâng, làm phiền ngài.
đa số	Yangyang	NPC #350117	tự xưng	chị	mình	lang_multi_text.db	Main_HuangLong_SYYLFML_420_11	(Sắp đến ngày chị nói sẽ đến Kim Châu thăm mình rồi, chị tìm không thấy mình, liệu có sốt ruột không...)
đa số	Yangyang	NPC #350101	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_SYYLFML_291_14	Huống hồ, chúng ta là đồng bào chiến hữu, lẽ ra phải tương trợ lẫn nhau. Có gì ta giúp được, cứ việc mở lời.
đa số	Yangyang	NPC #350101	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_SYYLFML_291_4	Nếu tất cả những chuyện này là do có kẻ ngấm ngầm mưu tính… kẻ làm được việc như thế, ta biết cũng chỉ có…
đa số	Yangyang	NPC #350101	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_SYYLFML_291_18	Vậy trước đó, ta đi xác nhận tình hình của mọi người một chút vậy.
đa số	Yangyang	NPC #350101	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_SYYLFML_291_13	Không cần xin lỗi, tuy chưa có chứng cứ, nhưng ta mơ hồ cảm thấy, chuỗi sự kiện này… hẳn là tồn tại một mối liên hệ nào 
đa số	NPC #350101	Yangyang	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_SYYLFML_291_12	Xin lỗi, về việc lữ khách Kim Châu mất tích, Quân Sách Phủ cũng chưa nhận được tình báo liên quan, hơn nữa lúc này… e là
đa số	Gleamtender	NPC #350099	tự xưng	tôi	ta	lang_multi_text.db	Main_HuangLong_XLZHDLY_180_10	Tôi cầm chân chúng không lâu được đâu, không muốn chết thì mau vào trong sương!
đa số	Yangyang	NPC #350108	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_SYYLFML_310_3	Ta… cũng chẳng đáng gì. Chỉ là, lúc trước khi ta giao đấu với Tàn Tượng ở đây, chúng… cứ như đã trải qua vô số trận chiế
đa số	Yangyang	NPC #350108	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_SYYLFML_310_3	Ta… cũng chẳng đáng gì. Chỉ là, lúc trước khi ta giao đấu với Tàn Tượng ở đây, chúng… cứ như đã trải qua vô số trận chiế
đa số	NPC #750104	NPC #750088	gọi đối phương	anh	cậu	lang_multi_text.db	Event_JXWJS_2_5	Cảm ơn, nếu ở lại thêm chút nữa, chắc tôi sẽ bị anh bạn dọn cỏ quét đi như đồ tạp nham mất, đùa thôi.
đa số	Yangyang	NPC #350131	gọi đối phương	ngài	ngươi	lang_multi_text.db	Main_HuangLong_SYYLFML_580_2	Con... mắt phải của ngài.
đa số	Yangyang	NPC #350131	gọi đối phương	ngài	ngươi	lang_multi_text.db	Main_HuangLong_SYYLFML_580_4	Cái tao ngộ ngài nói, là ở trên chiến trường trận Vân Uyên sao?
đa số	NPC #350131	Yangyang	gọi đối phương	ngài	ngươi	lang_multi_text.db	Main_HuangLong_SYYLFML_580_10	Nhưng, hẳn là ở chốn "Sonora" đó, ngài cũng đã thấy được điều gì đó, đúng không?
đa số	NPC #350131	Yangyang	gọi đối phương	ngài	ngươi	lang_multi_text.db	Main_HuangLong_SYYLFML_543_9	Thế là, Ngài dốc hết thần bí phi phàm, dùng quyền năng Tuế Chủ, xây dựng bên trên Uyên Thành một tòa Huyền Phương Thành.
đa số	Gleamtender	NPC #350099	gọi đối phương	ngài	ngươi	lang_multi_text.db	Main_HuangLong_XLZHDLY_214_4	Nếu ngài không cần, thì ta thu lấy cũng được chứ?
đa số	NPC #350099	Chixia	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_XLZHDLY_214_3	…Hay là, ngài chỉ muốn ta đưa ra lựa chọn giống với ngài?
đa số	NPC #350099	Chixia	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_XLZHDLY_214_5	Vậy thì, ngài muốn ta đưa ra đáp án gì đây…?
đa số	NPC #350099	Chixia	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_XLZHDLY_214_2	Đây là… lẽ nào… là "đạo cụ giải đề" hay gì đó để lại cho ta?
đa số	NPC #200201	NPC #701052	gọi đối phương	anh	cậu	lang_multi_text.db	Main_HuangLong_SYYLFML_88_2	Số khác lại như bồ công anh, dốc hết sức mà lớn lên, chỉ để bén rễ ở phương xa mà mình khao khát.
đa số	Yangyang	NPC #750088	gọi đối phương	em	cậu	lang_multi_text.db	Main_HuangLong_LLZQMXY_2_9	Vâng, em biết, vì họ cũng đang gửi tin nhắn cho em cùng lúc...
đa số	NPC #350099	NPC #750088	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_SYYLFML_140_25	À, ngươi đến rồi. Đừng để ý, con chim ngốc này ta nuôi đã nhiều năm, Thủy Giảo là tên của nó.
đa số	NPC #750656	NPC #750657	tự xưng	ta	tôi	lang_multi_text.db	XFCSYJST_25_5	Được. Đại Phương này, ta… cũng không phải thật sự ăn không nổi, ta cũng là khách quen của quán các cậu mà.
đa số	NPC #750656	NPC #750657	tự xưng	ta	tôi	lang_multi_text.db	XFCSYJST_25_5	Được. Đại Phương này, ta… cũng không phải thật sự ăn không nổi, ta cũng là khách quen của quán các cậu mà.
đa số	NPC #350173	NPC #350172	gọi đối phương	ngươi	cậu	lang_multi_text.db	ZXSTSPH_YYZX_460_4	Nhưng ngươi đã khoác lên mình bộ quân trang này rồi, không còn cơ hội hối hận nữa đâu.
đa số	NPC #350173	NPC #350172	gọi đối phương	ngươi	cậu	lang_multi_text.db	ZXSTSPH_YYZX_460_6	Như vậy……biết đâu ngươi còn có thể sống sót……
quan hệ	Gleamtender	Yangyang	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_LLZQMXY_12_69	Xin lỗi, bây giờ, "ta" còn chưa thể nói cho ngươi biết nhiều hơn.
quan hệ	Gleamtender	Yangyang	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_LLZQMXY_12_69	Xin lỗi, bây giờ, "ta" còn chưa thể nói cho ngươi biết nhiều hơn.
quan hệ	Yangyang	Chixia	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_LLZQMXY_12_66	Ngươi... rốt cuộc là... ai?
quan hệ	Gleamtender	Yangyang	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_LLZQMXY_12_70	<te href=750056>Người tế thanh</te>... không, Ương Ương, chẳng bao lâu nữa, <ano=Tuần lễ>hành trình</ano> của ngươi sẽ b
quan hệ	Gleamtender	Yangyang	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_LLZQMXY_12_70	<te href=750056>Người tế thanh</te>... không, Ương Ương, chẳng bao lâu nữa, <ano=Tuần lễ>hành trình</ano> của ngươi sẽ b
quan hệ	Gleamtender	Yangyang	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_LLZQMXY_12_65	Nhưng chỉ có một điều, là kỳ vọng tự đáy lòng của ta…
quan hệ	Gleamtender	Yangyang	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_LLZQMXY_12_68	Chỉ là... giọng nói mà ngươi đã nghe vô số lần.
quan hệ	Gleamtender	Yangyang	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_LLZQMXY_12_63	Cuộc gặp gỡ giữa ngươi với ■■■, có thể nói là tất nhiên, cũng có thể nói là "kỳ tích" lặp lại cả triệu lần chưa chắc đã 
quan hệ	Gleamtender	Yangyang	tự xưng	ta	tôi	lang_multi_text.db	Main_HuangLong_LLZQMXY_12_64	Kết cục bất biến có lẽ đã sụp đổ, sau đây, giọt mưa trên trời sẽ rơi về hướng nào, là điều mà ngay cả ta cũng không biết
đa số	Yangyang	NPC #350131	gọi đối phương	ngài	ngươi	lang_multi_text.db	Main_HuangLong_SYYLFML_530_1	Nhưng, giữa Huyền U Đông Nhạc và Phương Kình Tây Phong ngăn cách bởi Uyên Thành bỏ hoang, ngài định đến đó bằng cách nào
đa số	NPC #750088	NPC #750577	tự xưng	anh	tôi	lang_multi_text.db	Side_TFSJJKYY_8_6	Đừng vội đã, Barrado tiên sinh. Anh kiếm được cái bình hoa này từ đâu?
đa số	NPC #350099	NPC #750088	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_SYYLFML_190_5	Cái này cho ngươi, {PlayerName}.
đa số	NPC #350274	NPC #701052	gọi đối phương	ngươi	cậu	lang_multi_text.db	35SLDWD_6_7	Cảm ơn sự chi viện của ngươi!
đa số	NPC #701052	NPC #350274	tự xưng	ta	tôi	lang_multi_text.db	35SLDWD_6_6	Được, ta xuất phát ngay bây giờ.
đa số	NPC #750088	Yangyang	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_XLZHDLY_432_3	Ương Ương… dáng vẻ của ngươi…
đa số	NPC #350099	NPC #750088	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_SYYLFML_150_6	Thêm nữa, Ương Ương thường nhắc đến tên ngươi trong thư, ta cũng không khỏi tò mò, rốt cuộc là ai lại khiến em gái ta ph
đa số	NPC #350099	NPC #750088	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_SYYLFML_150_3	Ngoài ra, thì là nói về chuyện của ngươi.
đa số	NPC #350099	NPC #750088	gọi đối phương	ngươi	cậu	lang_multi_text.db	Main_HuangLong_SYYLFML_150_8	…Cái đó thì còn phải xem biểu hiện sau này của ngươi.
đa số	NPC #750598	NPC #750599	tự xưng	mình	ta	lang_multi_text.db	35TUOZUI_8_5	Nói bậy. Không phát hiện được thủ đoạn của Trầm Uyên, ta quả thực có chút thất bại. Nhưng ta muốn tìm ra tiêu chuẩn phân
đa số	NPC #750770	NPC #750769	tự xưng	mình	ta	lang_multi_text.db	HXYJYST_36_3	Tình trạng thân thể mình thì mình tự biết, giờ chẳng còn bệnh tật gì nữa rồi, chỉ là phải theo dõi thêm vài ngày thôi.
đa số	NPC #750770	NPC #750769	tự xưng	mình	ta	lang_multi_text.db	HXYJYST_36_3	Tình trạng thân thể mình thì mình tự biết, giờ chẳng còn bệnh tật gì nữa rồi, chỉ là phải theo dõi thêm vài ngày thôi.
đa số	NPC #750712	NPC #750713	tự xưng	mình	ta	lang_multi_text.db	35NPCYLQ_33_1	Tay nghề của mình rốt cuộc còn kém ở chỗ nào đây...
đa số	NPC #350151	NPC #350117	gọi đối phương	bạn	ngươi	lang_multi_text.db	XFJCFST_3_5	Đừng chỉ chăm chăm chê ta, bạn cũ à. Còn nói về ngươi thì hơn... Đáng lẽ ngươi phải an hưởng tuổi già ở Mộng Châu, sao b
đa số	NPC #350117	NPC #350151	gọi đối phương	cháu	ngươi	lang_multi_text.db	XFJCFST_3_6	Ta ư? Ta lui về từ lâu rồi. Cháu trai giờ là Định Huyền Vệ của thành Huyền Phương, ta chỉ là người nhà theo quân đến đây
đa số	NPC #300086	NPC #701052	gọi đối phương	chị	cậu	lang_multi_text.db	Main_HuangLong_SYYLFML_86_2	Không ngờ cậu tốt nghiệp nhanh vậy, là "đàn chị", tôi cũng phải cố gắng hơn mới được.
