dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_detection.db	1	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			先锋幼岩	Vanguard Junrock	先兵岩塊	Junrock Tiên Phong
lang_detection.db	10	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			鸣泣战士	Fusion Warrior	慟哭の戦士	Chiến Binh Minh Khấp
lang_detection.db	100	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			流放者首领	Exile Leader	追放者リーダー	<ano=Exile Leader>Thủ Lĩnh Lưu Đày</ano>
lang_detection.db	101	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			危险分子们的领袖，通常出现在各地流放者聚居的营地中，拥有比一般流放者更加丰富的战斗经验和技巧，有一定危险性。	Leaders of the outlaws, usually found in the Exile Campgrounds across the world, has more combat experience and skills than the average Exile, and are somewhat dangerous.	危険者たちのリーダー、よく追放者のキャンプや住処にいる。一般の追放者より豊富な戦闘経験と身体能力が有し、一定の危険性がある。	Thủ lĩnh của các phần tử nguy hiểm, thường xuất hiện tại các <ano=Exile Campground>Trại Lưu Đày</ano> tập trung Kẻ Lưu Đày ở các nơi, sở hữu Kinh Nghiệm và <ano=technique>kỹ xảo</ano> chiến đấu phong phú hơn Kẻ Lưu Đày thông thường, mang một mức độ nguy hiểm nhất định.
lang_detection.db	102	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			<color=#7e1f57>【解离】</color>\n该敌人<color=#7e1f57>解离伤害</color><color=#b49f50>抗性较高</color>。\n\n流放者团伙的“首领”，大多数是共鸣者。以皇龙地区为例，流放者首领通常是因为种种原因被逐出晓卫的人，战斗经验和能力不能和普通流放者同日而语。不过一旦被击败，那些失去了靠山的手下就会四散而逃。敌人太多时不妨以“首领”为首要目标，皇龙那句话怎么说的来着，“擒贼先擒王”。	Exile Leaders are mostly Resonators. In the Huanglong region, for example, the Exile Leaders are usually those who have been expelled from the Mornguard for various reasons, and their combat experience and abilities cannot be compared with those of ordinary Exiles.	追放者団体の「リーダー」は、共鳴者が殆ど。皇龍地区なら、多くの追放者リーダーはあらゆる原因で暁衛から脱退した者で、戦闘力や経験は一般追放者とは雲泥の差。が、倒されると、勝てないと悟った連中はバラバラに逃げる。敵が多い時は、リーダー格を先に倒す方がいい。皇龍でも、「賊を倒すなら王を先に討つ」の諺があった。	<color=#7e1f57>[<ano=Havoc>Hủy Diệt</ano>]</color>\nKẻ địch này có <color=#b49f50>kháng tính khá cao</color> với <color=#7e1f57><ano=Havoc Damage>Sát Thương Hủy Diệt</ano></color>.\n\n"Thủ Lĩnh" của Băng Đảng Kẻ Lưu Đày, đa phần đều là <ano=Resonator>Cộng Hưởng Giả</ano>. Lấy <ano=Region>Khu Vực</ano> <ano=Huanglong>Hoàng Long</ano> làm ví dụ, <ano=Exile Leader>Thủ Lĩnh Lưu Đày</ano> thường là những người bị trục xuất khỏi <ano=Mornguard>Hiểu Vệ</ano> vì nhiều lý do khác nhau, Kinh Nghiệm và <ano=ability>năng lực</ano> chiến đấu không thể so với <ano=Exile Commoner>Lưu Đày Thường</ano> thông thường. Tuy nhiên, một khi bị đánh bại, những thuộc hạ mất đi chỗ dựa sẽ bỏ chạy tán loạn. Khi <ano=enemy>kẻ địch</ano> quá đông không ngại lấy "Thủ Lĩnh" làm mục tiêu hàng đầu, người Hoàng Long có câu thế nào ấy nhỉ, "bắt giặc phải bắt <ano=Hero of the Heroes>Vua</ano>".
lang_detection.db	103	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			捣蛋猿（幼体）	Hooscamp	いたずら猿（幼体）	Vượn Phá Phách (Ấu Thể)
lang_detection.db	104	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			无光之森特有的灵长类生物幼体。多份目击报告显示，它们常随成体一同活动，智力相对较高，但行动能力不及成体，危险程度不高。	Primate larvae unique to the Dim Forest. Multiple sighting reports indicate that they often move with the adults and have relatively high intelligence, but are less mobile and less dangerous than the adults.	光なき森特有の霊長類生物幼体。多くの目撃情報では、よく成体と一緒に行動するとのこと。知能も相当高いが、行動力は成体ほどでもないし、危険性は並。	Thể ấu trùng của loài linh trưởng đặc hữu tại <ano=Dim Forest>Rừng Vô Quang</ano>. Nhiều <ano=Event>Sự kiện</ano> báo cáo phát hiện cho thấy, chúng thường hoạt động cùng Thể trưởng thành, trí lực tương đối cao nhưng <ano=ability>năng lực</ano> Hành Động không bằng Thể trưởng thành, mức độ nguy hiểm không cao.
lang_detection.db	105	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			<color=#46c3d4>【气动】</color>\n该敌人<color=#46c3d4>气动伤害</color><color=#b49f50>抗性较高</color>。\n\n“谑猿”幼体，和成体相同，仅在无光之森有目击记录。虽然体能远比不上成年捣蛋猿，但智力发育已经与成体无异，成年捣蛋猿会教它们袭击、劫掠无光之森的过客。难怪皇龙人常说“教子不贤，不抵谑猿”。			<color=#46c3d4>[<ano=Aero>Khí Động</ano>]</color>\nKẻ địch này <color=#b49f50>tăng kháng</color> <color=#46c3d4>sát thương <ano=Aero>Khí Động</ano></color>.\n\nẤu thể của "Vượn Tinh Nghịch", giống như cá thể trưởng thành, chỉ có ghi chép quan sát ở Rừng Vô Quang. Tuy thể lực kém xa Vượn Tinh Nghịch trưởng thành, nhưng trí lực phát triển đã không khác gì cá thể trưởng thành, các Vượn Tinh Nghịch trưởng thành sẽ dạy chúng tập kích, cướp bóc khách qua đường ở Rừng Vô Quang. Chẳng trách người Hoàng Long thường nói "dạy con bất tài, không bằng Vượn Tinh Nghịch".
lang_detection.db	106	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			晶螯蝎	Cyrscorpion	晶化ハサミ	<ano=Cyrscorpion>Bọ Cạp Tinh Ngao</ano>
lang_detection.db	107	3.4	Chỉ nam nguyên liệu	Chỉ nam nguyên liệu			小型异变生物，分布广泛，各区域报告有不同亚种，多见于各地洞穴、矿井等阴暗潮湿处，危险程度较低。	Small Mutant Organism, widely distributed, with different subspecies reported in various regions, mostly found in caves, mines and other dark and humid places around the world, with a low level of danger.	小型異変生物、生息地域は広く亜種も多く存在する。よく各地の洞窟、ドンネルなど陰湿な場所に住み、危険性は低い。	<ano=Mutant Organism>Sinh Vật Dị Biến</ano> cỡ nhỏ, phân bố rộng, ở các <ano=Region>Khu vực</ano> đều có báo cáo về những phân loài khác nhau, thường thấy ở các nơi ẩm thấp tăm tối như hang động, hầm mỏ ở khắp nơi, mức độ nguy hiểm khá thấp.
