dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_advice.db	1	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			前方有{}			Phía trước có {}
lang_advice.db	10	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{}吧！	Grapple Point	鉤縄の浮標	{} đi!
lang_advice.db	11	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			小心{}！	Concerto Effect	協奏エフェクト	Cẩn thận {}!
lang_advice.db	12	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			不要{}！			Đừng {}!
lang_advice.db	13	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			禁止{}！			Cấm {}!
lang_advice.db	14	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			有{}！	Counter-Attack	逆転反撃	Có {}!
lang_advice.db	15	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			还是{}吧。			Hay là {} đi.
lang_advice.db	16	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			如果是{}的话，勉强可以一战。			Nếu là {} thì miễn cưỡng có thể chiến đấu được.
lang_advice.db	17	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			注意{}！			Chú ý {}!
lang_advice.db	18	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			考虑一下{}会更好吧。	Material	材料	Cân nhắc {} sẽ tốt hơn đấy.
lang_advice.db	19	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			是{}吗？			Là {} sao?
lang_advice.db	2	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			前方没有{}	Resonance Liberation	共鳴解放	Phía trước không có {}
lang_advice.db	20	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{}能帮大忙！			{} có thể giúp ích rất nhiều!
lang_advice.db	21	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			接着{}。	Gravity Stream	重力異常	Tiếp theo là {}.
lang_advice.db	22	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			还没有{}诶。			Vẫn chưa có {} kìa.
lang_advice.db	23	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{}不行吗……	Choral Beacon	鳴域信号塔	{} không được sao......
lang_advice.db	24	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			敬请期待{}！			Hãy mong chờ {}!
lang_advice.db	25	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{}就是最好的！			{} là tuyệt nhất!
lang_advice.db	26	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			还有{}。			Còn có {}.
lang_advice.db	27	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			该不会以为是{}吧。			Không lẽ lại tưởng là {} chứ.
lang_advice.db	28	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			为{}欢呼！			Hoan hô {}!
lang_advice.db	29	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{}！击败它！			{}! Đánh bại nó!
lang_advice.db	3	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			很可能是{}	Resonance energy	共鳴エネルギー	Rất có thể là {}
lang_advice.db	30	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			向{}走吧。			Đi về phía {} nào.
lang_advice.db	4	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			肯定不是{}			Chắc chắn không phải là {}
lang_advice.db	5	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			预感会出现{}			Dự cảm sẽ xuất hiện {}
lang_advice.db	6	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{}？			{}?
lang_advice.db	7	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{}！			{}!
lang_advice.db	8	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{}……			{}......
lang_advice.db	9	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			不如{}？	Scanner	スキャン	Hay là {}?
lang_generic_tips.db	1	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{0}秒内击败所有怪物	Defeat all enemies within {0} secs.	{0}秒内、全ての敵を倒す	Đánh bại tất cả quái vật trong {0} giây
lang_generic_tips.db	10	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			任务完成	Countdown	カウントダウン	Hoàn thành nhiệm vụ
lang_generic_tips.db	11	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			倒计时			Đếm ngược
lang_generic_tips.db	12	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			这是一般的飘字	Common words	汎用浮遊字体	Đây là dòng chữ trôi thông thường
lang_generic_tips.db	2	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			击败怪物获得额外时间	Complete Time {0}	クリア時間{0}	Đánh bại quái vật để nhận thêm thời gian
lang_generic_tips.db	3	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			通关时间{0}	Exit in {0} secs	{0}秒後離脱する	Thời gian hoàn thành {0}
lang_generic_tips.db	4	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			{0}秒后自动退出	Challenge Complete	挑戦成功	Tự động thoát sau {0} giây
lang_generic_tips.db	5	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			挑战成功	Challenge Failed	挑戦失敗	Thử thách thành công
lang_generic_tips.db	6	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			挑战失败	Challenge Complete	挑戦完了	Thử thách thất bại
lang_generic_tips.db	7	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			挑战成功	Extra Mission	その他任務	Thử thách thành công
lang_generic_tips.db	8	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			额外的任务	Commision Start	任務で発動	Nhiệm vụ bổ sung
lang_generic_tips.db	9	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			委托触发	Mission Complete	任務完了	Kích hoạt Ủy Thác
lang_multi_text.db	AdviceCannotOpenOnBattle	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ				You cannot place Memos mid-battle	戦闘中は溯言を設置出来ません	Không thể đặt Lời Nhắn trong chiến đấu
lang_multi_text.db	AdviceConjunction_1_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			也就是说	WHICH MEANS	つまり	Có nghĩa là
lang_multi_text.db	AdviceConjunction_2_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			那么	THEN	ならば	Vậy thì
lang_multi_text.db	AdviceConjunction_3_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			但是	BUT	しかし	Nhưng
lang_multi_text.db	AdviceConjunction_4_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			所以	SO	故に	Vì vậy
lang_multi_text.db	AdviceConjunction_5_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			而且	BESIDES	さらに	Và còn
lang_multi_text.db	AdviceConjunction_6_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			或者	OR	あるいは	Hoặc
lang_multi_text.db	AdviceConjunction_7_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			以及	PLUS	または	Và
lang_multi_text.db	AdviceConjunction_8_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			和	AND	と	Và
lang_multi_text.db	AdviceConjunction_9_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			接下来	NEXT	そして	Tiếp theo
lang_multi_text.db	AdviceParams_-1_Content	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			测试动作内容1	Action Content 1	テストモーション・コンテンツ1	Nội dung hành động kiểm tra 1
lang_multi_text.db	AdviceParams_-1_Title	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			测试动作标题1	Action Title 1	テストモーション・タイトル1	Tiêu đề hành động kiểm tra 1
lang_multi_text.db	AdviceParams_-2_Title	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			"{PlayerName}"的溯言	Memo from "{PlayerName}"	「{PlayerName}」の遡言	Lời nhắn từ "{PlayerName}"
lang_multi_text.db	AdviceSentence_10_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{}吧！	{}!	{}にしよう!	{} đi!
lang_multi_text.db	AdviceSentence_11_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			小心{}！	WATCH OUT FOR {}!	{}に気をつけて！	Cẩn thận {}!
lang_multi_text.db	AdviceSentence_12_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			不要{}！	DON'T {}!	{}するな！	Đừng {}!
lang_multi_text.db	AdviceSentence_13_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			禁止{}！	NO {}!	{}禁止！	Cấm {}!
lang_multi_text.db	AdviceSentence_14_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			有{}！	THERE'S {}!	{}がある！	Có {}!
lang_multi_text.db	AdviceSentence_15_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			还是{}吧。	{} INSTEAD.	{}の方がいい。	Hay là {} đi.
lang_multi_text.db	AdviceSentence_16_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			如果是{}的话，勉强可以一战。	{} MIGHT BE A WORTHY OPPONENT.	{}なら、多少は戦える。	Nếu là {} thì miễn cưỡng có thể đánh một trận.
lang_multi_text.db	AdviceSentence_17_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			注意{}！	ATTENTION! {}!	{}に警戒！	Chú ý {}!
lang_multi_text.db	AdviceSentence_18_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			考虑一下{}会更好吧。	BETTER CONSIDER {}.	{}も視野に入れよう。	Cân nhắc {} sẽ tốt hơn.
lang_multi_text.db	AdviceSentence_19_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			是{}吗？	IS IT {}?	{}なのか？	Là {} à?
