dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	16:08	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			不可超过{0}个字符	Cannot exceed {0} characters	{0}半角文字以下にしてください	Không được vượt quá {0} ký tự
lang_multi_text.db	AMS31_1_1	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			（看向她。）	(Look at her.)	(彼女に目を向ける)	(Nhìn cô ấy.)
lang_multi_text.db	AMS31_1_2	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	NPC #150086		……	...	……	...
lang_multi_text.db	AMS31_1_3	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		你看向「爱弥斯」，她正倚靠在小屋的沙发上，安静地闭着双眼。	You look toward "Aemeath." She is quietly resting on the sofa, eyes closed.	「エイメス」を見つめる。彼女はソファに深く身を預け、静かに目を閉じていた。	Bạn nhìn về phía "Aemeath", cô ấy đang tựa vào ghế sofa trong căn nhà nhỏ, lặng lẽ nhắm mắt.
lang_multi_text.db	AMS31_1_4	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		柔软宽敞的沙发前方正摆着插着卡带的游戏机和手柄，它看起来很适合两个人一起在冬日靠着打游戏，也很适合盖上毯子睡个浅眠的午觉。	A console and two controllers rest before the sofa, with a game loaded. It looks like a perfect nook for two to play shoulder-to-shoulder or snuggle through a mellow winter afternoon.	ふかふかで広々としたそのソファの前には、ロムカセットが差し込まれたままのゲーム機と、コントローラーが置かれている。寒い冬の日、二人で寄り添ってゲームをするにはおあつらえ向きで、毛布にくるまってうたた寝をするのにも良さそうだ。	Phía trước chiếc ghế sofa mềm mại và rộng rãi là máy chơi game có cắm băng cùng tay cầm, trông có vẻ rất thích hợp cho hai người cùng ngồi chơi game vào một ngày mùa đông, cũng rất thích hợp để đắp chăn ngủ một giấc trưa ngắn.
lang_multi_text.db	AMS31_1_5	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		「她」睡着了吗？「她」也会做梦吗？	Is "she" asleep? Does "she" dream as well?	「彼女」は眠っているのだろうか？　それとも、「彼女」もまた、夢を見るのだろうか？	"Cô ấy" ngủ rồi sao? "Cô ấy" cũng sẽ mơ sao?
lang_multi_text.db	AMS31_1_6	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		你不得而知。	You have no way of knowing.	……今のあなたには、知る由もない。	Bạn không thể nào biết được.
lang_multi_text.db	AMS31_2_1	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác			（看向她。）	(Look at her.)	(彼女に目を向ける)	(Nhìn cô ấy.)
lang_multi_text.db	AMS31_2_2	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	NPC #150086		……	...	……	...
lang_multi_text.db	AMS31_2_3	3.4	Hội thoại/Cốt truyện	Hội thoại/Khác	Speaker_84_Name		你看向「爱弥斯」，她正专注着站在工作台前，歪着脑袋凝视着眼前的一切。	You look toward "Aemeath." She hunches over the workbench, head tilted as she pores over the display.	「エイメス」を見つめる。彼女は作業台の前に立ち、小首をかしげて、目の前のものをじっと見つめていた。	Bạn nhìn về phía "Aemeath", cô ấy đang chăm chú đứng trước bàn làm việc, nghiêng đầu nhìn chằm chằm vào mọi thứ trước mắt.
