dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_chat.db	1	3.4	Chức năng khác	Chức năng khác			私聊			Trò chuyện riêng
lang_chat.db	2	3.4	Chức năng khác	Chức năng khác			当前队伍		現在のチーム	Đội hiện tại
lang_dragon_ball.db	1	3.4	Chức năng khác	Chức năng khác			寻遗商人·天城			Thương Nhân Tầm Di·Thiên Thành
lang_formation.db	1	3.4	Chức năng khác	Chức năng khác			只可出战火属性角色			Chỉ có thể xuất chiến nhân vật thuộc tính Hỏa
lang_friend.db	1	3.4	Chức năng khác	Chức năng khác			今天内			Trong hôm nay
lang_friend.db	10	3.4	Chức năng khác	Chức năng khác			我的UID: {0}			UID của tôi: {0}
lang_friend.db	11	3.4	Chức năng khác	Chức năng khác			在线			Trực tuyến
lang_friend.db	12	3.4	Chức năng khác	Chức năng khác			添加好友			Thêm Bạn Bè
lang_friend.db	13	3.4	Chức năng khác	Chức năng khác			黑名单			Danh Sách Đen
lang_friend.db	14	3.4	Chức năng khác	Chức năng khác			全部接受			Chấp Nhận Tất Cả
lang_friend.db	15	3.4	Chức năng khác	Chức năng khác			全部忽略			Bỏ Qua Tất Cả
lang_friend.db	2	3.4	Chức năng khác	Chức năng khác			{0}天前			{0} ngày trước
lang_friend.db	3	3.4	Chức năng khác	Chức năng khác			{0}天以上			Trên {0} ngày
lang_friend.db	4	3.4	Chức năng khác	Chức năng khác			好友			Bạn Bè
lang_friend.db	5	3.4	Chức năng khác	Chức năng khác			好友申请			Yêu Cầu Kết Bạn
lang_friend.db	6	3.4	Chức năng khác	Chức năng khác			最近联机			Kết Nối Gần Đây
lang_friend.db	7	3.4	Chức năng khác	Chức năng khác			暂无好友			Chưa có bạn bè
lang_friend.db	8	3.4	Chức năng khác	Chức năng khác			暂无好友申请			Chưa có yêu cầu kết bạn
lang_friend.db	9	3.4	Chức năng khác	Chức năng khác			暂无最近联机队友			Chưa có đồng đội kết nối gần đây
lang_motion.db	1	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	10	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	11	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	12	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	13	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	14	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	15	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	16	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	17	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	18	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	19	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	2	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	3	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	4	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	5	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	6	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	7	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
lang_motion.db	8	3.4	Chức năng khác	Chức năng khác			休闲动作·一			Hành động thư giãn·Một
