dbfile	key	version	category	folder	speaker	mission	anh_en
lang_accesspath.db	1	3.4	Vật phẩm	Vật phẩm			Obtained via tasks
lang_accesspath.db	10	3.4	Vật phẩm	Vật phẩm			Obtained via Gleamtender challenge
lang_accesspath.db	11	3.4	Vật phẩm	Vật phẩm			Obtained via Thousand Sins - The Obscured challenge
lang_accesspath.db	12	3.4	Vật phẩm	Vật phẩm			Obtained via Bell-Borne Geochelone challenge
lang_accesspath.db	13	3.4	Vật phẩm	Vật phẩm			Obtained via Seatrail Narwhal challenge
lang_accesspath.db	14	3.4	Vật phẩm	Vật phẩm			Obtained via Scar challenge
lang_accesspath.db	15	3.4	Vật phẩm	Vật phẩm			Obtained via Crownless - Prime challenge
lang_accesspath.db	16	3.4	Vật phẩm	Vật phẩm			Obtained via Huanglong exploration
lang_accesspath.db	17	3.4	Vật phẩm	Vật phẩm			Found in the wild
lang_accesspath.db	18	3.4	Vật phẩm	Vật phẩm			Dropped by wild animals
lang_accesspath.db	19	3.4	Vật phẩm	Vật phẩm			Obtained via fish catching
lang_accesspath.db	2	3.4	Vật phẩm	Vật phẩm			Obtained via Dangerous Sampling initial clear
lang_accesspath.db	20	3.4	Vật phẩm	Vật phẩm			Obtained via insect catching
lang_accesspath.db	21	3.4	Vật phẩm	Vật phẩm			Mostly found in: Gorges of Spirit
lang_accesspath.db	22	3.4	Vật phẩm	Vật phẩm			Mostly found in: Central Plains
lang_accesspath.db	23	3.4	Vật phẩm	Vật phẩm			Mostly found in: Tiancheng
lang_accesspath.db	24	3.4	Vật phẩm	Vật phẩm			Mostly found in: Desorock Highlands
lang_accesspath.db	25	3.4	Vật phẩm	Vật phẩm			Mostly found in: Norfall Barrens
lang_accesspath.db	26	3.4	Vật phẩm	Vật phẩm			Mostly found in: Wasted Metropolis
lang_accesspath.db	27	3.4	Vật phẩm	Vật phẩm			Mostly found in: Hukou, the Tiger's Maw
lang_accesspath.db	28	3.4	Vật phẩm	Vật phẩm			Mostly found in: Forsaken Abundance
lang_accesspath.db	29	3.4	Vật phẩm	Vật phẩm			Mostly found in: Dim Forest
lang_accesspath.db	3	3.4	Vật phẩm	Vật phẩm			Obtained via Tacet Field-Medium challenge
lang_accesspath.db	30	3.4	Vật phẩm	Vật phẩm			Mostly found in: Whining Aix's Mire
lang_accesspath.db	31	3.4	Vật phẩm	Vật phẩm			Mostly found in: Black Shores
lang_accesspath.db	32	3.4	Vật phẩm	Vật phẩm			Cooking
lang_accesspath.db	33	3.4	Vật phẩm	Vật phẩm			Standard Class Tacet Discord drop
lang_accesspath.db	34	3.4	Vật phẩm	Vật phẩm			Elite Class Tacet Discord drop
lang_accesspath.db	35	3.4	Vật phẩm	Vật phẩm			Standard Class Mutant Organism drop
lang_accesspath.db	36	3.4	Vật phẩm	Vật phẩm			Elite Class Mutant Organism drop
lang_accesspath.db	37	3.4	Vật phẩm	Vật phẩm			Standard Class Human drop
lang_accesspath.db	38	3.4	Vật phẩm	Vật phẩm			Elite Class Human drop
