dbfile	key	version	category	folder	speaker	mission	anh_en
lang_favor.db	10	3.4	Nhân vật	Nhân vật			Call my name when you’re in need... From lands of desolation to places of vibrancy, from beginning to end of the world, I shall witness everything at your side as long as you wish.
lang_favor.db	100	3.4	Nhân vật	Nhân vật			Huanglong Academy
lang_favor.db	107	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	108	3.4	Nhân vật	Nhân vật			Black Shores
lang_favor.db	11	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	114	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	115	3.4	Nhân vật	Nhân vật			Huanglong Academy
lang_favor.db	12	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	121	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	122	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	129	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	13	3.4	Nhân vật	Nhân vật			Member of the Ministry of Development, can turn enthusiasm into ammunition, her enthusiasm and her ammunition as never-ending self-proclaimed partner of justice, always full of energy shuttle in the streets of the city of heaven where there are people in need of help, where there will be her figure
lang_favor.db	130	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	14	3.4	Nhân vật	Nhân vật			The Ever Burning Flame
lang_favor.db	145	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	146	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	153	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	154	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	16	3.4	Nhân vật	Nhân vật			Wuthercake, Four-Great Tofu, Tiancheng Maocai... Let me show you some local dishes next time. Oh, they are all my favorites, no particular order.
lang_favor.db	18	3.4	Nhân vật	Nhân vật			Shouldn't any food be treated seriously? Hm? If, if it's unpalatable cuisine...
lang_favor.db	19	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	2	3.4	Nhân vật	Nhân vật			Tell me whenever you feel strange. N-not for the sake of the quests. I just... feel you might need me.
lang_favor.db	20	3.4	Nhân vật	Nhân vật			Huanglong Academy
lang_favor.db	22	3.4	Nhân vật	Nhân vật			Interested in my ribbon? It's gift from a wild friend for my admission into Midnight Rangers. Stripes of winds are engraved upon to celebrate a rebirth, and also remind me of the true purpose.
lang_favor.db	24	3.4	Nhân vật	Nhân vật			Sharp senses once put me in severe pains. Messages flooded from everywhere with noisiness, disorder, and violence, and I was but a feather in the storm. However... (deeply breathing) it's OK... it's all gone. I have found the key to stabilizing the direction, and by that, I have found you.
lang_favor.db	25	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	26	3.4	Nhân vật	Nhân vật			Happy birthday, Rover. (clear throat and start singing) Happy birthday to you, happy birthday to you...
lang_favor.db	27	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	28	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	29	3.4	Nhân vật	Nhân vật			A Resonator, whose origin is unknown, has the power to absorb all sounds, and in order to find memories and embark on a journey to continuously establish links with others, so that the original empty heart is gradually filled with precious emotions and memories
lang_favor.db	3	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	30	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	31	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	32	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	34	3.4	Nhân vật	Nhân vật			I am Yangyang. The flowing streams of wind guided me to you... I have a vision that for a long time coming, we will keep each other accompanied for the journey.
lang_favor.db	35	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	36	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	37	3.4	Nhân vật	Nhân vật			Jin'xi's close guard, who had personally buried the sin under the snow, also infected with abnormal vision in the eyes of San'hua, everything in the world will be distorted into strange shapes, only Imaishi is normal and pure, not alienated reality
lang_favor.db	38	3.4	Nhân vật	Nhân vật			Snow Dance Flora
lang_favor.db	4	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	40	3.4	Nhân vật	Nhân vật			To the best of me, I will respond to your expectations.
lang_favor.db	42	3.4	Nhân vật	Nhân vật			Wind strikes.
lang_favor.db	43	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	44	3.4	Nhân vật	Nhân vật			Huanglong
lang_favor.db	45	3.4	Nhân vật	Nhân vật			Acting Chief of Ministry of Development, inherited the "power of the Xuanwu" leisurely nature, relaxed, seemingly lazy, but in fact very serious and responsible, understanding every detail of Heavenly Work, and then the complicated affairs can also be handled in an orderly manner
lang_favor.db	46	3.4	Nhân vật	Nhân vật			Power of Xuanwu
