dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	GNNPCXJXY_10_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #750088		(Guess I should come back later.)
lang_multi_text.db	GNNPCXJXY_11_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		Oh, {PlayerName}. Take a seat. Are you experiencing sleep deprivation?
lang_multi_text.db	GNNPCXJXY_11_10	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		Don't worry about taking care of yourself. I'll be right there beside you.
lang_multi_text.db	GNNPCXJXY_11_2	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		Allow me to demonstrate the importance of rest. Look here. This is the rest module within my bionic brain region—
lang_multi_text.db	GNNPCXJXY_11_3	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		When humans stay up too late, places that should remain inactive light up like this, resulting in accumulated fatigue and a weakened immune system.
lang_multi_text.db	GNNPCXJXY_11_4	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		I've already issued you a medical leave slip and cc'ed the entire Academy faculty. Rest takes priority. Your coursework can wait.
lang_multi_text.db	GNNPCXJXY_11_5	3.4	Hội thoại/Cốt truyện	NPC			Isn't that a bit too much?
lang_multi_text.db	GNNPCXJXY_11_6	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		Too much? A student's health is the highest priority of the Nightingale Autonomous Nursing Assistant, and that is the very core of my duty.
lang_multi_text.db	GNNPCXJXY_11_7	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		When I detect abnormal heart rate, fatigued gait, or attention lapses beyond threshold, I am authorized to intervene.
lang_multi_text.db	GNNPCXJXY_11_8	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		If you continue ignoring these signals, I will have no choice but to issue a mandatory rest order next time.
lang_multi_text.db	GNNPCXJXY_11_9	3.4	Hội thoại/Cốt truyện	NPC			I'll take care of myself.
lang_multi_text.db	GNNPCXJXY_12_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		Statistically speaking, I dislike evenings.
lang_multi_text.db	GNNPCXJXY_12_2	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		Most students have the bad habit of staying up late, and the probability of emergency cases arriving at night is far higher than predicted.
lang_multi_text.db	GNNPCXJXY_12_3	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		While organizing medical records, I categorized students' chief complaints. The most common themes were: hometown, family, and loneliness.
lang_multi_text.db	GNNPCXJXY_12_4	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		Studying abroad is, without question, a great challenge to mental health. After analysis, the most effective prescription I found was… companionship.
lang_multi_text.db	GNNPCXJXY_12_5	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		But my emotions are nothing more than calculus simulations. They do little against human loneliness, and that is a limit... I cannot surpass.
lang_multi_text.db	GNNPCXJXY_12_6	3.4	Hội thoại/Cốt truyện	NPC			To humans, opening up means trust.
lang_multi_text.db	GNNPCXJXY_12_7	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		Hm?
lang_multi_text.db	GNNPCXJXY_12_8	3.4	Hội thoại/Cốt truyện	NPC			And the way you listen... That's a kind of companionship in itself.
lang_multi_text.db	GNNPCXJXY_12_9	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		…I see. Thank you.
lang_multi_text.db	GNNPCXJXY_13_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		Strange… I often demonstrate my internal structure in class to educate students, yet the response is usually gasps or laughter.
lang_multi_text.db	GNNPCXJXY_13_2	3.4	Hội thoại/Cốt truyện	NPC	Speaker_84_Name		N.A.N.A. picks up a handheld CT scanner and places it on her chest.
lang_multi_text.db	GNNPCXJXY_13_3	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		What do you think? Here are my mechanical ribs, the hydraulic buffers along my spine, and most importantly, the Cassette-reading chamber.
lang_multi_text.db	GNNPCXJXY_13_4	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		My bionic organs and spinal design are perfectly standard, suitable as a teaching aid.
lang_multi_text.db	GNNPCXJXY_13_5	3.4	Hội thoại/Cốt truyện	NPC			Has anyone told you that's a bit… "revealing"?
lang_multi_text.db	GNNPCXJXY_13_6	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		…Perhaps "abrupt" is the better word. To students, my internal structure crosses no boundaries. It is more akin to a medical mannequin in the infirmary.
lang_multi_text.db	GNNPCXJXY_13_7	3.4	Hội thoại/Cốt truyện	NPC	NPC #100205		On the bright side, such reactions might suggest they're in good mental health!
lang_multi_text.db	GNNPCXJXY_14_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #700231		Aaah—aaah—
lang_multi_text.db	GNNPCXJXY_15_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		…Yes, I hear your call. You seek something… something to help you.
lang_multi_text.db	GNNPCXJXY_16_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		Here, take it. It has answered your call.
lang_multi_text.db	GNNPCXJXY_17_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #750088		(Looks like I'm running low on Shell Credits. Guess I'll have to come back another time.)
lang_multi_text.db	GNNPCXJXY_18_1	3.4	Hội thoại/Cốt truyện	NPC	NPC #750088		The Royan girl before you reaches out her hand, waiting for your response.
lang_multi_text.db	GNNPCXJXY_18_10	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		…It seems that within that quiet, there is a quiet hunger.
lang_multi_text.db	GNNPCXJXY_18_11	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		This is for you, and the friend who dwells within—
lang_multi_text.db	GNNPCXJXY_18_12	3.4	Hội thoại/Cốt truyện	NPC			This is…?
lang_multi_text.db	GNNPCXJXY_18_13	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		My specially made Gravlaks. No one in the Academy has tasted my cooking, save for Aluna.
lang_multi_text.db	GNNPCXJXY_18_14	3.4	Hội thoại/Cốt truyện	NPC			Abby, Abby, wake up—
lang_multi_text.db	GNNPCXJXY_18_15	3.4	Hội thoại/Cốt truyện	NPC	NPC #1316		AHHHH! This smells soooo good! Finally, not just cans and toothpaste! Save some for me!
lang_multi_text.db	GNNPCXJXY_18_16	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		Once, "fortunate" was I to taste the Academy's famed "super food."
lang_multi_text.db	GNNPCXJXY_18_17	3.4	Hội thoại/Cốt truyện	NPC			And what did you think?
lang_multi_text.db	GNNPCXJXY_18_18	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		Enough to turn morning birds into a restless storm.
lang_multi_text.db	GNNPCXJXY_18_2	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		Like this, we don't need words. Our minds may speak in silent tongues.
lang_multi_text.db	GNNPCXJXY_18_3	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		Most thoughts flutter like morning birds. Bright, restless… like my sister Aluna. Perhaps you know her.
lang_multi_text.db	GNNPCXJXY_18_4	3.4	Hội thoại/Cốt truyện	NPC	NPC #100206		But some minds… they are like a storm on the horizon. Dark, unsettling.
lang_multi_text.db	GNNPCXJXY_18_5	3.4	Hội thoại/Cốt truyện	NPC			What are my thoughts like?
