dbfile	key	version	category	folder	speaker	mission	anh_en
lang_cgVideo.db	1	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
lang_cgVideo.db	10	3.4	Phụ đề CG	Phụ đề CG			The story I am about to tell you happened a long long time ago……
lang_cgVideo.db	11	3.4	Phụ đề CG	Phụ đề CG			The catastrophe by the name of "Lament" permeates the world in a disjointed manner.
lang_cgVideo.db	12	3.4	Phụ đề CG	Phụ đề CG			Mankind is lost in despair,
lang_cgVideo.db	13	3.4	Phụ đề CG	Phụ đề CG			But is also reborn in the silence.
lang_cgVideo.db	14	3.4	Phụ đề CG	Phụ đề CG			A newborn accompanied by risk and hope.
lang_cgVideo.db	15	3.4	Phụ đề CG	Phụ đề CG			The Calamons ravaged the lands.
lang_cgVideo.db	16	3.4	Phụ đề CG	Phụ đề CG			Mankind thirsts for the light on top of the ruins of chaos and strife.
lang_cgVideo.db	17	3.4	Phụ đề CG	Phụ đề CG			The shimmering light that pierces the dark tides,
lang_cgVideo.db	18	3.4	Phụ đề CG	Phụ đề CG			connecting to the resonance of life.
lang_cgVideo.db	19	3.4	Phụ đề CG	Phụ đề CG			Thus, they were born.
lang_cgVideo.db	2	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
lang_cgVideo.db	20	3.4	Phụ đề CG	Phụ đề CG			"Resonators" tasked with a mission,
lang_cgVideo.db	21	3.4	Phụ đề CG	Phụ đề CG			Grasping a dim light of hope.
lang_cgVideo.db	22	3.4	Phụ đề CG	Phụ đề CG			Waving off the prolonging gloom.
lang_cgVideo.db	23	3.4	Phụ đề CG	Phụ đề CG			Attempting to shatter the hotbed of disasters.
lang_cgVideo.db	24	3.4	Phụ đề CG	Phụ đề CG			Only the whistling winter wind,
lang_cgVideo.db	25	3.4	Phụ đề CG	Phụ đề CG			Is the song of their victories.
lang_cgVideo.db	26	3.4	Phụ đề CG	Phụ đề CG			Yet, the flames of destruction has been rekindled.
lang_cgVideo.db	27	3.4	Phụ đề CG	Phụ đề CG			The devastated land wails again.
lang_cgVideo.db	28	3.4	Phụ đề CG	Phụ đề CG			The dark tides that lurk within the world,
lang_cgVideo.db	29	3.4	Phụ đề CG	Phụ đề CG			A new storm is brewing.
lang_cgVideo.db	3	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
lang_cgVideo.db	30	3.4	Phụ đề CG	Phụ đề CG			The remnants of those shrouded under the mist,
lang_cgVideo.db	31	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
lang_cgVideo.db	32	3.4	Phụ đề CG	Phụ đề CG			Look out!
lang_cgVideo.db	33	3.4	Phụ đề CG	Phụ đề CG			The Clarea……Its resurging!
lang_cgVideo.db	34	3.4	Phụ đề CG	Phụ đề CG			Have you seen my crown?
lang_cgVideo.db	35	3.4	Phụ đề CG	Phụ đề CG			A high class Calamon? No, wait……
lang_cgVideo.db	36	3.4	Phụ đề CG	Phụ đề CG			I won't……Let you hurt anyone!
lang_cgVideo.db	37	3.4	Phụ đề CG	Phụ đề CG			Yang, Yangyang!
lang_cgVideo.db	38	3.4	Phụ đề CG	Phụ đề CG			Everyone……Run, hurry……
lang_cgVideo.db	39	3.4	Phụ đề CG	Phụ đề CG			Is there where the wind fades……
lang_cgVideo.db	4	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
lang_cgVideo.db	40	3.4	Phụ đề CG	Phụ đề CG			Yang……Yangyang!
lang_cgVideo.db	41	3.4	Phụ đề CG	Phụ đề CG			This is getting rather dull.
lang_cgVideo.db	42	3.4	Phụ đề CG	Phụ đề CG			Take it easy, you will feel nothing soon!
lang_cgVideo.db	43	3.4	Phụ đề CG	Phụ đề CG			Ugh... Don't just leave this troublemaker to me!
lang_cgVideo.db	44	3.4	Phụ đề CG	Phụ đề CG			Fine. Follow me, and I'll show you around.
lang_cgVideo.db	5	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
lang_cgVideo.db	6	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
lang_cgVideo.db	7	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
lang_cgVideo.db	8	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
lang_cgVideo.db	83	3.4	Phụ đề CG	Phụ đề CG			No!
lang_cgVideo.db	9	3.4	Phụ đề CG	Phụ đề CG			Rage on and on……
