dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_loadingtips.db	1	3.4	Màn hình chờ	Màn hình chờ			空中闪避			<ano=Dodge>Né Tránh</ano> trên không
lang_loadingtips.db	10	3.4	Màn hình chờ	Màn hình chờ			在前进基地训练失败后，可通过养成共鸣者提高战力。但需重新组织队伍才会生效哦。			Sau khi huấn luyện thất bại tại Căn Cứ Tiền Phương, có thể nâng cao chiến lực bằng cách bồi dưỡng <ano=Resonator>Cộng Hưởng Giả</ano>. Nhưng cần tổ chức lại đội ngũ mới có hiệu lực đấy.
lang_loadingtips.db	11	3.4	Màn hình chờ	Màn hình chờ			探索工具	Exploration Tools	探索道具	Công Cụ Thám Hiểm
lang_loadingtips.db	12	3.4	Màn hình chờ	Màn hình chờ			共鸣者终端中的探索工具搭载有辅助功能，会根据实际应用场景自动激活对应的探索工具模块。			Công Cụ Thám Hiểm trong thiết bị đầu cuối của <ano=Resonator>Cộng Hưởng Giả</ano> được trang bị chức năng hỗ trợ, sẽ tự động kích hoạt mô-đun Công Cụ Thám Hiểm tương ứng tùy theo tình huống ứng dụng thực tế.
lang_loadingtips.db	13	3.4	Màn hình chờ	Màn hình chờ			意识恢复			Hồi Phục Ý Thức
lang_loadingtips.db	14	3.4	Màn hình chờ	Màn hình chờ			野外探索是十分危险的，有可能出现失去意识的情况，需要提前准备好足够的回复道具。			Thám hiểm hoang dã vô cùng nguy hiểm, có thể xuất hiện tình huống mất ý thức, cần chuẩn bị sẵn đủ vật phẩm hồi phục từ trước.
lang_loadingtips.db	15	3.4	Màn hình chờ	Màn hình chờ			逆势回击	Counter-Attack	逆転反撃	Phản Đòn Nghịch Thế
lang_loadingtips.db	16	3.4	Màn hình chờ	Màn hình chờ			在敌人释放某些攻击动作时，会出现带有黄色光圈的破绽，此时对敌人发动攻击会起到意想不到的效果。			Khi kẻ địch tung ra một số chiêu thức tấn công nhất định, sẽ xuất hiện sơ hở kèm vòng sáng vàng, lúc này phát động đòn tấn công vào kẻ địch sẽ mang lại hiệu quả không ngờ.
lang_loadingtips.db	17	3.4	Màn hình chờ	Màn hình chờ			走进鸣潮——鸣潮子			Đi Vào <ano=Wuthering Waves>Wuthering Waves</ano> - Hạt Minh Triều
lang_loadingtips.db	18	3.4	Màn hình chờ	Màn hình chờ			主持人：博士您的意思是，我们对鸣潮子的性质几乎不了解？\n博士：没错，这是人类第一次遇见一种基础性质在不断变化的粒子，我们不知道它什么时候会变化，更不知道为什么。\n主持人：但我们却在应用它不是吗？\n博士：是的，没错。但这种应用是一种黑箱，我们至今仍知之甚少……			Người dẫn chương trình: Tiến sĩ, ý của ngài là, chúng ta gần như không hiểu gì về tính chất của Hạt Wuthering Waves?\nTiến sĩ: Đúng vậy, đây là lần đầu tiên nhân loại gặp phải một loại hạt mà tính chất cơ bản liên tục thay đổi, chúng ta không biết khi nào nó sẽ thay đổi, càng không biết tại sao.\nNgười dẫn chương trình: Nhưng chúng ta vẫn đang ứng dụng nó phải không?\nTiến sĩ: Đúng vậy, không sai. Nhưng ứng dụng kiểu này là một hộp đen, đến nay chúng ta vẫn biết rất ít...
