dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_instance_dungeon.db	1	3.4	Phụ bản	Phụ bản			test/联网测试地图1			test/Bản đồ Kiểm tra Kết nối Mạng 1
lang_instance_dungeon.db	10	3.4	Phụ bản	Phụ bản			test/爬塔第一层			test/Leo Tower tầng một
lang_instance_dungeon.db	100	3.4	Phụ bản	Phụ bản			test/TD-机关测试			test/TD-Kiểm tra Cơ quan
lang_instance_dungeon.db	1000	3.4	Phụ bản	Phụ bản			祝愿我吧，祝愿我足够好运，祝愿这条荆棘之路会有终点，祝愿我们能赢下几代人的命运，祝愿我们终将胜利。			Hãy cầu chúc cho ta, cầu chúc ta đủ may mắn, cầu chúc con đường gai góc này sẽ có hồi kết, cầu chúc chúng ta giành lại được vận mệnh của bao thế hệ, cầu chúc cuối cùng chúng ta sẽ chiến thắng.
lang_instance_dungeon.db	1001	3.4	Phụ bản	Phụ bản			角色的冷凝伤害加成提升40%。			Gia tăng 40% sát thương <ano=Glacio>Ngưng Băng</ano> của nhân vật.
lang_instance_dungeon.db	1002	3.4	Phụ bản	Phụ bản			鸣域等阶3阶解锁			Mở khóa Minh Vực cấp 3
lang_instance_dungeon.db	1003	3.4	Phụ bản	Phụ bản			请离开声之领域			Vui lòng rời khỏi <ano=Ambience>Lĩnh Vực Thanh Âm</ano>
lang_instance_dungeon.db	1004	3.4	Phụ bản	Phụ bản			战歌废墟·三（周一四日开放）			Phế Tích Chiến Ca · Ba (Mở vào Thứ Hai, Thứ Năm, Chủ Nhật)
lang_instance_dungeon.db	1005	3.4	Phụ bản	Phụ bản			祝愿我吧，祝愿我足够好运，祝愿这条荆棘之路会有终点，祝愿我们能赢下几代人的命运，祝愿我们终将胜利。			Hãy cầu chúc cho ta, cầu chúc ta đủ may mắn, cầu chúc con đường gai góc này sẽ có hồi kết, cầu chúc chúng ta giành lại được vận mệnh của bao thế hệ, cầu chúc cuối cùng chúng ta sẽ chiến thắng.
lang_instance_dungeon.db	1006	3.4	Phụ bản	Phụ bản			角色的冷凝伤害加成提升40%。			Gia tăng 40% sát thương <ano=Glacio>Ngưng Băng</ano> của nhân vật.
