dbfile	key	version	category	folder	speaker	mission	anh_en
lang_UiHotKot.db	1	3.4	Khác	Khác			Confirm
lang_UiHotKot.db	2	3.4	Khác	Khác			Back
lang_UiHotKot.db	3	3.4	Khác	Khác			Close
lang_accesspath.db	1	3.4	Khác	Khác			Obtained via tasks
lang_accesspath.db	10	3.4	Khác	Khác			Obtained via Gleamtender challenge
lang_accesspath.db	11	3.4	Khác	Khác			Obtained via Thousand Sins - The Obscured challenge
lang_accesspath.db	12	3.4	Khác	Khác			Obtained via Bell-Borne Geochelone challenge
lang_accesspath.db	13	3.4	Khác	Khác			Obtained via Seatrail Narwhal challenge
lang_accesspath.db	14	3.4	Khác	Khác			Obtained via Scar challenge
lang_accesspath.db	15	3.4	Khác	Khác			Obtained via Crownless - Prime challenge
lang_accesspath.db	16	3.4	Khác	Khác			Obtained via Huanglong exploration
lang_accesspath.db	17	3.4	Khác	Khác			Found in the wild
lang_accesspath.db	18	3.4	Khác	Khác			Dropped by wild animals
lang_accesspath.db	19	3.4	Khác	Khác			Obtained via fish catching
lang_accesspath.db	2	3.4	Khác	Khác			Obtained via Dangerous Sampling initial clear
lang_accesspath.db	20	3.4	Khác	Khác			Obtained via insect catching
lang_accesspath.db	21	3.4	Khác	Khác			Mostly found in: Gorges of Spirit
lang_accesspath.db	22	3.4	Khác	Khác			Mostly found in: Central Plains
lang_accesspath.db	23	3.4	Khác	Khác			Mostly found in: Tiancheng
lang_accesspath.db	24	3.4	Khác	Khác			Mostly found in: Desorock Highlands
lang_accesspath.db	25	3.4	Khác	Khác			Mostly found in: Norfall Barrens
lang_accesspath.db	26	3.4	Khác	Khác			Mostly found in: Wasted Metropolis
lang_accesspath.db	27	3.4	Khác	Khác			Mostly found in: Hukou, the Tiger's Maw
lang_accesspath.db	28	3.4	Khác	Khác			Mostly found in: Forsaken Abundance
lang_accesspath.db	29	3.4	Khác	Khác			Mostly found in: Dim Forest
lang_accesspath.db	3	3.4	Khác	Khác			Obtained via Tacet Field-Medium challenge
lang_accesspath.db	30	3.4	Khác	Khác			Mostly found in: Whining Aix's Mire
lang_accesspath.db	31	3.4	Khác	Khác			Mostly found in: Black Shores
lang_accesspath.db	32	3.4	Khác	Khác			Cooking
lang_accesspath.db	33	3.4	Khác	Khác			Standard Class Tacet Discord drop
lang_accesspath.db	34	3.4	Khác	Khác			Elite Class Tacet Discord drop
lang_accesspath.db	35	3.4	Khác	Khác			Standard Class Mutant Organism drop
lang_accesspath.db	36	3.4	Khác	Khác			Elite Class Mutant Organism drop
lang_accesspath.db	37	3.4	Khác	Khác			Standard Class Human drop
lang_accesspath.db	38	3.4	Khác	Khác			Elite Class Human drop
lang_accesspath.db	39	3.4	Khác	Khác			Modulation
lang_accesspath.db	4	3.4	Khác	Khác			Obtained via Crownless - Replica challenge
lang_accesspath.db	40	3.4	Khác	Khác			Exchanged via the Joint Exchange
lang_accesspath.db	41	3.4	Khác	Khác			Exchanged via the Interference Exchange
lang_accesspath.db	42	3.4	Khác	Khác			Exchanged via the Souvenirs Shop
lang_accesspath.db	43	3.4	Khác	Khác			Exchanged via the Antique Merchant - Tiancheng
lang_accesspath.db	44	3.4	Khác	Khác			51
lang_accesspath.db	45	3.4	Khác	Khác			52
lang_accesspath.db	5	3.4	Khác	Khác			Obtained via Thunder Squama challenge
lang_accesspath.db	50	3.4	Khác	Khác			53
lang_accesspath.db	51	3.4	Khác	Khác			54
lang_accesspath.db	6	3.4	Khác	Khác			Obtained via Mourning Aix challenge
lang_accesspath.db	7	3.4	Khác	Khác			Obtained via Inferno Rider challenge
lang_accesspath.db	8	3.4	Khác	Khác			Obtained via Feilian Beringal challenge
lang_accesspath.db	9	3.4	Khác	Khác			Obtained via Impermanence Heron challenge
lang_advice.db	10	3.4	Khác	Khác			Grapple Point
lang_advice.db	11	3.4	Khác	Khác			Concerto Effect
lang_advice.db	14	3.4	Khác	Khác			Counter-Attack
lang_advice.db	18	3.4	Khác	Khác			Material
lang_advice.db	2	3.4	Khác	Khác			Resonance Liberation
lang_advice.db	21	3.4	Khác	Khác			Gravity Stream
lang_advice.db	23	3.4	Khác	Khác			Choral Beacon
lang_advice.db	3	3.4	Khác	Khác			Resonance energy
lang_advice.db	9	3.4	Khác	Khác			Scanner
lang_area.db	10	3.4	Khác	Khác			Whining Aix's Mire
lang_area.db	100	3.4	Khác	Khác			Supply Station
lang_area.db	101	3.4	Khác	Khác			Lair of Gun
lang_area.db	102	3.4	Khác	Khác			Frosting Harbour
lang_area.db	103	3.4	Khác	Khác			Jiting Remnant
lang_area.db	104	3.4	Khác	Khác			Waving Battlefield
lang_area.db	105	3.4	Khác	Khác			Plateau Ruins
lang_area.db	106	3.4	Khác	Khác			Fallen Grave
lang_area.db	107	3.4	Khác	Khác			Zero Point Research Station
lang_area.db	11	3.4	Khác	Khác			Black Shores
lang_area.db	115	3.4	Khác	Khác			Abandoned Subway
lang_area.db	12	3.4	Khác	Khác			Hukou, the Tiger's Maw
lang_area.db	13	3.4	Khác	Khác			Zero Point Research Station
lang_area.db	2	3.4	Khác	Khác			Gorges of Spirits
lang_area.db	3	3.4	Khác	Khác			Tiancheng
lang_area.db	36	3.4	Khác	Khác			Outskirt
lang_area.db	37	3.4	Khác	Khác			Industrial Area
lang_area.db	38	3.4	Khác	Khác			Tiancheng Urban Area
lang_area.db	39	3.4	Khác	Khác			Center Comand Hall
lang_area.db	4	3.4	Khác	Khác			Central Plains
lang_area.db	40	3.4	Khác	Khác			Tide Rising Cliff
lang_area.db	41	3.4	Khác	Khác			Stone Pile Plain
lang_area.db	42	3.4	Khác	Khác			Gubei Pass
lang_area.db	43	3.4	Khác	Khác			Kaini Remnant Site
lang_area.db	44	3.4	Khác	Khác			Long's Gaze Suburbs
lang_area.db	45	3.4	Khác	Khác			Qichi Village
lang_area.db	46	3.4	Khác	Khác			Yeming Slide
lang_area.db	47	3.4	Khác	Khác			Remnant Center
lang_area.db	48	3.4	Khác	Khác			Lone Isle
lang_area.db	49	3.4	Khác	Khác			New Branch
lang_area.db	5	3.4	Khác	Khác			Desorock Highland
lang_area.db	50	3.4	Khác	Khác			Fossil Garden
lang_area.db	52	3.4	Khác	Khác			Settle Range
lang_area.db	53	3.4	Khác	Khác			Empty Depository
lang_area.db	54	3.4	Khác	Khác			Nostalgia Isle
lang_area.db	55	3.4	Khác	Khác			Withering Frontline
lang_area.db	56	3.4	Khác	Khác			West Range Base
lang_area.db	57	3.4	Khác	Khác			Incineranur
lang_area.db	6	3.4	Khác	Khác			Forsaken Abundance
lang_area.db	7	3.4	Khác	Khác			Dim Forest
lang_area.db	72	3.4	Khác	Khác			Tolling Stream
lang_area.db	73	3.4	Khác	Khác			Memento Square
lang_area.db	74	3.4	Khác	Khác			Cloud Cliff
lang_area.db	75	3.4	Khác	Khác			Lake District Entrance
lang_area.db	76	3.4	Khác	Khác			Long's Tear
lang_area.db	77	3.4	Khác	Khác			Misty Coast
lang_area.db	78	3.4	Khác	Khác			Tacetite Forest
lang_area.db	79	3.4	Khác	Khác			Tacetite Cliff
lang_area.db	8	3.4	Khác	Khác			Wasted Metropolis
lang_area.db	80	3.4	Khác	Khác			Olecranon Cliff
lang_area.db	81	3.4	Khác	Khác			Distant Watch Camp
lang_area.db	83	3.4	Khác	Khác			Sea Corrode Ruin
lang_area.db	84	3.4	Khác	Khác			Hermit Settlement
lang_area.db	85	3.4	Khác	Khác			Broken Block
lang_area.db	87	3.4	Khác	Khác			Wenye Beach
lang_area.db	88	3.4	Khác	Khác			Purple Moon Ficus
lang_area.db	89	3.4	Khác	Khác			Amphitheater
lang_area.db	9	3.4	Khác	Khác			Norfall Barrens
lang_area.db	90	3.4	Khác	Khác			Forbidden Forest
lang_area.db	91	3.4	Khác	Khác			Thorny Passage
lang_area.db	93	3.4	Khác	Khác			Sky Ray
lang_area.db	94	3.4	Khác	Khác			Dust-Sealed Track
lang_area.db	95	3.4	Khác	Khác			Crane-Habitat Stream
lang_area.db	96	3.4	Khác	Khác			Distribution Center
lang_area.db	97	3.4	Khác	Khác			Hukou Mine
lang_area.db	98	3.4	Khác	Khác			Star Gaze River
lang_area.db	99	3.4	Khác	Khác			Jade Gate Peak
lang_bag.db	2	3.4	Khác	Khác			Weapon
lang_bag.db	3	3.4	Khác	Khác			Echo
lang_calabash.db	1	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_calabash.db	10	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_calabash.db	11	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	12	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	13	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	14	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	15	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	16	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	17	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	18	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	19	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	2	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_calabash.db	20	3.4	Khác	Khác			<color=#ca6dff>Level 4</color>
lang_calabash.db	21	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	22	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	23	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	24	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	25	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	26	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	27	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	28	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	29	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	3	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_calabash.db	30	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	31	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	32	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	33	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	34	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	35	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	36	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	37	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	38	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	39	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	4	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_calabash.db	40	3.4	Khác	Khác			<color=#ffe65a>Level 5</color>
lang_calabash.db	5	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_calabash.db	6	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_calabash.db	7	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_calabash.db	8	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_calabash.db	9	3.4	Khác	Khác			<color=#59b4d3>Level 3</color>
lang_compose.db	1	3.4	Khác	Khác			Adrenaline
lang_compose.db	10	3.4	Khác	Khác			Havoc Topological Crystal Fragment
lang_compose.db	100	3.4	Khác	Khác			Grade C Compression Spring
lang_compose.db	101	3.4	Khác	Khác			Weapon Ascension Material.
lang_compose.db	102	3.4	Khác	Khác			Materials used in a variety of industries.
lang_compose.db	103	3.4	Khác	Khác			Class-1 Gearwheel Core
lang_compose.db	104	3.4	Khác	Khác			Weapon Ascension Material.
lang_compose.db	105	3.4	Khác	Khác			Materials used in a variety of industries.
lang_compose.db	106	3.4	Khác	Khác			Class-2 Gearwheel Core
lang_compose.db	107	3.4	Khác	Khác			Weapon Ascension Material.
lang_compose.db	108	3.4	Khác	Khác			Materials used in a variety of industries.
lang_compose.db	109	3.4	Khác	Khác			Class-3 Gearwheel Core
lang_compose.db	110	3.4	Khác	Khác			Weapon Ascension Material.
lang_compose.db	111	3.4	Khác	Khác			Materials used in a variety of industries.
lang_compose.db	112	3.4	Khác	Khác			Solution of Courage
lang_compose.db	114	3.4	Khác	Khác			The exclusive enhancement liquid for Resonators developed through Tacetite Technology. It can help Resonators to further master their powers.
lang_compose.db	115	3.4	Khác	Khác			Compound of Courage
lang_compose.db	117	3.4	Khác	Khác			The exclusive enhancement liquid for Resonators developed through Tacetite Technology. It can help Resonators to further master their powers.
lang_compose.db	118	3.4	Khác	Khác			Formulation of Courage
lang_compose.db	12	3.4	Khác	Khác			Havoc topological crystals common in regions of strong tidal field activity, with crystal surfaces shining with pure properties. Quality material to assist Resonator Ascension.
