dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	Speaker_100002_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Supportive Pilgrim
lang_multi_text.db	Speaker_100003_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Frowning Young Man
lang_multi_text.db	Speaker_100004_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Young Man
lang_multi_text.db	Speaker_100005_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Weak Elder
lang_multi_text.db	Speaker_100006_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Pero
lang_multi_text.db	Speaker_100007_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Roccia & Pero
lang_multi_text.db	Speaker_100008_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Monster?
lang_multi_text.db	Speaker_100010_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Bella
lang_multi_text.db	Speaker_100011_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Cocky Pirate
lang_multi_text.db	Speaker_100012_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Hesitant Man
lang_multi_text.db	Speaker_100013_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Pirate Crowd
lang_multi_text.db	Speaker_100014_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Swiper
lang_multi_text.db	Speaker_100015_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Pan Cake
lang_multi_text.db	Speaker_100016_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Sad Lottie Lost
lang_multi_text.db	Speaker_100017_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Surprised Woman
lang_multi_text.db	Speaker_100018_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Stammering Pirate
lang_multi_text.db	Speaker_100019_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Cocky Pirate
lang_multi_text.db	Speaker_100020_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Unsad Lottie Lost
lang_multi_text.db	Speaker_100021_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Uncocky Pirate
lang_multi_text.db	Speaker_100023_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Aldric
lang_multi_text.db	Speaker_100024_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			{PlayerName} & Roccia
lang_multi_text.db	Speaker_100025_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Lottie Lost & Hocus Pocus
lang_multi_text.db	Speaker_100026_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Middle Aged Male NPC
lang_multi_text.db	Speaker_100027_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Monster
lang_multi_text.db	Speaker_100028_Name	3.4	Hội thoại/Cốt truyện	Tên người nói			Childhood Roccia
