dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_area.db	1	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/大世界			test/Đại Thế Giới
lang_area.db	10	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			怨鸟泽	Whining Aix's Mire	怨鳥の沼	Oán Điểu Trạch
lang_area.db	100	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			补给站	Supply Station	補給所	Trạm Tiếp Tế
lang_area.db	101	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			鲧巢港	Lair of Gun	鲧巣の港	Cảng Cổn Sào
lang_area.db	102	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			寒蚀湾	Frosting Harbour	寒蝕湾	Hàn Thực Loan
lang_area.db	103	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			稷廷遗址	Jiting Remnant	稷廷跡地	Di Chỉ Tắc Đình
lang_area.db	104	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			巨浪战场旧址	Waving Battlefield	津波戦場跡地	Di Chỉ Chiến Trường Cự Lãng
lang_area.db	105	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			塬上废墟	Plateau Ruins	高原の廃墟	Phế Tích Nguyên Thượng
lang_area.db	106	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			陨落坟冢	Fallen Grave	落鳥塚	Vẫn Lạc Phần Trủng
lang_area.db	107	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			原点科考站	Zero Point Research Station	原点研究所	Trạm Nghiên Cứu Nguyên Điểm
lang_area.db	108	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/天城电梯底部空气墙			test/Tường khí đáy thang máy Thiên Thành
lang_area.db	109	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/天城电梯顶部空气墙			test/Tường khí đỉnh thang máy Thiên Thành
lang_area.db	11	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			黑海岸	Black Shores	黒海岸	Hắc Hải Ngạn
lang_area.db	110	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/龙主居所副本空气墙1			test/Tường khí phụ bản Long Chủ Cư Sở 1
lang_area.db	111	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/龙主居所副本空气墙2			test/Tường khí phụ bản Long Chủ Cư Sở 2
lang_area.db	112	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/龙主居所副本空气墙3			test/Tường khí phụ bản Long Chủ Cư Sở 3
lang_area.db	113	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/一次性爬塔空气墙			test/Tường khí leo tháp một lần
lang_area.db	114	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/龙主居所副本空气墙4			test/Tường khí phụ bản Long Chủ Cư Sở 4
lang_area.db	115	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			废弃地铁站	Abandoned Subway	廃棄地下鉄ステーション	Trạm Tàu Điện Ngầm Bỏ Hoang
lang_area.db	116	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/循环爬塔副本空气墙1			test/Tường khí phụ bản leo tháp vòng lặp 1
lang_area.db	117	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/循环爬塔副本空气墙2			test/Tường khí phụ bản leo tháp vòng lặp 2
lang_area.db	118	3.4	Hệ thống/Thế giới	Hệ thống/Thế giới			test/啊呜角色副本空气墙			test/Tường khí phụ bản nhân vật A Ngô
