dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_UiHotKot.db	10	moi	Thêm từ game	Thêm từ game			隐藏来源			
lang_UiHotKot.db	11	moi	Thêm từ game	Thêm từ game			使用	Item Handling	アイテム調整	
lang_UiHotKot.db	12	moi	Thêm từ game	Thêm từ game			增加	Increase	増加	
lang_UiHotKot.db	13	moi	Thêm từ game	Thêm từ game			减少	Decrease	減少	
lang_UiHotKot.db	14	moi	Thêm từ game	Thêm từ game			说明	View Description	説明を確認	
lang_UiHotKot.db	15	moi	Thêm từ game	Thêm từ game			鸣域等阶	Choral Rank	鳴域ランク	
lang_UiHotKot.db	16	moi	Thêm từ game	Thêm từ game			复制ID	Copy ID	IDをコピー	
lang_UiHotKot.db	17	moi	Thêm từ game	Thêm từ game			查看道具	Inpect Item	アイテム確認	
lang_UiHotKot.db	18	moi	Thêm từ game	Thêm từ game			最大	Max	最大	
lang_UiHotKot.db	19	moi	Thêm từ game	Thêm từ game			完成	Complete	完成	
lang_UiHotKot.db	20	moi	Thêm từ game	Thêm từ game			上一角色	Previous Character	前のキャラ	
lang_UiHotKot.db	21	moi	Thêm từ game	Thêm từ game			下一角色	Next Character	後のキャラ	
lang_UiHotKot.db	22	moi	Thêm từ game	Thêm từ game			阅读	Read	読む	
lang_UiHotKot.db	23	moi	Thêm từ game	Thêm từ game			清空	Clear All	全部消す	
lang_UiHotKot.db	24	moi	Thêm từ game	Thêm từ game			查看货币	Check Currency	通貨確認	
lang_UiHotKot.db	25	moi	Thêm từ game	Thêm từ game			详情	Details	詳細	
lang_UiHotKot.db	26	moi	Thêm từ game	Thêm từ game			选择出战成员	Select Character	キャラ選択	
lang_UiHotKot.db	27	moi	Thêm từ game	Thêm từ game			快捷列表	Shortlist	ショートカット	
lang_UiHotKot.db	28	moi	Thêm từ game	Thêm từ game			购买	Purchase	購入	
lang_UiHotKot.db	29	moi	Thêm từ game	Thêm từ game			上一分页			
lang_UiHotKot.db	30	moi	Thêm từ game	Thêm từ game			下一分页			
lang_UiHotKot.db	31	moi	Thêm từ game	Thêm từ game			上一节点			
lang_UiHotKot.db	32	moi	Thêm từ game	Thêm từ game			下一节点			
lang_UiHotKot.db	33	moi	Thêm từ game	Thêm từ game			播放/停止			
lang_UiHotKot.db	34	moi	Thêm từ game	Thêm từ game			删除			
lang_UiHotKot.db	35	moi	Thêm từ game	Thêm từ game			切换共鸣者			
lang_UiHotKot.db	36	moi	Thêm từ game	Thêm từ game			/			
lang_UiHotKot.db	37	moi	Thêm từ game	Thêm từ game			展开/收起			
lang_UiHotKot.db	38	moi	Thêm từ game	Thêm từ game			筛选			
lang_UiHotKot.db	39	moi	Thêm từ game	Thêm từ game			接受			
lang_UiHotKot.db	4	moi	Thêm từ game	Thêm từ game			退出	Close	オフ	
lang_UiHotKot.db	40	moi	Thêm từ game	Thêm từ game			拒绝			
lang_UiHotKot.db	41	moi	Thêm từ game	Thêm từ game			当前位置			
lang_UiHotKot.db	42	moi	Thêm từ game	Thêm từ game			申请加入			
lang_UiHotKot.db	43	moi	Thêm từ game	Thêm từ game			移出			
lang_UiHotKot.db	44	moi	Thêm từ game	Thêm từ game			阶段奖励			
lang_UiHotKot.db	45	moi	Thêm từ game	Thêm từ game			领取			
lang_UiHotKot.db	46	moi	Thêm từ game	Thêm từ game			镜头方向			
lang_UiHotKot.db	47	moi	Thêm từ game	Thêm từ game			拍摄			
lang_UiHotKot.db	48	moi	Thêm từ game	Thêm từ game			重置镜头			
lang_UiHotKot.db	49	moi	Thêm từ game	Thêm từ game			表情/动作			
lang_UiHotKot.db	5	moi	Thêm từ game	Thêm từ game			查看	Inspect	確認	
lang_UiHotKot.db	50	moi	Thêm từ game	Thêm từ game			设置			
lang_UiHotKot.db	51	moi	Thêm từ game	Thêm từ game			出战			
lang_UiHotKot.db	52	moi	Thêm từ game	Thêm từ game			继续			
lang_UiHotKot.db	53	moi	Thêm từ game	Thêm từ game			确定选项			
lang_UiHotKot.db	54	moi	Thêm từ game	Thêm từ game			切换			
lang_UiHotKot.db	55	moi	Thêm từ game	Thêm từ game			追踪			
lang_UiHotKot.db	56	moi	Thêm từ game	Thêm từ game			保存			
lang_UiHotKot.db	57	moi	Thêm từ game	Thêm từ game			调谐1次			
