dbfile	key	version	category	folder	speaker	mission	anh_en
lang_explore_progress.db	12	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	15	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	18	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	21	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	24	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	27	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	3	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	30	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	33	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	36	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	6	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_progress.db	9	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Audio Casket
lang_explore_skill.db	1	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Grapple Cord
lang_explore_skill.db	11	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Echoes
lang_explore_skill.db	3	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Scanner
lang_explore_skill.db	5	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Levitation
lang_explore_skill.db	9	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Hand Glider
lang_infodisplay.db	1	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			Dim Forest Ecological Survey (1)
lang_infodisplay.db	10	3.4	Bản đồ/Thế giới	Bản đồ/Thế giới			The environment of the Confinement Woods is even more magical than expected. A unique canopy ecosystem has formed around the branches of this giant tree.\nAccording to my investigation, the tree's branches contain abundant Resonance Energy within. The energy gathered from around the area of the Dim Forest travels from the top of the tree to the entire trunk. Under the catalyst of this energy, such a huge tree was formed. And it is by relying on these energies that the tree reproduces a whole different ecosystem. Probably because of the ferocious roars that come from time to time within the tree, the tree has no signs of activity from large MO or TD. This gives the plants a better chance to flourish and allows the Remnant Mutterfly to exist.\nThe skills of the Resonator who created this giant tree is very similar to mine. I guess he is also a nature lover. Otherwise, even with the assistance of the sonic instrument at the top of the tree, it is unlikely that such a large and complex giant tree could have been created.\nIn order to facilitate future expeditions, I made a little fluorescent decoration on the branch of Confinement Woods as a sign. This will make future research expeditions more efficient. So it's time to go, to explore the depths of the Confinement Woods!
