dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_34	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Explore the Sonoro Sphere
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_35	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Enter the Sonoro Sphere
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_36	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Enter the Sonoro Sphere
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_38	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Defeat the Tacet Discords
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_39	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Enter Regiment Building
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_40	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Explore the Regiment Hall
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_41	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			(Optional) Check on the soldiers
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_42	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Head to the center of the Hall
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_44	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Defeat the Tacet Discords
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_45	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Follow the bell
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_46	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Continue onward
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_47	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Continue exploration
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_48	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Continue exploration
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_49	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Defeat the Tacet Discords
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_50	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Investigate further
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_51	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Defeat the Tacet Discords
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_52	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Use the Grapple to reach the upper-levels
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_53	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Continue onward
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_54	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Defeat the Tacet Discords
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_55	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Use the Grapple to reach the corridor
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_56	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Continue forward along the corridor
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_57	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Continue forward along the corridor
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_58	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Reach the end of the corridor
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_59	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Jump down from the corridor
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_61	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Reach the bottom of the building
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_62	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Reach the bottom of the building
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_64	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Defeat Thundering Mephis
lang_multi_text.db	LevelPlay_102000013_ChildQuestTip_0_66	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Leave "Replica of Past Days"
lang_multi_text.db	LevelPlay_102000013_InteractContent_0_4	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Inspect
lang_multi_text.db	LevelPlay_102000013_InteractContent_0_5	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Inspect
lang_multi_text.db	LevelPlay_102000013_InteractContent_0_6	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Inspect
lang_multi_text.db	LevelPlay_102000013_QuestScheduleMainTitle_0_2	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Explore the Regiment Hall
lang_multi_text.db	LevelPlay_102000013_QuestScheduleSubTitle_0_3	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Go deeper into the Regiment Hall
lang_multi_text.db	LevelPlay_102000013_QuestScheduleSubTitle_0_4	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			(Optional) Check on the soldiers
lang_multi_text.db	LevelPlay_102000014_ChildQuestTip_0_10	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Break Scar's Elysium
lang_multi_text.db	LevelPlay_102000014_ChildQuestTip_0_11	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Venture deeper into the Elysium
lang_multi_text.db	LevelPlay_102000014_ChildQuestTip_0_12	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Defeat enemies inside the Elysium
lang_multi_text.db	LevelPlay_102000014_ChildQuestTip_0_13	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Venture deeper into the Elysium
lang_multi_text.db	LevelPlay_102000014_ChildQuestTip_0_14	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Defeat enemies inside the Elysium
lang_multi_text.db	LevelPlay_102000014_ChildQuestTip_0_15	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Find Scar
lang_multi_text.db	LevelPlay_102000014_ChildQuestTip_0_17	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Defeat Scar
lang_multi_text.db	LevelPlay_102000016_ChildQuestTip_0_10	3.4	Hội thoại/Cốt truyện	Nhiệm vụ màn chơi			Begin "Perspective Bender"
