dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	AchievementCategory_1_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Exploration
lang_multi_text.db	AchievementCategory_2_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Journey
lang_multi_text.db	AchievementCategory_3_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Battles
lang_multi_text.db	AchievementCategory_4_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Voices
lang_multi_text.db	AchievementCategory_5_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Backpack
lang_multi_text.db	AchievementCategory_6_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Friends
lang_multi_text.db	AchievementGroup_1001_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Exploration: Huanglong
lang_multi_text.db	AchievementGroup_1002_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Footprints in Huanglong I
lang_multi_text.db	AchievementGroup_1003_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Footprints in Huanglong II
lang_multi_text.db	AchievementGroup_1004_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Wilderness Calls
lang_multi_text.db	AchievementGroup_1005_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Footprints on the Shores I
lang_multi_text.db	AchievementGroup_1007_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Exploration: Rinascita
lang_multi_text.db	AchievementGroup_1008_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Footprints in Rinascita I
lang_multi_text.db	AchievementGroup_1008_Title	3.4	Hội thoại/Cốt truyện	Thành tựu			Traveler From Afar
lang_multi_text.db	AchievementGroup_1008_TitleDesc	3.4	Hội thoại/Cốt truyện	Thành tựu			The traveler's footprints will forever remain among the Thousand Isles.
lang_multi_text.db	AchievementGroup_1009_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Footprints in Rinascita II
lang_multi_text.db	AchievementGroup_1009_Title	3.4	Hội thoại/Cốt truyện	Thành tựu			Land of Lantern
lang_multi_text.db	AchievementGroup_1009_TitleDesc	3.4	Hội thoại/Cốt truyện	Thành tựu			Take up the lantern. Through this small pane of glass, you may glimpse the past, present, and future of this land surrounded by the sea.
lang_multi_text.db	AchievementGroup_1010_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Footprints in Rinascita III
lang_multi_text.db	AchievementGroup_1010_Title	3.4	Hội thoại/Cốt truyện	Thành tựu			Septimont Fighter
lang_multi_text.db	AchievementGroup_1010_TitleDesc	3.4	Hội thoại/Cốt truyện	Thành tựu			May applause greet you.
lang_multi_text.db	AchievementGroup_1011_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Exploration: Lahai-Roi
lang_multi_text.db	AchievementGroup_1011_Title	3.4	Hội thoại/Cốt truyện	Thành tựu			Iron Symphony
lang_multi_text.db	AchievementGroup_1011_TitleDesc	3.4	Hội thoại/Cốt truyện	Thành tựu			The clash of steel!
lang_multi_text.db	AchievementGroup_1012_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			Footprints in Lahai-Roi I
lang_multi_text.db	AchievementGroup_1012_Title	3.4	Hội thoại/Cốt truyện	Thành tựu			Knight of the Wilds
lang_multi_text.db	AchievementGroup_1012_TitleDesc	3.4	Hội thoại/Cốt truyện	Thành tựu			Set forth, toward the distant horizon.
