dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_multi_text.db	EntityPackIdErr_Content	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			实体:{0}投放Id:{1}错误，当前场景投放:{2}不匹配无法创建	Entity: {0}, Deployment ID: {1} error. The current scene deployment {2} does not match and cannot be created.	Enity:{0}配置Id:{1}エラー現在フィールド配置:{2}一致していないため作成できません	Thực thể: {0} Id thả: {1} bị lỗi, thả cảnh hiện tại: {2} không khớp nên không thể tạo ra
lang_multi_text.db	Entity_000733c59cd5752af5bc62963e5b8a564cd19279255997a45fde85baa11a7d9a	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			百川	Baichuan	百川	Bách Xuyên
lang_multi_text.db	Entity_00113da17cd051752e24cc6f4cd6f6922da08ddc363d61a7e92f101e8402570e	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			凝水贵族	Abyssal Mercator	アビサル・メルカトル	Quý Tộc Ngưng Thủy
lang_multi_text.db	Entity_001186aae613cfd30c8eb7572d8d50fa97dd1cc0936ac70346208587109e7a63	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			逐梦的记忆	Memory of Dreaming	夢追の記憶	Ký Ức Theo Đuổi Giấc Mơ
lang_multi_text.db	Entity_0017bba5280e42456325c6f744acee052bd7e6e4a90f173bef2ad274e1e5eb66	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			帐篷	Tent	テント	Lều Trại
lang_multi_text.db	Entity_00228f2c3498d5fbaa64a1cdd6e7f3f54a5f03b7a58fe2883ec4ed40c2ed9a59	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			黑纹蛙	Black-Striped Frog	黒紋蛙	Ếch Vằn Đen
lang_multi_text.db	Entity_003388938bbec70c6d9d57b054e4bc3d10b1a5006760452ab3282a6fbeb9a230	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			挑衅一下	Provoke	挑発的な姿勢を構えて	Khiêu khích một chút
lang_multi_text.db	Entity_003f0d6e90eaf568c3fad6a68f0d612ee0f41fc02da50c2b9ecc711b7a398500	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			佩拉	Pela	ペーラ	Pela
lang_multi_text.db	Entity_0053da922f40d072d930b39be0c063a1075a783a9e1df881011620081d08a3fd	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			巴尔萨泽	Balthasar	バルタザール	Balthasar
lang_multi_text.db	Entity_0059f1a5db91853ddfcf72961f76ba42d05f6c8771973a398f7ba858ab853c5b	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			“凝望模因”	"Staring Meme"	「凝視のミーム」	"Meme Ánh Nhìn"
lang_multi_text.db	Entity_00629ef7bea5f45b3baab8cbf6259c97cc5992e78f962c2e8a41b7c4d2273b47	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			《寻物启事：数据记忆体》	Notice for Lost Data Memory	『落とし物掲示：データメモリー』	《Thông Báo Tìm Đồ: Bộ Nhớ dữ liệu》
lang_multi_text.db	Entity_006409f5abd63b71336844d8ffbb249188c62d1e91fd5891e5f37f3760644140	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			操控台	Control Desk	制御パネル	Bảng Điều Khiển
lang_multi_text.db	Entity_006609e7b2f6ada370042d873e9b25344e320d32ca6569714193ef4105116ff5	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			胆怯的青年	Nervous Roya	怯えた青年	Thanh Niên Nhát Gan
lang_multi_text.db	Entity_00798bf489f9a0f48ffeed220edffb2a9e4fff50fe65139a6f94265565c04990	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			普布利	Puberius	プブリ	Puberius
lang_multi_text.db	Entity_007d84e6ba2d4c1003cb783450e0d3ebfb06133cdcc4e862622512cdf22c65bd	3.4	Hội thoại/Cốt truyện	Thực thể (tự sinh)			山脉护卫	Alptop Champion	山脈の守り手	Bảo Vệ Rặng Núi
