dbfile	key	version	category	folder	speaker	mission	anh_en
lang_calabash.db	1	3.4	Kỹ năng	Kỹ năng			<color=#59b4d3>Level 3</color>
lang_calabash.db	10	3.4	Kỹ năng	Kỹ năng			<color=#59b4d3>Level 3</color>
lang_calabash.db	11	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	12	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	13	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	14	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	15	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	16	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	17	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	18	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	19	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	2	3.4	Kỹ năng	Kỹ năng			<color=#59b4d3>Level 3</color>
lang_calabash.db	20	3.4	Kỹ năng	Kỹ năng			<color=#ca6dff>Level 4</color>
lang_calabash.db	21	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	22	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	23	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	24	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	25	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	26	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	27	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	28	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	29	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	3	3.4	Kỹ năng	Kỹ năng			<color=#59b4d3>Level 3</color>
lang_calabash.db	30	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	31	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	32	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	33	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	34	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	35	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	36	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	37	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	38	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	39	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	4	3.4	Kỹ năng	Kỹ năng			<color=#59b4d3>Level 3</color>
lang_calabash.db	40	3.4	Kỹ năng	Kỹ năng			<color=#ffe65a>Level 5</color>
lang_calabash.db	5	3.4	Kỹ năng	Kỹ năng			<color=#59b4d3>Level 3</color>
lang_calabash.db	6	3.4	Kỹ năng	Kỹ năng			<color=#59b4d3>Level 3</color>
lang_calabash.db	7	3.4	Kỹ năng	Kỹ năng			<color=#59b4d3>Level 3</color>
lang_calabash.db	8	3.4	Kỹ năng	Kỹ năng			<color=#59b4d3>Level 3</color>
