dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	FavorGoods_110201_Content	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Before leaving the temple, Sanhua received a string of Mala beads from the abbot.\nThese precious beads hold the blessing and guidance of the abbot, serving as a constant reminder for Sanhua. In times of turmoil, she finds comfort in running her fingers over the smooth beads, using them as a meditative tool to recite the Heart Sutra and bring peace to her mind.
lang_multi_text.db	FavorGoods_110201_Title	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Mala Beads
lang_multi_text.db	FavorGoods_110202_Content	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Jinhsi wanted to see the world through Sanhua's eyes, so Sanhua sought the guidance of a famous shadow play master in <te href=850093>Huanglong</te> to show Jinhsi a glimpse of the hellish sight she witnessed. But this bizarre world unexpectedly captured Jinhsi's interest, which occasionally gave Sanhua the illusion that she could also one day live with this hell.\nUnlike the rough monster shadow puppets, there is also a pair of delicate human shadow puppets that Sanhua keeps as a private collection.
lang_multi_text.db	FavorGoods_110202_Title	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			The Amorphous
lang_multi_text.db	FavorGoods_110203_Content	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Sanhua used to believe that transience was the root of all beauty in the world. Just like snow and ice, so pure and captivating, but destined to melt. But sometimes, as she holds a frozen flower in her hand, she wonders - is she admiring its fleeting beauty or mourning its inevitable demise? She freezes the frosty blossom, determined to preserve it for just a little longer. Just like this moment with all its precious memories and beauty that she vows to protect forever.
lang_multi_text.db	FavorGoods_110203_Title	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Ksana
lang_multi_text.db	FavorGoods_110301_Content	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Baizhi's been preserving this pair of rings from her time at Huaxu Academy. They are identical in shape and style, with only slight differences in wear. Their origins are a mystery—some say they're a memento from a deceased family member, others claim they are some kind of <te href=850076>Remnant</te> technology device that Baizhi and her team created to strengthen her bond with <te href=850140>You'tan</te>.\nThough no one really knows why Baizhi cherishes these seemingly modest rings so much, and she has never cared to explain, only Baizhi understands their true significance. To her, they are the embodiment of her past team's efforts and a poignant reminder of her teammates and mentors who sacrificed themselves deep in the icebound plain. These rings represent the teachings and expectations they held for her, driving her to carry on their will and continue the research in Remnant Ecoacoustics.
lang_multi_text.db	FavorGoods_110301_Title	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Simplistic Rings
lang_multi_text.db	FavorGoods_110302_Content	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Baizhi meticulously studied the behavioral patterns of <te href=850140>You'tan</te> and recorded detailed data. But many mysteries still surround this <te href=850076>Remnant</te> Creature: What is its composition? How did it come into existence? And are there other similar creatures to be found? Inspired by her colleague's words, Baizhi embarked on a modeling project to recreate You'tan. The result is a complex model consisting of 205 components. It's said that Baizhi can assemble it flawlessly, even with her eyes closed. While not as intricate as the real You'tan, this model serves as a deconstruction and ambitious attempt to replicate the creature from frequencies to a physical form.
lang_multi_text.db	FavorGoods_110302_Title	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Miniature You'tan
lang_multi_text.db	FavorGoods_110303_Content	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			<te href=850093>Huanglong</te> officials presented this Medal of Honor to the entire team for their contribution to the field of <te href=850076>Remnant</te> Ecoacoustics and for their courageous research spirit. As the only survivor of the team, Baizhi received the medal on their behalf and has kept it ever since. \nIt is a remembrance and an honor. \nThere are still many uncharted territories in the field of science waiting for explorers like them to enter and make their voices heard. Humans will respond positively to their voices, which is the meaning of their research on "<te href=850076>Remnant Energy</te>."
lang_multi_text.db	FavorGoods_110303_Title	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Medal of Honor
lang_multi_text.db	FavorGoods_110401_Content	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Lingyang was given this liondance head by Mr. Qixing of the Liondance Troupe as a token of honor.\nLingyang joined the <te href=850130>Liondance Troupe</te> at a young age by chance, and the liondance performance allowed Lingyang to unleash his wild side and bring encouragement and blessings to the community. It helped Lingyang get along with the people of <te href=850091>Jinzhou</te>. \nWith Lingyang's hard work and practice, his small body was able to express the joys and sorrows of the lion, as well as its movements and fears.\nEven though Lingyang is now a well-known Liondancer in <te href=850091>Jinzhou</te>, he still carries this liondance head with him at all times.
lang_multi_text.db	FavorGoods_110401_Title	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Liondance Head
lang_multi_text.db	FavorGoods_110402_Content	3.4	Hội thoại/Cốt truyện	Hảo cảm nhân vật			Grilling is a popular cooking method in <te href=850091>Jinzhou</te>, but Lingyang has always been dissatisfied with how the charcoal grill can overpower the natural flavor of the meat. Determined to create something unique, he experimented and eventually perfected his own "medium-rare" skewers. By combining the beloved "Jinzhou Skewers" with simple yet flavorful seasonings, Lingyang was able to preserve the tenderness and smooth texture of the meat while adding a new level of taste that quickly became a sensation in the city. Despite sharing his cooking techniques, Lingyang's mastery of achieving the perfect "medium-rare" remains unmatched. This common dish has become a signature creation thanks to his dedication and ingenuity.  \n"Want to know my cooking secret? Just handle each ingredient with care and adjust the flame as needed. Easy!"
