part,id,key,CN,EN,JP,VI_old,VI_new,HV_new,reason
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_1_50_29,Main_LahaiRoi_3_1_50_29,你与琳奈再次见面，发现她正为突然成为校园名人而有些不知所措。她向你坦言，学院并没有公开她的身份，能留在学院已是幸运，她无法坦然面对那些纯粹的夸赞。此刻她最期待的是明天即将进行的入学测验——那将是她第一次以真实身份获得认可，虽然要重新从预科一年级开始读起，但她仍然对真正属于自己的未来充满希望。\n“……我是以‘琳奈’这个名字和大家——还有你相遇的，所以，那个佣兵的故事早都结束了。”\n“从现在开始的，就是属于琳奈的人生！”,"When you meet Lynae again, she is overwhelmed by her sudden fame. She admits the Academy didn't disclose her background, and she feels lucky just to be allowed to stay, unsure how to handle all the praise.\nWhat she looks forward to most is tomorrow's entrance exam. It will be the first time she's recognized under her true identity. Even though she'll have to start over as a first-year in the Prep Program, she's filled with hope for a future that finally belongs to her.\n""I met everyone, you included, as 'Lynae.' And I'm ready to let my merc past close its final chapter.""\n""Whatever comes next, that's my life and mine alone!""",あなたは再びリンネーと会った。突然「学園の有名人」として注目されるようになった彼女は、少し戸惑った表情を浮かべている。学園は彼女の本当の身分を公表しておらず、ここに留まれること自体が幸運だとリンネーは言った。だからこそ、純粋な称賛の言葉を素直に受け取ることができないのだ。今、彼女が最も心待ちにしているのは、明日行われる入学テストだった——それは、彼女が初めて「本当の自分」として認められる瞬間になる。プレパラトリー・プログラムを一年生からやり直すことになっても、彼女はようやく本当の自分の未来を掴めることに希望を抱いていた。\n「……あたしは『リンネー』として、みんなと……{PlayerName}{Male=君;Female=ちゃん}と出会ったんだ。だから、傭兵だったあたしの物語は、とっくに終わってる。」\n「これからは、本当の人生を歩んでいくよ！」,"Bạn gặp lại Lynae, nhận thấy cô ấy đang có chút bối rối vì bất ngờ trở thành người nổi tiếng trong khuôn viên trường. Cô ấy thẳng thắn thừa nhận với bạn rằng, học viện không công khai thân phận của cô, việc có thể ở lại học viện đã là một sự may mắn, cô không thể thản nhiên đối diện với những lời khen ngợi thuần túy đó. Lúc này, điều cô ấy mong đợi nhất là bài kiểm tra đầu vào sẽ diễn ra vào ngày mai - đó sẽ là lần đầu tiên cô ấy được công nhận với thân phận thật của mình. Mặc dù phải học lại từ năm thứ nhất hệ dự bị, nhưng cô ấy vẫn tràn đầy hy vọng vào một tương lai thực sự thuộc về mình.\n""...Mình đã gặp mọi người - và cả cậu nữa bằng cái tên 'Lynae', nên câu chuyện về người lính đánh thuê đó đã kết thúc từ lâu rồi.""\n""Từ bây giờ, đây chính là cuộc sống thuộc về Lynae!""","Bạn gặp lại Lynae, nhận thấy cô ấy đang có chút bối rối vì bất ngờ trở thành người nổi tiếng trong khuôn viên trường. Cô ấy thẳng thắn thừa nhận với bạn rằng, học viện không công khai thân phận của cô, việc có thể ở lại học viện đã là một sự may mắn, cô không thể thản nhiên đối diện với những lời khen ngợi thuần túy đó. Lúc này, điều cô ấy mong đợi nhất là bài kiểm tra đầu vào sẽ diễn ra vào ngày mai - đó sẽ là lần đầu tiên cô ấy được công nhận với thân phận thật của mình. Mặc dù phải học lại từ năm thứ nhất hệ dự bị, nhưng cô ấy vẫn tràn đầy hy vọng vào một tương lai thực sự thuộc về mình.\n""...Mình đã gặp mọi người - và cả cậu nữa bằng cái tên 'Lynae', nên câu chuyện về người lính đánh thuê đó đã kết thúc từ lâu rồi.""\n""Từ giờ trở đi mới là cuộc đời của Lynae!""","Bạn gặp lại Lynae, nhận thấy cô ấy đang có chút bối rối vì bất ngờ trở thành người nổi tiếng trong khuôn viên trường. Cô ấy thẳng thắn thừa nhận với bạn rằng, học viện không công khai thân phận của cô, việc có thể ở lại học viện đã là một sự may mắn, cô không thể thản nhiên đối diện với những lời khen ngợi thuần túy đó. Lúc này, điều cô ấy mong đợi nhất là bài kiểm tra đầu vào sẽ diễn ra vào ngày mai - đó sẽ là lần đầu tiên cô ấy được công nhận với thân phận thật của mình. Mặc dù phải học lại từ năm thứ nhất hệ dự bị, nhưng cô ấy vẫn tràn đầy hy vọng vào một tương lai thực sự thuộc về mình.\n""...Mình đã gặp mọi người - và cả cậu nữa bằng cái tên 'Lynae', nên câu chuyện về người lính đánh thuê đó đã kết thúc từ lâu rồi.""\n""Từ giờ trở đi mới là cuộc đời của Lynae!""",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_1_7_1,Main_LahaiRoi_3_1_7_1,你还好吗？抱歉，刚才是我没注意到……我会负责的！,You okay back there? Sorry... I didn't see you. I'll handle this.,大丈夫？ゴメン、さっきは気づけなくって……ちゃんと責任は取るから！,"Cậu không sao chứ? Xin lỗi, vừa nãy là mình không chú ý... Mình sẽ chịu trách nhiệm!","Cậu không sao chứ? Xin lỗi, lúc nãy tớ không để ý... Tớ sẽ chịu trách nhiệm!","Cậu không sao chứ? Xin lỗi, lúc nãy tớ không để ý... Tớ sẽ chịu trách nhiệm!",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_1_7_4,Main_LahaiRoi_3_1_7_4,……我没事。那个“虚诞虫”，有鸣式的频率……,I'm fine. But this Voidworm is carrying the Threnodian's frequency...,{Male=俺は平気だ。それより、あの「ヴォイドワーム」から<ano=めいしき>鳴式</ano>の周波数が……;Female=私は平気。それより、あの「ヴォイドワーム」から<ano=めいしき>鳴式</ano>の周波数が……},"...Mình không sao. ""Trùng Hư Đản"" đó, có tần số của Minh Thức...","...Mình không sao. ""Sâu Hư Không"" đó, có tần số của Minh Thức...","...Mình không sao. ""Sâu Hư Không"" đó, có tần số của Minh Thức...",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_1_8_14,Main_LahaiRoi_3_1_8_14,虚诞虫紧追不放间，你与突然出现的金发少女相互配合，用击碎的落石暂时阻碍虚诞虫的行进，趁机脱身。\n摩托冲出山洞，面前豁然开朗，广阔的拉海洛尽在眼前，少女微笑着向你自我介绍：她叫琳奈，你也向她报上名字，两人继续向星炬学院出发。,"As a Voidworm chases you relentlessly, a blonde girl appears. Working together, you bring down falling rocks to slow the creature and make your escape.\nYour motorbike bursts out of the cave into the vast, open view of Lahai-Roi. The girl introduces herself as Lynae, and together, you continue toward Startorch Academy.",ヴォイドワームに追われる中、あなたは先程現れた金髪の少女と協力して、砕けた落石でヴォイドワームの動きを止め、振り切ることに成功した。\nバイクが洞窟を抜けると視界が一気に開け、広大なラハイロイが目の前に広がる。微笑む少女は「リンネー」と名乗り、あなたも自分の名を告げ、二人は共にスタートーチ学園へと向かった。,"Trong lúc Trùng Hư Đản bám riết không buông, bạn và cô gái tóc vàng đột nhiên xuất hiện đã phối hợp với nhau, dùng đá rơi vỡ vụn để tạm thời cản đường Trùng Hư Đản, nhân cơ hội trốn thoát.\nXe mô tô lao ra khỏi hang động, trước mặt bỗng nhiên rộng mở, vùng đất Lahai-Roi bao la hiện ra trước mắt, cô gái mỉm cười tự giới thiệu: cô ấy tên là Lynae, bạn cũng xưng tên với cô ấy, hai người tiếp tục xuất phát đến Học viện Startorch.","Trong lúc Sâu Hư Không bám riết không buông, bạn và cô gái tóc vàng đột nhiên xuất hiện đã phối hợp với nhau, dùng đá rơi vỡ vụn để tạm thời cản đường Sâu Hư Không, nhân cơ hội trốn thoát.\nXe mô tô lao ra khỏi hang động, trước mặt bỗng nhiên rộng mở, vùng đất Lahai-Roi bao la hiện ra trước mắt, cô gái mỉm cười tự giới thiệu: cô ấy tên là Lynae, bạn cũng xưng tên với cô ấy, hai người tiếp tục xuất phát đến Học viện Startorch.","Trong lúc Sâu Hư Không bám riết không buông, bạn và cô gái tóc vàng đột nhiên xuất hiện đã phối hợp với nhau, dùng đá rơi vỡ vụn để tạm thời cản đường Sâu Hư Không, nhân cơ hội trốn thoát.\nXe mô tô lao ra khỏi hang động, trước mặt bỗng nhiên rộng mở, vùng đất Lahai-Roi bao la hiện ra trước mắt, cô gái mỉm cười tự giới thiệu: cô ấy tên là Lynae, bạn cũng xưng tên với cô ấy, hai người tiếp tục xuất phát đến Học viện Startorch.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_1_901_4,Main_LahaiRoi_3_1_901_4,而且据说她是二十多年前失踪的学生！这件事已经要变成校园第八大不可思议了。,And you know what? She's the same student who went missing twenty years ago! People are already calling it Startorch's Eighth Great Mystery.,その子、20年以上前に行方不明になった学生なんだって！きっと、8番目の学園七不思議になるんじゃないかな？,Hơn nữa nghe nói cô ấy chính là học sinh đã mất tích hơn hai mươi năm trước! Chuyện này sắp trở thành Điều Kỳ Bí Thứ Tám của Học Viện rồi đấy.,Hơn nữa nghe nói cô ấy chính là học sinh đã mất tích hơn hai mươi năm trước! Chuyện này sắp trở thành Điều Kỳ Bí Thứ Tám của Học viện rồi đấy.,Hơn nữa nghe nói cô ấy chính là học sinh đã mất tích hơn hai mươi năm trước! Chuyện này sắp trở thành Điều Kỳ Bí Thứ Tám của Học viện rồi đấy.,QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_1_901_5,Main_LahaiRoi_3_1_901_5,难道你和她是一样的情况？嗯……那就是校园第九大不可思议了。,"Don't tell me you're another case? Well, if so, that'd make you the Ninth Great Mystery.",{PlayerName}{Male=君;Female=ちゃん}も同じような存在だったりする？うーん……もしそうなら、学園七不思議が9個になっちゃうね。,Chẳng lẽ tình huống của cậu cũng giống cô ấy? Ưm... vậy thì cậu sẽ trở thành Điều Kỳ Bí Thứ Chín của Học Viện rồi.,Chẳng lẽ tình huống của cậu cũng giống cô ấy? Ưm... vậy thì cậu sẽ trở thành Điều Kỳ Bí Thứ Chín của Học viện rồi.,Chẳng lẽ tình huống của cậu cũng giống cô ấy? Ưm... vậy thì cậu sẽ trở thành Điều Kỳ Bí Thứ Chín của Học viện rồi.,QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_1_901_6,Main_LahaiRoi_3_1_901_6,……啊，你看，学院要到了。,"Ah, look! We're almost there.",……あっ。見て、もう学園に着くよ。,"...À, cậu xem, sắp đến Học Viện rồi kìa.","...À, cậu xem, sắp đến Học viện rồi kìa.","...À, cậu xem, sắp đến Học viện rồi kìa.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_101_2,Main_LahaiRoi_3_2_101_2,{PlayerName}，深空联合已经接入你的载具，会为你提供一切帮助！,"{PlayerName}, the Spacetrek Collective has connected to your vehicle and will provide assistance!",{PlayerName}さん、コレクティブ側で、あなたの乗り物を繋ぎました。可能な限り協力します！,"{PlayerName}, Liên Minh Vũ Trụ đã kết nối vào Phương tiện của cậu, sẽ cung cấp cho cậu mọi sự trợ giúp!","{PlayerName}, Spacetrek Collective đã kết nối vào Phương tiện của cậu, sẽ cung cấp cho cậu mọi sự trợ giúp!","{PlayerName}, Spacetrek Collective đã kết nối vào Phương tiện của cậu, sẽ cung cấp cho cậu mọi sự trợ giúp!",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_101_3,Main_LahaiRoi_3_2_101_3,我们没法联系上莫宁教授，现在唯一能拜托的就是您！,We can't reach Professor Mornye. You're our only hope now!,こちらからではモーニエ教授と通信ができません……どうかお願いします！,"Chúng tôi Hiện Tại không thể liên lạc được với Giáo sư Mornye, người duy nhất có thể nhờ cậy bây giờ chính là cậu!","Chúng tôi hiện tại không thể liên lạc được với Giáo sư Mornye, người duy nhất có thể nhờ cậy bây giờ chính là cậu!","Chúng tôi hiện tại không thể liên lạc được với Giáo sư Mornye, người duy nhất có thể nhờ cậy bây giờ chính là cậu!",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_10_30,Main_LahaiRoi_3_2_10_30,那是虚质磁暴……怎么会，深空联合近期没有收到任何预警信息。,That's a Void Storm. How can this be? The Collective hasn't received any recent warnings.,あれは……ヴォイドストームがどうして……コレクティブには警報が来ていません。,"Đó là Bão Từ Hư Chất... sao lại thế, Liên Minh Vũ Trụ Thâm Không gần đây không hề nhận được bất kỳ thông tin cảnh báo nào.","Đó là Bão Từ Hư Chất... sao lại thế, Spacetrek Collective gần đây không hề nhận được bất kỳ thông tin cảnh báo nào.","Đó là Bão Từ Hư Chất... sao lại thế, Spacetrek Collective gần đây không hề nhận được bất kỳ thông tin cảnh báo nào.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
