dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	CommonVoice_Bulante_10_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		All done!
lang_multi_text.db	CommonVoice_Bulante_11_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Finished!
lang_multi_text.db	CommonVoice_Bulante_12_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Time to wrap it up!
lang_multi_text.db	CommonVoice_Bulante_13_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Not that way.
lang_multi_text.db	CommonVoice_Bulante_14_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Come back.
lang_multi_text.db	CommonVoice_Bulante_15_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Hey, where are you going?
lang_multi_text.db	CommonVoice_Bulante_16_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Shall we take a break?
lang_multi_text.db	CommonVoice_Bulante_17_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Time for an intermission?
lang_multi_text.db	CommonVoice_Bulante_18_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Sure, take your time. We do need to recharge during adventures.
lang_multi_text.db	CommonVoice_Bulante_19_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Uh-oh.
lang_multi_text.db	CommonVoice_Bulante_1_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Follow me!
lang_multi_text.db	CommonVoice_Bulante_20_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		It's show time!
lang_multi_text.db	CommonVoice_Bulante_21_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Time to take the stage.
lang_multi_text.db	CommonVoice_Bulante_22_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Marvelous!
lang_multi_text.db	CommonVoice_Bulante_23_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Bravo!
lang_multi_text.db	CommonVoice_Bulante_24_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Perfect!
lang_multi_text.db	CommonVoice_Bulante_25_1	3.4	Hội thoại/Cốt truyện	Dữ liệu âm thanh	NPC #1462		Hm?
