dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	FlowEditor_145000002_5910	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			[Delicious dishes required]
lang_multi_text.db	FlowEditor_145000002_5911	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			Pizza Classica, Pizza Tropicale, or Laurus Salad required
lang_multi_text.db	FlowEditor_145000002_5912	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			[Pizza Classica required]
lang_multi_text.db	FlowEditor_145000002_5913	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			Pizza Classica required
lang_multi_text.db	FlowEditor_145000002_5914	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			[Pizza Tropicale required]
lang_multi_text.db	FlowEditor_145000002_5915	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			Pizza Tropicale required
lang_multi_text.db	FlowEditor_145000002_5916	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			[Laurus Salad required]
lang_multi_text.db	FlowEditor_145000002_5917	3.4	Hội thoại/Cốt truyện	Luồng hội thoại			Laurus Salad required
lang_multi_text.db	Flow_102000000_12	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		In the midst of darkness, a new world is revealed.
lang_multi_text.db	Flow_102000000_14	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		Keep moving forward.
lang_multi_text.db	Flow_102000000_26	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		Study the patterns on the ground and find a way to open the gate.
lang_multi_text.db	Flow_102000000_27	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		Rotate the room through the mechanism and find the passage.
lang_multi_text.db	Flow_102000000_28	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		There seems to be no way forward. Shall we retreat or explore other possibilities?
lang_multi_text.db	Flow_102000000_30	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		A new room has been unlocked.
lang_multi_text.db	Flow_102000000_32	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		There seems to be no way forward. Let's turn back and explore.
lang_multi_text.db	Flow_102000000_33	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		There is such a large space hidden here...
lang_multi_text.db	Flow_102000000_34	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		Carefully observe the white marks on the wall. When all the white marks are lighted, the answer is right in front of you.
lang_multi_text.db	Flow_102000000_8	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Speaker_84_Name		There seems to be a passage above, but it is blocked. Shall we try again?
lang_multi_text.db	Flow_106000000_1000	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	I didn't expect it to be the same after so long, the mentor...
lang_multi_text.db	Flow_106000000_1001	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Let's go, we will definitely succeed!
lang_multi_text.db	Flow_106000000_1002	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	I hope this time, we can completely eliminate the Main Core that is troubling the forest.
lang_multi_text.db	Flow_106000000_1003	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	It's up there, Rover, let's go!
lang_multi_text.db	Flow_106000000_1004	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	I don't know what's waiting for us up there, Rover, be careful.
lang_multi_text.db	Flow_106000000_1005	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Huh, is it hard to see the direction of the instruments from below?
lang_multi_text.db	Flow_106000000_1008	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Then I'll activate the drone's shooting function to see... Okay, I've transmitted the image to your Terminal, now you can observe these instruments from the drone's perspective!
lang_multi_text.db	Flow_106000000_1009	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Hehe, I can transmit the image shot from the drone from a high place to you, so, if there's anything you can't see, just tell me!
lang_multi_text.db	Flow_106000000_1011	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Rover, let’s head back and update Senmin on what we found. We can also see how her experiment is going.
lang_multi_text.db	Flow_106000000_1012	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	The Main Core is at the top of it. Rover, we're counting on you.
lang_multi_text.db	Flow_106000000_1013	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	Yeah... Lush vegetation, fresh air—I guess this must be what my mentor always dreamed of witnessing.
lang_multi_text.db	Flow_106000000_1015	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Rover, if you come to the Violet Banyan later, maybe we'll meet again!
lang_multi_text.db	Flow_106000000_408	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Minh Kính	When the Forest is No Longer Dim	Ro-Rover! Could you please do me a favor?
lang_multi_text.db	Flow_106000000_409	3.4	Hội thoại/Cốt truyện	Luồng hội thoại		When the Forest is No Longer Dim	What happened?
lang_multi_text.db	Flow_106000000_410	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Minh Kính	When the Forest is No Longer Dim	We received a distress signal from the Dim Forest reconnaissance team, they seem to be in danger!
lang_multi_text.db	Flow_106000000_411	3.4	Hội thoại/Cốt truyện	Luồng hội thoại		When the Forest is No Longer Dim	I'll help.
lang_multi_text.db	Flow_106000000_412	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Minh Kính	When the Forest is No Longer Dim	You're a lifesaver! I'll send you the coordinates!
lang_multi_text.db	Flow_106000000_434	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Wow, that's so impressive! You took them down in just a few moves!
lang_multi_text.db	Flow_106000000_435	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Hey, you see, the Offshoot Core is right in front, I'll be counting on you this time too!
lang_multi_text.db	Flow_106000000_443	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Help!!
lang_multi_text.db	Flow_106000000_459	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	This Sabyr Boar is known for its aggressive nature and powerful attacks, but now...
lang_multi_text.db	Flow_106000000_467	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	Rover, Qiaomu, there you are.
lang_multi_text.db	Flow_106000000_469	3.4	Hội thoại/Cốt truyện	Luồng hội thoại		When the Forest is No Longer Dim	How's it going?
lang_multi_text.db	Flow_106000000_475	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Phew... Thank heavens we have Rover here.
lang_multi_text.db	Flow_106000000_491	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	We made it! Let's go inside quick!
lang_multi_text.db	Flow_106000000_518	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	Sure, I'll brief you on this. Once we start preparing the antibody, I'll need you to pass over the ingredients I need.
lang_multi_text.db	Flow_106000000_521	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	If you're ready, let's get started!
lang_multi_text.db	Flow_106000000_522	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	Let's get started.
lang_multi_text.db	Flow_106000000_523	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	That's fine. I can see you're tired from the hard work you've done. Let's take a break first.
lang_multi_text.db	Flow_106000000_528	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	First, I'll need the <color=Highlight>ingredient on top of that box</color>, thank you.
lang_multi_text.db	Flow_106000000_529	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	Next is the <color=Highlight>ingredient in the can</color> behind you. Please handle it with care.
lang_multi_text.db	Flow_106000000_530	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	Now we need a bit of the <color=Highlight>ingredient on top of that box</color>.
lang_multi_text.db	Flow_106000000_531	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	Now is the crucial moment, please pass me the <color=Highlight>bottle on the table</color>.
lang_multi_text.db	Flow_106000000_532	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	The last step, Rover. I need the <color=Highlight>ingredient in the can</color>, same as before.
lang_multi_text.db	Flow_106000000_533	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Great!
lang_multi_text.db	Flow_106000000_534	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Looks great!
lang_multi_text.db	Flow_106000000_535	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	That's right!
lang_multi_text.db	Flow_106000000_536	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	That's not quite right. The first ingredient I need is on top of that <color=Highlight>box</color>. Thanks, Rover.
lang_multi_text.db	Flow_106000000_540	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Help!! Please help us out. The key should be around here somewhere.
lang_multi_text.db	Flow_106000000_541	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Rover	When the Forest is No Longer Dim	This should be the key that Qiaomu mentioned.
lang_multi_text.db	Flow_106000000_543	3.4	Hội thoại/Cốt truyện	Luồng hội thoại		When the Forest is No Longer Dim	What are the coordinates?
lang_multi_text.db	Flow_106000000_544	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Minh Kính	When the Forest is No Longer Dim	The situation's complicated there. Be careful!
lang_multi_text.db	Flow_106000000_608	3.4	Hội thoại/Cốt truyện	Luồng hội thoại		When the Forest is No Longer Dim	Just call me Rover.
lang_multi_text.db	Flow_106000000_651	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Rover	When the Forest is No Longer Dim	It seems this is Senmin's notes, where did she go... Continue to use the Sensor to see.
lang_multi_text.db	Flow_106000000_933	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	While you were cleaning the Offshoot Core, I've been trying to adjust the antibody formula, now it's almost the last step...
lang_multi_text.db	Flow_106000000_934	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Sâm Mẫn	When the Forest is No Longer Dim	However, what I'm going to do is time-sensitive, so it would be helpful if both of you could lend me a hand.
lang_multi_text.db	Flow_106000000_935	3.4	Hội thoại/Cốt truyện	Luồng hội thoại	Xảo Mộc	When the Forest is No Longer Dim	Let me help you.
