dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_favor.db	1	3.4	Nhân vật	Nhân vật			10月11日			11 tháng 10
lang_favor.db	10	3.4	Nhân vật	Nhân vật			女	Call my name when you’re in need... From lands of desolation to places of vibrancy, from beginning to end of the world, I shall witness everything at your side as long as you wish.	必要な時に、私の名前を呼んでください……荒廃した大地から生気が溢れる場所まで、世界の始まりから終わりまで、貴方が望む限り、同行させてください。	Nữ
lang_favor.db	100	3.4	Nhân vật	Nhân vật			皇龙	Huanglong Academy	皇龍研究院	Hoàng Long
lang_favor.db	101	3.4	Nhân vật	Nhân vật			定居皇龙的新联邦黑石研究专家，能将怒火化为力量。\n深邃的红色眼眸中，似乎蕴藏着一股挥之不去的怒意。			Chuyên gia nghiên cứu Hắc Thạch Tân Liên Bang định cư tại Hoàng Long, có thể biến cơn thịnh nộ thành sức mạnh.\nTrong đôi mắt đỏ thẳm sâu thẳm, dường như ẩn chứa một niềm phẫn nộ khôn nguôi.
lang_favor.db	102	3.4	Nhân vật	Nhân vật			红龙怒息			Hơi Thở Rồng Đỏ
lang_favor.db	103	3.4	Nhân vật	Nhân vật			无家族共鸣史。基因序列存在明显结构变异，鉴定为自觉型共鸣者。\n体表附着龙鳞状红色结晶物质，其中鸣潮子浓度高，性状不稳定，会伴随异能力发动燃烧。\n异能力较不稳定，极大程度上受到情绪影响。对象使用特殊构造的打火机作为情绪开关，以减弱情绪的影响，使异能力尽量趋于稳定。			Không có tiền sử cộng hưởng trong gia tộc. Chuỗi gen tồn tại biến dị cấu trúc rõ rệt, được xác định là <ano=Resonator>Cộng Hưởng Giả</ano> dạng tự giác.\nBề mặt cơ thể bám đầy vật chất kết tinh màu đỏ hình vảy rồng, trong đó nồng độ hạt <ano=Wuthering Waves>Wuthering Waves</ano> cao, tính chất không ổn định, sẽ bùng cháy khi dị năng lực phát động.\nDị năng lực khá không ổn định, chịu ảnh hưởng cảm xúc ở mức độ rất lớn. Đối tượng sử dụng bật lửa có cấu tạo đặc biệt làm công tắc cảm xúc, để giảm bớt ảnh hưởng của cảm xúc, khiến dị năng lực cố gắng duy trì trạng thái ổn định.
lang_favor.db	104	3.4	Nhân vật	Nhân vật			临界值中等偏低。\n心理状态分析：有些暴躁易怒，但始终在临界值附近维持微妙平衡。听古典乐时，情绪会趋于稳定。\n生理状态分析：整体状况良好，需关注胸口的龙鳞状红色结晶有无扩散可能。\n整体诊断：存在一定超频风险，需进行定期检查。			<ano=Criticality>Ngưỡng Tới Hạn</ano> trung bình thiên về thấp.\nPhân tích trạng thái tâm lý: Có chút nóng nảy dễ giận dữ, nhưng luôn duy trì sự cân bằng vi diệu xung quanh ngưỡng tới hạn. Khi nghe nhạc cổ điển, cảm xúc sẽ trở nên ổn định.\nPhân tích trạng thái sinh lý: Tình trạng tổng thể tốt, cần chú ý đến khả năng lan rộng của vật chất kết tinh màu đỏ hình vảy rồng ở vùng ngực.\nChẩn đoán tổng thể: Tồn tại nguy cơ Vượt Tần ở mức độ nhất định, cần tiến hành kiểm tra định kỳ.
lang_favor.db	105	3.4	Nhân vật	Nhân vật			12月10日			Ngày 10 tháng 12
lang_favor.db	106	3.4	Nhân vật	Nhân vật			女			Nữ
lang_favor.db	107	3.4	Nhân vật	Nhân vật			未知	Huanglong	皇龍	<ano=Wei>Mùi</ano> tri
lang_favor.db	108	3.4	Nhân vật	Nhân vật			黑海岸	Black Shores	黒海岸	Hắc Hải Ngạn
lang_favor.db	109	3.4	Nhân vật	Nhân vật			椿花魔女			Ma Nữ Hoa Xuân
lang_favor.db	11	3.4	Nhân vật	Nhân vật			皇龙	Huanglong	皇龍	Hoàng Long
lang_favor.db	110	3.4	Nhân vật	Nhân vật			test/以自身生命力为养分，催生花种瞬时绽放。\n身体被花侵蚀，手臂魔化成为能够抓取他人的椿花和花藤。\n借助椿花的力量，吞噬敌人生命力，完成战斗。			test/Lấy sinh mệnh lực của bản thân làm dưỡng chất, kích thích hạt giống hoa nở rộ tức thời.\nCơ thể bị hoa xâm thực, cánh tay ma hóa thành Hoa Xuân và dây hoa có thể tóm bắt người khác.\nMượn sức mạnh của Hoa Xuân, nuốt chửng sinh mệnh lực của kẻ địch, hoàn thành trận chiến.
lang_favor.db	111	3.4	Nhân vật	Nhân vật			test/未知			test/Không Rõ
lang_favor.db	112	3.4	Nhân vật	Nhân vật			7月8日			Ngày 8 tháng 7
lang_favor.db	113	3.4	Nhân vật	Nhân vật			男			Nam
lang_favor.db	114	3.4	Nhân vật	Nhân vật			新联邦	Huanglong	皇龍	Tân Liên Bang
lang_favor.db	115	3.4	Nhân vật	Nhân vật			皇龙	Huanglong Academy	皇龍研究院	Hoàng Long
lang_favor.db	116	3.4	Nhân vật	Nhân vật			幻影猎兵			Lính Săn Ảo Ảnh
lang_favor.db	117	3.4	Nhân vật	Nhân vật			无家族共鸣史，基因序列检测出超量外源性植入片段，共鸣链整体结构完好，但表达功能轻度受损，基因组存在不稳定性风险。鉴定为后天型共鸣者。\n经检查，对象体内有类似幻象成分的生理结构，在使用异能力时会进入特殊激活态，该过程中对象情绪会出现显著的波动，伴随对鸣潮子的强干扰现象，长期影响有待进一步观察。\n对象可召唤三重幻影，据分析其源自对象亡弟的残响，不具备完整的意识，能响应其异能力的召唤并配合作战。\n注意，该报告为高度机密，仅限夜归内部授权人员查阅，未经允许不得向外部人士透露幻象化相关内容，以免引起不必要的恐慌。			Không có tiền sử cộng hưởng trong gia tộc, chuỗi gen phát hiện đoạn cấy ghép ngoại sinh vượt mức, cấu trúc tổng thể của <ano=Resonance Chain>Chuỗi Cộng Hưởng</ano> nguyên vẹn, nhưng chức năng biểu hiện bị tổn hại nhẹ, bộ gen tồn tại nguy cơ bất ổn định. Được xác định là <ano=Resonator>Cộng Hưởng Giả</ano> dạng hậu thiên.\nQua kiểm tra, trong cơ thể đối tượng tồn tại cấu trúc sinh lý tương tự thành phần <ano=Phantom>Ảo Ảnh</ano>, khi sử dụng dị năng lực sẽ tiến vào trạng thái kích hoạt đặc biệt, trong quá trình đó cảm xúc của đối tượng sẽ xuất hiện dao động rõ rệt, kèm theo hiện tượng nhiễu loạn mạnh đối với hạt <ano=Wuthering Waves>Wuthering Waves</ano>, ảnh hưởng lâu dài vẫn cần tiếp tục quan sát.\nĐối tượng có thể triệu hồi ba lớp ảo ảnh, qua phân tích cho thấy chúng bắt nguồn từ tàn hưởng của người em đã khuất, không có ý thức hoàn chỉnh, có thể đáp ứng lệnh triệu hồi của dị năng lực và phối hợp tác chiến.\nLưu ý, báo cáo này thuộc loại tuyệt mật, chỉ giới hạn cho nhân viên được ủy quyền nội bộ Dạ Quy tra cứu, không được tiết lộ nội dung liên quan đến quá trình ảo ảnh hóa cho người ngoài khi chưa được phép, để tránh gây ra hoảng loạn không cần thiết.
