nhom	tong_dong	trung_cn	anh_en	nhat_jp	viet_vi
Cốt truyện chính	34537	34535	34438	34389	34535
Cốt truyện phụ	33636	33636	31680	33425	33636
Nhiệm vụ màn chơi	23450	23405	20910	21317	23429
Tên người nói	15607	14203	6005	6491	15607
Nhiệm vụ	15110	15101	11657	12238	15058
UI	13661	13657	9536	9648	13661
Bản đồ/Thế giới	13345	13343	12974	13132	13344
Minigame/Thử thách	12622	12620	11993	12348	12607
Hướng dẫn	12620	12620	11945	12379	12620
Vật phẩm	10687	10685	10308	10298	10687
NPC	10100	10100	9195	10095	10100
Hội thoại nhân vật	9519	9519	9325	9431	9519
Sự kiện	9425	9425	9425	9425	9425
Hội thoại tương tác	9260	2702	2438	2592	9244
Hảo cảm nhân vật	9108	9106	9093	9096	9108
Kỹ năng	8887	8885	6880	6911	8887
Chế độ Rogue	7767	7766	7746	7766	7767
Sự kiện/Cửa hàng	7328	7328	7261	7294	7328
Thực thể (tự sinh)	7188	7186	5785	6086	7188
Hệ thống/Thuật ngữ	6043	6041	5991	6013	6041
Luồng hội thoại	5815	5815	4353	4353	5663
Thêm từ game	5113	5113	1457	1464	0
Hệ thống	4366	4366	2110	2147	4331
Phụ bản	2926	2926	1444	1462	2722
Phụ đề	2639	2639	1286	1287	2639
Thành tựu	2620	2620	2604	2604	2620
Hội thoại/Khác	2002	1996	1921	1972	2001
Nhiệm vụ ngày/khu vực	1811	1811	1805	1805	1811
Vũ khí	1449	1449	1410	1385	1449
Nhân vật	1403	1402	914	918	1207
Quái/Sổ tay	1244	1244	1235	1235	1244
Chức năng khác	1196	1196	1149	1150	1196
Hệ thống/Thế giới	1087	1087	946	997	1087
Dữ liệu âm thanh	1026	1026	1000	1005	1026
Mẹo/Màn chờ	695	694	673	673	695
Nhân vật/Thuộc tính	632	632	542	629	632
Quái	419	419	399	399	417
Chỉ nam nguyên liệu	368	368	337	340	368
Lời hát/CG	346	346	130	258	258
Bồi dưỡng nhân vật	98	98	98	98	98
Phụ đề CG	95	95	45	45	95
Màn hình chờ	40	40	6	6	40
Thư	3	3	1	1	3
TONG	307293	299248	260450	266607	301393
