dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_adventuretask.db	1	3.4	Nhiệm vụ ngày/khu vực	Nhiệm vụ ngày/khu vực			第一阶段			Giai Đoạn Một
lang_adventuretask.db	2	3.4	Nhiệm vụ ngày/khu vực	Nhiệm vụ ngày/khu vực			第二阶段			Giai Đoạn Hai
lang_adventuretask.db	3	3.4	Nhiệm vụ ngày/khu vực	Nhiệm vụ ngày/khu vực			第三阶段			Giai Đoạn Ba
lang_adventuretask.db	4	3.4	Nhiệm vụ ngày/khu vực	Nhiệm vụ ngày/khu vực			第四阶段			Giai Đoạn Bốn
lang_adventuretask.db	5	3.4	Nhiệm vụ ngày/khu vực	Nhiệm vụ ngày/khu vực			第五阶段			Giai Đoạn Năm
lang_areaquest.db	1	3.4	Nhiệm vụ ngày/khu vực	Nhiệm vụ ngày/khu vực			七舍中枢区			Khu Trung Tâm Thất Xá
lang_multi_text.db	AdventureTaskChapter_1_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			第一阶段	First Stage	第一段階	Giai Đoạn Một
lang_multi_text.db	AdventureTaskChapter_2_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			第二阶段	Second Stage	第二段階	Giai Đoạn Hai
lang_multi_text.db	AdventureTaskChapter_3_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			第三阶段	Third Stage	第三段階	Giai Đoạn Ba
lang_multi_text.db	AdventureTaskChapter_4_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			第四阶段	Fourth Stage	第四段階	Giai Đoạn Bốn
lang_multi_text.db	AdventureTaskChapter_5_Name	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			第五阶段	Fifth Stage	第五段階	Giai Đoạn Năm
lang_multi_text.db	AdventureTask_10020001_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			将任意1个角色提升至20级	Level up 1 Resonator to Lv. 20	任意キャラのレベルを20まで上げる	Nâng 1 nhân vật bất kỳ lên cấp 20
lang_multi_text.db	AdventureTask_10020002_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			任意角色装备1件3星及以上品质的武器	Equip 1 3-Star or above Weapon	任意キャラに星3以上の武器を装備	Nhân vật bất kỳ trang bị 1 vũ khí phẩm chất từ 3 sao trở lên
lang_multi_text.db	AdventureTask_10020003_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			将任意1件武器提升至20级	Upgrade 1 Weapon to Lv.20	任意武器のレベルを20まで上げる	Nâng 1 vũ khí bất kỳ lên cấp 20
lang_multi_text.db	AdventureTask_10020004_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			激活中曲台地的中枢信标	Activate Resonance Nexus in the Central Plains	中部台地の中枢信号塔を解放	Kích hoạt Tín Hiệu Trung Tâm của Đài Địa Trung Khúc
lang_multi_text.db	AdventureTask_10020005_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			完成潮汐任务「撞金止行阵」	Complete Main Quest: Echoing Marche	潮汐任務「止め鐘を撞く行陣」をクリア	Hoàn thành Nhiệm Vụ Minh Triều "Chạm Chuông Ngừng Hành Trận"
lang_multi_text.db	AdventureTask_10020006_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			开启10个奇藏	Open 10 Supply Chests	秘蔵を10個開ける	Mở 10 Kỳ Tàng
lang_multi_text.db	AdventureTask_10020007_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			将任意1个角色提升至30级	Level up 1 Resonator to Lv. 30	任意キャラのレベルを30まで上げる	Nâng 1 nhân vật bất kỳ lên cấp 30
lang_multi_text.db	AdventureTask_10020008_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			将任意1件武器提升至30级	Upgrade 1 Weapon to Lv.30	任意武器のレベルを30まで上げる	Nâng 1 vũ khí bất kỳ lên cấp 30
lang_multi_text.db	AdventureTask_10020009_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			激活归墟港市的中枢信标	Activate Resonance Nexus in the Port City of Guixu	帰来の港の中枢信号塔を解放	Kích hoạt Tín Hiệu Trung Tâm của Cảng Thành Guixu
lang_multi_text.db	AdventureTask_10020010_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			完成潮汐任务「奔策候残星」	Complete Main Quest: Ominous Star	潮汐任務「策を奔らせて残星を候ふ」をクリア	Hoàn thành Nhiệm Vụ Minh Triều "Chạy Đua Chờ Sao Tàn"
lang_multi_text.db	AdventureTask_10020011_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			完成1次「基础训练」	Complete Basic Training 1 time	「基本チュートリアル」を1回クリア	Hoàn thành 1 lần "Huấn Luyện Cơ Bản"
lang_multi_text.db	AdventureTask_10020012_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			激活6个小型信标	Activate 6 Resonance Beacons	小型信号塔6つに解放	Kích hoạt 6 Tín Hiệu Nhỏ
lang_multi_text.db	AdventureTask_10020013_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			吸收10枚2星及以上品质的声骸	Absorb 10 Echoes of 2-Star or above rarity	星2以上の音骸を10体吸収	Hấp thụ 10 Echo phẩm chất từ 2 sao trở lên
lang_multi_text.db	AdventureTask_10020014_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			任意1个角色激活任意声骸套装的合鸣效果	Activate any Sonata Effect on 1 Resonator	任意キャラが任意音骸セット効果を有効化	1 nhân vật bất kỳ kích hoạt hiệu quả hợp minh của bộ Echo bất kỳ
lang_multi_text.db	AdventureTask_10020015_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			将任意3个角色提升至30级	Level up 3 Resonators to Lv. 30	任意キャラ3人のレベルを30まで上げる	Nâng 3 nhân vật bất kỳ lên cấp 30
lang_multi_text.db	AdventureTask_10020016_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			在“纪念品”商店购买1次道具	Purchase 1 item from the Souvenir Store	「記念品」ショップでアイテムを1回購入する	Mua đạo cụ 1 lần ở Cửa Hàng Đồ Lưu Niệm
lang_multi_text.db	AdventureTask_10020017_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			将任意1枚声骸提升至10级	Level up 1 Echo to Lv. 10	任意音骸のレベルを10まで上げる	Nâng 1 Echo bất kỳ lên cấp 10
lang_multi_text.db	AdventureTask_10020018_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			激活虎口山脉的中枢信标	Activate Resonance Nexus in the Tiger's Maw	虎口の山脈の中枢信号塔を解放	Kích hoạt Tín Hiệu Trung Tâm của Rặng Núi Hổ Khẩu
lang_multi_text.db	AdventureTask_10020019_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			完成潮汐任务「庭际刀刃鸣」	Complete Main Quest: Clashing Blades	潮汐任務「激突する辺庭」をクリア	Hoàn thành Nhiệm Vụ Minh Triều "Kiếm Giao Tranh Chốn Biên Đình"
lang_multi_text.db	AdventureTask_10020020_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			烹饪2个任意菜肴	Cook 2 Dishes	任意料理を2回作る	Nấu 2 món ăn bất kỳ
lang_multi_text.db	AdventureTask_10020021_TaskText	3.4	Hội thoại/Cốt truyện	Nhiệm vụ ngày/khu vực			完成2次「角色教学」	Complete Resonator Skill Tutorial 2 times	「共鳴者チュートリアル」を2回クリア	Hoàn thành 2 lần "Hướng Dẫn Nhân Vật"
