dbfile	key	version	category	folder	speaker	mission	anh_en
lang_cycle_tower.db	1	3.4	Minigame/Thử thách	Minigame/Thử thách			Top Drive Track
lang_cycle_tower.db	10	3.4	Minigame/Thử thách	Minigame/Thử thách			Top Drive Track
lang_cycle_tower.db	11	3.4	Minigame/Thử thách	Minigame/Thử thách			Pilot Unit
lang_cycle_tower.db	12	3.4	Minigame/Thử thách	Minigame/Thử thách			Power Module
lang_cycle_tower.db	13	3.4	Minigame/Thử thách	Minigame/Thử thách			Top Drive Track
lang_cycle_tower.db	14	3.4	Minigame/Thử thách	Minigame/Thử thách			Pilot Unit
lang_cycle_tower.db	15	3.4	Minigame/Thử thách	Minigame/Thử thách			Power Module
lang_cycle_tower.db	16	3.4	Minigame/Thử thách	Minigame/Thử thách			Top Drive Track
lang_cycle_tower.db	17	3.4	Minigame/Thử thách	Minigame/Thử thách			Pilot Unit
lang_cycle_tower.db	18	3.4	Minigame/Thử thách	Minigame/Thử thách			Power Module
lang_cycle_tower.db	19	3.4	Minigame/Thử thách	Minigame/Thử thách			Top Drive Track
lang_cycle_tower.db	2	3.4	Minigame/Thử thách	Minigame/Thử thách			Pilot Unit
lang_cycle_tower.db	20	3.4	Minigame/Thử thách	Minigame/Thử thách			Pilot Unit
lang_cycle_tower.db	21	3.4	Minigame/Thử thách	Minigame/Thử thách			Power Module
lang_cycle_tower.db	22	3.4	Minigame/Thử thách	Minigame/Thử thách			Top Drive Track
lang_cycle_tower.db	23	3.4	Minigame/Thử thách	Minigame/Thử thách			Pilot Unit
lang_cycle_tower.db	24	3.4	Minigame/Thử thách	Minigame/Thử thách			Power Module
lang_cycle_tower.db	3	3.4	Minigame/Thử thách	Minigame/Thử thách			Power Module
lang_cycle_tower.db	4	3.4	Minigame/Thử thách	Minigame/Thử thách			Top Drive Track
lang_cycle_tower.db	5	3.4	Minigame/Thử thách	Minigame/Thử thách			Pilot Unit
lang_cycle_tower.db	6	3.4	Minigame/Thử thách	Minigame/Thử thách			Power Module
lang_cycle_tower.db	7	3.4	Minigame/Thử thách	Minigame/Thử thách			Top Drive Track
lang_cycle_tower.db	8	3.4	Minigame/Thử thách	Minigame/Thử thách			Pilot Unit
lang_cycle_tower.db	9	3.4	Minigame/Thử thách	Minigame/Thử thách			Power Module
lang_multi_text.db	AbyssRewardTypeName_1	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Warrior's Deeds
lang_multi_text.db	AbyssRewardTypeName_2	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Warrior's Challenges
lang_multi_text.db	AbyssRewardTypeTitle_1001	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlock 4 Resonator Cubes
lang_multi_text.db	AbyssRewardTypeTitle_1002	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlock 6 Resonator Cubes
lang_multi_text.db	AbyssRewardTypeTitle_1003	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlock 9 Resonator Cubes
lang_multi_text.db	AbyssRewardTypeTitle_1004	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlock 12 Resonator Cubes
lang_multi_text.db	AbyssRewardTypeTitle_1005	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Upgrade 3 Cubes to Lv. 5
lang_multi_text.db	AbyssRewardTypeTitle_1006	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Upgrade 6 Cubes to Lv. 8
lang_multi_text.db	AbyssRewardTypeTitle_1007	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Upgrade 9 Cubes to Lv. 10
lang_multi_text.db	AbyssRewardTypeTitle_1008	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Upgrade 12 Cubes to Lv. 10
lang_multi_text.db	AbyssRewardTypeTitle_1009	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Collect 10,000 1st Anniversary Coins in total
lang_multi_text.db	AbyssRewardTypeTitle_1010	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Collect 20,000 1st Anniversary Coins in total
lang_multi_text.db	AbyssRewardTypeTitle_1011	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Collect 25,000 1st Anniversary Coins in total
lang_multi_text.db	AbyssRewardTypeTitle_1012	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Collect 30,000 1st Anniversary Coins in total
lang_multi_text.db	AbyssRewardTypeTitle_1013	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Clear Abbowser Castle Level 5
lang_multi_text.db	AbyssRewardTypeTitle_1014	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Clear Abbowser Castle Level 10
lang_multi_text.db	AbyssRewardTypeTitle_1015	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Clear Abbowser Castle Level 12
lang_multi_text.db	AbyssRewardTypeTitle_1016	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Clear Abbowser Castle Level 15
lang_multi_text.db	AbyssRewardTypeTitle_1017	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlock 2 Awakening Modules in total
lang_multi_text.db	AbyssRewardTypeTitle_1018	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlock 5 Awakening Modules in total
lang_multi_text.db	AbyssRewardTypeTitle_1019	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlock 8 Awakening Modules in total
lang_multi_text.db	AbyssRewardTypeTitle_1020	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlock 12 Awakening Modules in total
lang_multi_text.db	AbyssRewardTypeTitle_1021	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Clear Abbowser Castle Level 18
lang_multi_text.db	AbyssRewardTypeTitle_1022	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Clear Abbowser Castle Level 20
lang_multi_text.db	AbyssRewardTypeTitle_1023	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Progress to 20% in Abbowser Castle Level 21
lang_multi_text.db	AbyssRewardTypeTitle_1024	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Progress to 40% in Abbowser Castle Level 21
lang_multi_text.db	AbyssRewardTypeTitle_1025	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Progress to 60% in Abbowser Castle Level 21
lang_multi_text.db	AbyssRewardTypeTitle_1026	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Progress to 80% in Abbowser Castle Level 21
lang_multi_text.db	AbyssRewardTypeTitle_1028	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Complete all limited-time challenge goals
lang_multi_text.db	AdamChallengeBlockTip	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlocked after completing Episodic Quest "At Dream's Edge"
lang_multi_text.db	AdamChallenge_BestScore	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Best Record
lang_multi_text.db	AdamChallenge_Desc_1	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			No Special Mechanism
lang_multi_text.db	AdamChallenge_Desc_2	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			No Special Mechanism
lang_multi_text.db	AdamChallenge_Desc_3	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Lucy gains the following enhancements:\n- Lucy gains one stack of <color=Highlight>Optical Illusion</color> after casting Intro Skill.\n- Lucy deals {0} more Total Hack DMG.
lang_multi_text.db	AdamChallenge_Desc_4	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Rebecca gains the following enhancements:\n- Upon each successful dodge, Rebecca gains 1 stack of <color=Highlight>Zeroed or Heroed</color> and recovers STA. Each stack of <color=Highlight>Zeroed or Heroed</color> reduces her DMG taken by {0} for {2}s. Max {1} stacks.\n- Rebecca deals {3} more Total Resonance Liberation DMG.
lang_multi_text.db	AdamChallenge_Desc_5	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Nightmare: Adam Smasher gains the following enhancements:\n- When Nightmare: Adam Smasher's HP drops to {0}, he enters the <color=Highlight>Sandevistan</color> state for {1}s, during which he automatically dodges all attacks except those from Rebecca.\n- When Nightmare: Adam Smasher's HP drops to {2}, he enters the <color=Highlight>Digital Nightmare</color> state, becoming immune to damage while gradually recovering HP to {3}. Lucy's Resonance Liberation causes Nightmare: Adam Smasher to exit this state and instantly die.
lang_multi_text.db	AdamChallenge_Desc_6	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Nightmare: Adam Smasher gains the following enhancements:\n- When Nightmare: Adam Smasher's HP drops to {0}, he enters the <color=Highlight>Sandevistan</color> state for {1}s, during which he automatically dodges all attacks except those from Rebecca.\n- When Nightmare: Adam Smasher's HP drops to {2}, he enters the <color=Highlight>Digital Nightmare</color> state, becoming immune to damage while gradually recovering HP to {3}. Lucy's Resonance Liberation causes Nightmare: Adam Smasher to exit this state and instantly die.\n- Nightmare: Adam Smasher enters the battle with a shield equal to {4} of his HP. While shielded, his ATK is increased by {5}. When his HP drops to {6}, he'll gain a shield equal to {7} of his HP and cast <color=Highlight>Nightmare Blackfield</color>.\n- If Lucy casts Resonance Liberation or other Resonators in the team deal Hack DMG while Nightmare: Adam Smasher is shielded, Nightmare: Adam Smasher takes {8} more Total DMG for {9}s.\n- If Nightmare: Adam Smasher is not shielded, Rebecca deals {10} more Total DMG.\n\nLucy gains the following enhancements:\n- Lucy gains one stack of <color=Highlight>Optical Illusion</color> after casting Intro Skill.\n- Lucy deals {11} more Total Hack DMG.\n\nRebecca gains the following enhancements:\n- Upon each successful dodge, Rebecca gains 1 stack of <color=Highlight>Zeroed or Heroed</color> and recovers STA. Each stack of <color=Highlight>Zeroed or Heroed</color> reduces her DMG taken by {12} for {14}s. Max {13} stacks.\n- Rebecca deals {15} more Total Resonance Liberation DMG.
lang_multi_text.db	AdamChallenge_Environment	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Special Mechanisms
lang_multi_text.db	AdamChallenge_Level	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Level {0}
lang_multi_text.db	AdamChallenge_Lock	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Unlock after clearing the preceding difficulty
lang_multi_text.db	AdamChallenge_Name	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Nightmare: Adam Smasher
lang_multi_text.db	AdamChallenge_OwnRole	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			My Resonators
lang_multi_text.db	AdamChallenge_Title_1	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Difficulty 1
lang_multi_text.db	AdamChallenge_Title_2	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Difficulty 2
lang_multi_text.db	AdamChallenge_Title_3	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Difficulty 3
lang_multi_text.db	AdamChallenge_Title_4	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Difficulty 4
lang_multi_text.db	AdamChallenge_Title_5	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Difficulty 5
lang_multi_text.db	AdamChallenge_Title_6	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Nightmare Difficulty
lang_multi_text.db	AdamChallenge_TrialRole	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Trial Resonators
lang_multi_text.db	BabelBuffDisableTips	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Cannot be equipped.
lang_multi_text.db	BabelBuffSelectTips	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Select a Support Module
lang_multi_text.db	BabelDebuff_10000011_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Resonators <color=#b72924ff>have their Incoming Healing Bonus reduced by 20%</color>.
lang_multi_text.db	BabelDebuff_10000011_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Healing Prevention I
lang_multi_text.db	BabelDebuff_10000012_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Resonators <color=#b72924ff>have their Incoming Healing Bonus reduced by 40%</color>.
lang_multi_text.db	BabelDebuff_10000012_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Healing Prevention I
lang_multi_text.db	BabelDebuff_10000021_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Some enemies will <color=#b72924ff>summon reinforcements</color> when their HP drops below <color=#b72924ff>50%</color>.
lang_multi_text.db	BabelDebuff_10000021_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Teeming Evil
lang_multi_text.db	BabelDebuff_10000031_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			<color=#b72924ff>Only</color> Resonators using <color=#b72924ff>Broadblade, Sword, and Gauntlets</color> can be deployed.
lang_multi_text.db	BabelDebuff_10000031_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Close Quarters Only
lang_multi_text.db	BabelDebuff_10000041_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			<color=#b72924ff>Only</color> Resonators using <color=#b72924ff>Pistols and Rectifier</color> can be deployed.
lang_multi_text.db	BabelDebuff_10000041_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Ranged Only
lang_multi_text.db	BabelDebuff_10000051_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Enemy <color=#b72924ff>ATK is increased by 15%</color>.
lang_multi_text.db	BabelDebuff_10000051_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Amplification I
lang_multi_text.db	BabelDebuff_10000052_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Enemy <color=#b72924ff>ATK is increased by 30%</color>.
lang_multi_text.db	BabelDebuff_10000052_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Amplification II
lang_multi_text.db	BabelDebuff_10000061_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Enemy <color=#b72924ff>max HP is increased by 30%</color>.
lang_multi_text.db	BabelDebuff_10000061_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Obstinance I
lang_multi_text.db	BabelDebuff_10000062_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Enemy <color=#b72924ff>max HP is increased by 50%</color>.
lang_multi_text.db	BabelDebuff_10000062_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Obstinance II
lang_multi_text.db	BabelDebuff_10000071_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Resonators' <color=#b72924ff>max STA is reduced by 20%</color>.
lang_multi_text.db	BabelDebuff_10000071_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Feeble I
lang_multi_text.db	BabelDebuff_10000072_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Resonators' <color=#b72924ff>max STA is reduced by 60%</color>.
lang_multi_text.db	BabelDebuff_10000072_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Feeble II
lang_multi_text.db	BabelDebuff_10000081_BuffDesc	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			<color=#b72924ff>Symphony Rank efficiency is reduced by 25%</color>.
lang_multi_text.db	BabelDebuff_10000081_BuffName	3.4	Hội thoại/Cốt truyện	Minigame/Thử thách			Delayed Effect I
