dbfile	key	version	category	folder	speaker	mission	anh_en
lang_UiHotKot.db	1	3.4	UI	UI			Confirm
lang_UiHotKot.db	2	3.4	UI	UI			Back
lang_UiHotKot.db	3	3.4	UI	UI			Close
lang_confirmbox.db	175	3.4	UI	UI			Confirm
lang_function.db	1	3.4	UI	UI			Resonators
lang_function.db	10	3.4	UI	UI			Joint Exchange
lang_function.db	11	3.4	UI	UI			Friends
lang_function.db	12	3.4	UI	UI			Exploration tools installed in Resonance Terminal. They're flexible for dealing with various situation.
lang_function.db	13	3.4	UI	UI			Achievements
lang_function.db	14	3.4	UI	UI			Gallery
lang_function.db	15	3.4	UI	UI			Map
lang_function.db	16	3.4	UI	UI			Large-scale underground experiment center built before the Lament. The well below it attain the depth reaching the mohoroviic discontinuity. Secrets and unknown knowledge await you there.
lang_function.db	17	3.4	UI	UI			Resonance Record
lang_function.db	18	3.4	UI	UI			Exploration Tools
lang_function.db	19	3.4	UI	UI			Feedback
lang_function.db	2	3.4	UI	UI			Backpack
lang_function.db	20	3.4	UI	UI			Forces
lang_function.db	21	3.4	UI	UI			Star Align
lang_function.db	22	3.4	UI	UI			Database
lang_function.db	23	3.4	UI	UI			Gallery
lang_function.db	3	3.4	UI	UI			Resonance Terminal
lang_function.db	4	3.4	UI	UI			Missions
lang_function.db	5	3.4	UI	UI			Co-op
lang_function.db	6	3.4	UI	UI			Co-op mode will allow you meet with other Rovers. Kindness may lead you to precious friendship.
lang_function.db	7	3.4	UI	UI			Team
lang_function.db	8	3.4	UI	UI			Resonance Terminal was installed with module of Tacet Discords, Mutant Organism and Tacet Fields. Using them will allow you to locate them quickly in the wilds.
lang_function.db	9	3.4	UI	UI			Modulation
lang_menu.db	1	3.4	UI	UI			Sound
lang_menu.db	2	3.4	UI	UI			Graphic
lang_multi_text.db	BackgroundCard_80060000_AttributesDescription	3.4	Hội thoại/Cốt truyện	UI			Looking back at the path taken, this is where it all began.
lang_multi_text.db	BackgroundCard_80060000_Tips	3.4	Hội thoại/Cốt truyện	UI			Default
lang_multi_text.db	BackgroundCard_80060000_Title	3.4	Hội thoại/Cốt truyện	UI			Sigil of the Wanderer
lang_multi_text.db	BackgroundCard_80060000_TypeDescription	3.4	Hội thoại/Cốt truyện	UI			Sigil
lang_multi_text.db	BackgroundCard_80060001_AttributesDescription	3.4	Hội thoại/Cốt truyện	UI			The impossible wish responded to her in another form.
lang_multi_text.db	BackgroundCard_80060001_Tips	3.4	Hội thoại/Cốt truyện	UI			TBA
lang_multi_text.db	BackgroundCard_80060001_Title	3.4	Hội thoại/Cốt truyện	UI			You'tan
lang_multi_text.db	BackgroundCard_80060002_AttributesDescription	3.4	Hội thoại/Cốt truyện	UI			Even through sunglasses, every detail is in his sight.
lang_multi_text.db	BackgroundCard_80060002_Title	3.4	Hội thoại/Cốt truyện	UI			Perceptive Eyes
lang_multi_text.db	BackgroundCard_80060003_AttributesDescription	3.4	Hội thoại/Cốt truyện	UI			A symbol of triumph and hope, never to falter or fall.
lang_multi_text.db	BackgroundCard_80060003_Title	3.4	Hội thoại/Cốt truyện	UI			Qingloong
lang_multi_text.db	BackgroundCard_80060004_AttributesDescription	3.4	Hội thoại/Cốt truyện	UI			Purify the mystical mirror to align with heaven's will.
lang_multi_text.db	BackgroundCard_80060004_Title	3.4	Hội thoại/Cốt truyện	UI			Mirrors of Clarity
lang_multi_text.db	BackgroundCard_80060005_AttributesDescription	3.4	Hội thoại/Cốt truyện	UI			New discoveries every day!
lang_multi_text.db	BackgroundCard_80060005_Title	3.4	Hội thoại/Cốt truyện	UI			Exploration
lang_multi_text.db	BackgroundCard_80060006_AttributesDescription	3.4	Hội thoại/Cốt truyện	UI			This flame will never die, as the hero's journey never truly ends.
