dbfile	key	version	category	folder	speaker	mission	anh_en
lang_advice.db	10	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Grapple Point
lang_advice.db	11	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Concerto Effect
lang_advice.db	14	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Counter-Attack
lang_advice.db	18	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Material
lang_advice.db	2	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Resonance Liberation
lang_advice.db	21	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Gravity Stream
lang_advice.db	23	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Choral Beacon
lang_advice.db	3	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Resonance energy
lang_advice.db	9	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Scanner
lang_generic_tips.db	1	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Defeat all enemies within {0} secs.
lang_generic_tips.db	10	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Countdown
lang_generic_tips.db	12	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Common words
lang_generic_tips.db	2	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Complete Time {0}
lang_generic_tips.db	3	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Exit in {0} secs
lang_generic_tips.db	4	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Challenge Complete
lang_generic_tips.db	5	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Challenge Failed
lang_generic_tips.db	6	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Challenge Complete
lang_generic_tips.db	7	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Extra Mission
lang_generic_tips.db	8	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Commision Start
lang_generic_tips.db	9	3.4	Mẹo/Màn chờ	Mẹo/Màn chờ			Mission Complete
lang_multi_text.db	AdviceCannotOpenOnBattle	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			You cannot place Memos mid-battle
lang_multi_text.db	AdviceConjunction_1_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			WHICH MEANS
lang_multi_text.db	AdviceConjunction_2_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			THEN
lang_multi_text.db	AdviceConjunction_3_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			BUT
lang_multi_text.db	AdviceConjunction_4_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			SO
lang_multi_text.db	AdviceConjunction_5_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			BESIDES
lang_multi_text.db	AdviceConjunction_6_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			OR
lang_multi_text.db	AdviceConjunction_7_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			PLUS
lang_multi_text.db	AdviceConjunction_8_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			AND
lang_multi_text.db	AdviceConjunction_9_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			NEXT
lang_multi_text.db	AdviceParams_-1_Content	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			Action Content 1
lang_multi_text.db	AdviceParams_-1_Title	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			Action Title 1
lang_multi_text.db	AdviceParams_-2_Title	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			Memo from "{PlayerName}"
lang_multi_text.db	AdviceSentence_10_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{}!
lang_multi_text.db	AdviceSentence_11_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			WATCH OUT FOR {}!
lang_multi_text.db	AdviceSentence_12_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			DON'T {}!
lang_multi_text.db	AdviceSentence_13_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			NO {}!
lang_multi_text.db	AdviceSentence_14_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			THERE'S {}!
lang_multi_text.db	AdviceSentence_15_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{} INSTEAD.
lang_multi_text.db	AdviceSentence_16_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{} MIGHT BE A WORTHY OPPONENT.
lang_multi_text.db	AdviceSentence_17_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			ATTENTION! {}!
lang_multi_text.db	AdviceSentence_18_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			BETTER CONSIDER {}.
lang_multi_text.db	AdviceSentence_19_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			IS IT {}?
lang_multi_text.db	AdviceSentence_1_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{} AHEAD
lang_multi_text.db	AdviceSentence_20_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{} CAN BE A GREAT HELP!
lang_multi_text.db	AdviceSentence_21_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			THEN {}.
lang_multi_text.db	AdviceSentence_22_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			NOT YET {}.
lang_multi_text.db	AdviceSentence_23_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			CAN'T DO {}...
lang_multi_text.db	AdviceSentence_24_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			PLEASE LOOK FORWARD TO {}!
lang_multi_text.db	AdviceSentence_25_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{} IS THE BEST!
lang_multi_text.db	AdviceSentence_26_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			THERE IS STILL {}.
lang_multi_text.db	AdviceSentence_27_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			DID YOU THINK IT'D BE {}?
lang_multi_text.db	AdviceSentence_28_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			CHEER FOR {}!
lang_multi_text.db	AdviceSentence_29_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{}! DEFEAT IT!
lang_multi_text.db	AdviceSentence_2_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			NO {} AHEAD
lang_multi_text.db	AdviceSentence_30_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			GO {}.
lang_multi_text.db	AdviceSentence_3_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			LIKELY {}
lang_multi_text.db	AdviceSentence_4_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			DEFINITELY NOT {}
lang_multi_text.db	AdviceSentence_5_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			ANTICIPATING {}
lang_multi_text.db	AdviceSentence_6_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{}?
lang_multi_text.db	AdviceSentence_7_Text	3.4	Hội thoại/Cốt truyện	Mẹo/Màn chờ			{}!
