dbfile	key	version	category	folder	speaker	mission	anh_en
lang_multi_text.db	RogueBaiMao _001_Text	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			Here Comes the White Cat!
lang_multi_text.db	RogueBaiMao _002_Text	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			Sealed Strengths Restored!
lang_multi_text.db	RogueBattleFetterUpItem_ExpMaxLevel	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			At max level now
lang_multi_text.db	RogueBattle_BuyItemNotEnough	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			Insufficient Dream Fragments. Unable to recruit.
lang_multi_text.db	RogueBattle_BuyRole_RefreshCost	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			Refresh ({0}/{1})
lang_multi_text.db	RogueBattle_FetterInfo_Exp	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			<color=#fb8d0a>{0}</color>/{1}
lang_multi_text.db	RogueBattle_FetterInfo_Exp_AddLevel	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			<color=#fb8d0a>+{0}</color>
lang_multi_text.db	RogueBattle_RefreshCountMax	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			No resets left
lang_multi_text.db	RogueBattle_RefreshItemNotEnough	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			Insufficient Dream Fragments. Unable to refresh.
lang_multi_text.db	RogueBattle_TeamEdit_LinkLock	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			No Activated Bond
lang_multi_text.db	RogueBattle_TeamEdit_LinkUnlock	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			<color=Highlight>Activated Synergy Burst: {0}</color>
lang_multi_text.db	RogueBattle_TeamEmpty_QuickSelect	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			Deploy 1 Resonator at least
lang_multi_text.db	RogueBlackFlowerRewardNoCount	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			Reward Attempts are insufficient. Please wait for a reset before trying again.
lang_multi_text.db	RogueBlackFlowerRewardTip	3.4	Hội thoại/Cốt truyện	Chế độ Rogue			Remaining Reward Attempts: {0}/{1}
