dbfile	key	version	category	folder	speaker	mission	trung_cn	anh_en	nhat_jp	viet_vi
lang_achievement.db	1	3.4	Thành tựu	Thành tựu			test/成就组1			test/Nhóm thành tựu 1
lang_achievement.db	10	3.4	Thành tựu	Thành tựu			test/区域探索·皇龙02			test/Thăm dò khu vực · Hoàng Long 02
lang_achievement.db	11	3.4	Thành tựu	Thành tựu			"战斗的记忆"			"Ký Ức Chiến Đấu"
lang_achievement.db	12	3.4	Thành tựu	Thành tựu			"战斗的技巧·一"			"Kỹ Xảo Chiến Đấu · Một"
lang_achievement.db	13	3.4	Thành tựu	Thành tựu			"战斗的技巧·二"			"Kỹ Xảo Chiến Đấu · Hai"
lang_achievement.db	14	3.4	Thành tựu	Thành tựu			"意外体验"			"Trải Nghiệm Bất Ngờ"
lang_achievement.db	2	3.4	Thành tựu	Thành tựu			test/成就组2			test/Nhóm thành tựu 2
lang_achievement.db	3	3.4	Thành tựu	Thành tựu			test/成就组3			test/Nhóm thành tựu 3
lang_achievement.db	4	3.4	Thành tựu	Thành tựu			test/超长文本成就组名称测试一二三一二三一二三			test/Kiểm tra tên nhóm thành tựu văn bản siêu dài một hai ba một hai ba một hai ba
lang_achievement.db	5	3.4	Thành tựu	Thành tựu			test/成就组5			test/Nhóm thành tựu 5
lang_achievement.db	6	3.4	Thành tựu	Thành tựu			test/成就组6			test/Nhóm thành tựu 6
lang_achievement.db	7	3.4	Thành tựu	Thành tựu			test/关卡成就测试			test/Kiểm tra thành tựu màn chơi
lang_achievement.db	8	3.4	Thành tựu	Thành tựu			test/区域探索·皇龙通用			test/Thăm dò khu vực · Hoàng Long thông dụng
lang_achievement.db	9	3.4	Thành tựu	Thành tựu			test/区域探索·皇龙01			test/Thăm dò khu vực · Hoàng Long 01
lang_multi_text.db	AchievementCategory_1_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			索拉漫行	Exploration	ソラの見聞	Dạo Bước Solaris
lang_multi_text.db	AchievementCategory_2_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			长路留迹	Journey	長き旅路	Lưu Dấu Đường Dài
lang_multi_text.db	AchievementCategory_3_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			铿锵刃鸣	Battles	金鉄の響き	Gươm Đao Vang Dội
lang_multi_text.db	AchievementCategory_4_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			诸音声轨	Voices	音の軌跡	Các Quỹ Đạo Âm Thanh
lang_multi_text.db	AchievementCategory_5_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			行囊万物	Backpack	万物の蔵	Vạn Vật Balo
lang_multi_text.db	AchievementCategory_6_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			他域交集	Friends	境界線の交差点	Tương Giao Đất Khách
lang_multi_text.db	AchievementGroup_1001_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			索拉的大地·瑝珑	Exploration: Huanglong	ソラの大地・瑝瓏	Vùng Đất Solaris - Hoàng Long
lang_multi_text.db	AchievementGroup_1002_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			瑝珑的足迹·一	Footprints in Huanglong I	瑝瓏走破・一	Dấu Chân Hoàng Long 1
lang_multi_text.db	AchievementGroup_1003_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			瑝珑的足迹·二	Footprints in Huanglong II	瑝瓏走破・二	Dấu Chân Hoàng Long 2
lang_multi_text.db	AchievementGroup_1004_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			荒野的呼唤	Wilderness Calls	荒野の呼び声	Tiếng Gọi Nơi Hoang Dã
lang_multi_text.db	AchievementGroup_1005_Name	3.4	Hội thoại/Cốt truyện	Thành tựu			黑海岸的足迹·一	Footprints on the Shores I	ブラックショア走破・一	Dấu Chân Bờ Biển Đen 1
